account_lockout_hourly_id,account_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,request_count,success_count,reject_count,latency_ms
AAA-ACCOUNT_LOCKOUT_HOURLY-00-00,ACC0001,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,38.59,count,valid,synthetic_aaa,95,90,5,22.8
AAA-ACCOUNT_LOCKOUT_HOURLY-00-01,ACC0001,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,37.38,count,valid,synthetic_aaa,94,93,1,8.61
AAA-ACCOUNT_LOCKOUT_HOURLY-00-02,ACC0001,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,27.69,count,valid,synthetic_aaa,232,228,4,20.02
AAA-ACCOUNT_LOCKOUT_HOURLY-00-03,ACC0001,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,27.81,count,valid,synthetic_aaa,90,86,4,18.03
AAA-ACCOUNT_LOCKOUT_HOURLY-00-04,ACC0001,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,17.67,count,valid,synthetic_aaa,150,146,4,31.84
AAA-ACCOUNT_LOCKOUT_HOURLY-00-05,ACC0001,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,19.19,count,valid,synthetic_aaa,68,67,1,11.82
AAA-ACCOUNT_LOCKOUT_HOURLY-00-06,ACC0001,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,59.01,count,valid,synthetic_aaa,149,147,2,6.27
AAA-ACCOUNT_LOCKOUT_HOURLY-00-07,ACC0001,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,78.76,count,valid,synthetic_aaa,245,241,4,30.71
AAA-ACCOUNT_LOCKOUT_HOURLY-00-08,ACC0001,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,26.92,count,valid,synthetic_aaa,78,77,1,25.77
AAA-ACCOUNT_LOCKOUT_HOURLY-00-09,ACC0001,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,30.87,count,valid,synthetic_aaa,143,138,5,34.11
AAA-ACCOUNT_LOCKOUT_HOURLY-00-10,ACC0001,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,77.59,count,valid,synthetic_aaa,77,73,4,34.8
AAA-ACCOUNT_LOCKOUT_HOURLY-00-11,ACC0001,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,33.67,count,valid,synthetic_aaa,232,227,5,18.81
AAA-ACCOUNT_LOCKOUT_HOURLY-00-12,ACC0001,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,48.33,count,valid,synthetic_aaa,206,205,1,24.42
AAA-ACCOUNT_LOCKOUT_HOURLY-00-13,ACC0001,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,43.55,count,valid,synthetic_aaa,90,86,4,6.93
AAA-ACCOUNT_LOCKOUT_HOURLY-00-14,ACC0001,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,60.76,count,valid,synthetic_aaa,133,130,3,15.73
AAA-ACCOUNT_LOCKOUT_HOURLY-00-15,ACC0001,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,32.53,count,valid,synthetic_aaa,198,195,3,14.09
AAA-ACCOUNT_LOCKOUT_HOURLY-00-16,ACC0001,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,47.6,count,valid,synthetic_aaa,200,197,3,11.14
AAA-ACCOUNT_LOCKOUT_HOURLY-00-17,ACC0001,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,79.05,count,valid,synthetic_aaa,137,132,5,34.33
AAA-ACCOUNT_LOCKOUT_HOURLY-00-18,ACC0001,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,30.77,count,valid,synthetic_aaa,159,154,5,8.74
