accounting_id,session_id,account_id,start_time,stop_time,date_hour,nas_ip,assigned_ip,upload_mb,download_mb,duration_s,terminate_cause,dropped_packet,timestamp,hostname,ip,sbr_server,start,acct_start_current_rate,acct_start_average_rate,acct_start_peak_rate,stop,acct_stop_current_rate,acct_stop_average_rate,acct_stop_peak_rate,interim,_acct_interim_current_rate,acct_interim_average_rate,acct_interim_peak_rate,invalid_request,invalid_client,total_retry_packets,total_transactions,transactions_retried,on_status,off_status,invalid_shared_secret,insufficient_resources,proxy_failure,acct_interim_current_rate
ACCT000000,SES000000,ACC0001,2026-08-18 00:00:00,2026-08-18 00:42:00,2026-08-18-00,10.0.0.1,100.64.0.0,66.01,2193.92,2520,user_request,1,2026-08-18 00:00:00,radius-dbn,10.0.0.1,radius-dbn,1,0,0,0,1,0,0,0,0,0,0,0,,,0,1,0,,,,,,0
ACCT003000,SES003000,ACC0004,2026-08-18 00:00:00,2026-08-18 00:25:23,2026-08-18-00,10.0.3.1,100.64.0.3,338.12,962.44,1523,user_request,1,2026-08-18 00:00:00,radius-dbn,10.0.3.1,radius-dbn,1,0,0,0,1,0,0,0,0,0,0,0,,,0,1,0,,,,,,0
ACCT006000,SES006000,ACC0007,2026-08-18 00:00:00,2026-08-18 00:43:06,2026-08-18-00,10.0.6.1,100.64.0.6,47.94,2800.59,2586,user_request,0,2026-08-18 00:00:00,radius-sla,10.0.6.1,radius-sla,1,0,0,0,1,0,0,0,0,0,0,0,,,0,1,0,,,,,,0
ACCT009000,SES009000,ACC0010,2026-08-18 00:00:00,2026-08-18 00:49:25,2026-08-18-00,10.0.9.1,100.64.0.9,305.27,2670.36,2965,user_request,1,2026-08-18 00:00:00,radius-sla,10.0.9.1,radius-sla,1,0,0,0,1,0,0,0,0,0,0,0,,,0,1,0,,,,,,0
ACCT012000,SES012000,ACC0013,2026-08-18 00:00:00,2026-08-18 00:42:37,2026-08-18-00,10.0.12.1,100.64.0.12,295.9,2938.05,2557,user_request,1,2026-08-18 00:00:00,radius-cmu,10.0.12.1,radius-cmu,1,0,0,0,1,0,0,0,0,0,0,0,,,0,1,0,,,,,,0
ACCT015000,SES015000,ACC0016,2026-08-18 00:00:00,2026-08-18 00:28:49,2026-08-18-00,10.0.15.1,100.64.0.15,148.21,2435.06,1729,user_request,3,2026-08-18 00:00:00,radius-nbh,10.0.15.1,radius-nbh,1,0,0,0,1,0,0,0,0,0,0,0,,,0,1,0,,,,,,0
ACCT018000,SES018000,ACC0019,2026-08-18 00:00:00,2026-08-18 00:20:09,2026-08-18-00,10.0.18.1,100.64.0.18,395.39,484.76,1209,user_request,3,2026-08-18 00:00:00,radius-nbh,10.0.18.1,radius-nbh,1,0,0,0,1,0,0,0,0,0,0,0,,,0,1,0,,,,,,0
ACCT021000,SES021000,ACC0022,2026-08-18 00:00:00,2026-08-18 00:21:21,2026-08-18-00,10.0.21.1,100.64.0.21,81.62,716.11,1281,user_request,0,2026-08-18 00:00:00,radius-hcm,10.0.21.1,radius-hcm,1,0,0,0,1,0,0,0,0,0,0,0,,,0,1,0,,,,,,0
ACCT024000,SES024000,ACC0025,2026-08-18 00:00:00,2026-08-18 00:30:13,2026-08-18-00,10.0.24.1,100.64.0.24,190.94,803.26,1813,user_request,1,2026-08-18 00:00:00,radius-hcm,10.0.24.1,radius-hcm,1,0,0,0,1,0,0,0,0,0,0,0,,,0,1,0,,,,,,0
ACCT027000,SES027000,ACC0028,2026-08-18 00:00:00,2026-08-18 00:54:30,2026-08-18-00,10.0.27.1,100.64.0.27,423.7,2357.78,3270,user_request,3,2026-08-18 00:00:00,radius-kha,10.0.27.1,radius-kha,1,0,0,0,1,0,0,0,0,0,0,0,,,0,1,0,,,,,,0
ACCT001001,SES001001,ACC0002,2026-08-18 01:00:00,2026-08-18 01:51:57,2026-08-18-01,10.0.1.1,100.64.0.1,432.02,106.1,3117,user_request,3,2026-08-18 01:00:00,radius-dbn,10.0.1.1,radius-dbn,1,0,0,0,1,0,0,0,0,0,0,0,,,0,1,0,,,,,,0
ACCT004001,SES004001,ACC0005,2026-08-18 01:00:00,2026-08-18 01:46:47,2026-08-18-01,10.0.4.1,100.64.0.4,201.7,640.93,2807,user_request,3,2026-08-18 01:00:00,radius-dbn,10.0.4.1,radius-dbn,1,0,0,0,1,0,0,0,0,0,0,0,,,0,1,0,,,,,,0
