auth_policy_change_id,account_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,request_count,success_count,reject_count,latency_ms
AAA-AUTH_POLICY_CHANGE-00-00,ACC0001,DBN,KV1,active,2026-08-18 00:00:00,AUTH_POLICY_CHANGE,info,success,60,synthetic_aaa,71,66,5,18.75
AAA-AUTH_POLICY_CHANGE-00-09,ACC0001,DBN,KV1,active,2026-08-18 09:00:00,AUTH_POLICY_CHANGE,info,success,60,synthetic_aaa,62,58,4,7.89
AAA-AUTH_POLICY_CHANGE-00-18,ACC0001,DBN,KV1,active,2026-08-18 18:00:00,AUTH_POLICY_CHANGE,info,success,60,synthetic_aaa,218,215,3,16.12
AAA-AUTH_POLICY_CHANGE-00-27,ACC0001,DBN,KV1,degraded,2026-08-19 03:00:00,AUTH_POLICY_CHANGE,major,failed,3600,synthetic_aaa,180,155,25,57.15
AAA-AUTH_POLICY_CHANGE-00-36,ACC0001,DBN,KV1,active,2026-08-19 12:00:00,AUTH_POLICY_CHANGE,info,success,60,synthetic_aaa,240,235,5,11.86
AAA-AUTH_POLICY_CHANGE-00-45,ACC0001,DBN,KV1,active,2026-08-19 21:00:00,AUTH_POLICY_CHANGE,info,success,60,synthetic_aaa,57,55,2,8.0
AAA-AUTH_POLICY_CHANGE-00-54,ACC0001,DBN,KV1,active,2026-08-20 06:00:00,AUTH_POLICY_CHANGE,info,success,60,synthetic_aaa,132,128,4,33.57
AAA-AUTH_POLICY_CHANGE-00-63,ACC0001,DBN,KV1,active,2026-08-20 15:00:00,AUTH_POLICY_CHANGE,info,success,60,synthetic_aaa,107,104,3,7.06
AAA-AUTH_POLICY_CHANGE-01-00,ACC0007,SLA,KV1,active,2026-08-18 00:00:00,AUTH_POLICY_CHANGE,info,success,60,synthetic_aaa,198,193,5,12.24
AAA-AUTH_POLICY_CHANGE-01-09,ACC0007,SLA,KV1,active,2026-08-18 09:00:00,AUTH_POLICY_CHANGE,info,success,60,synthetic_aaa,52,51,1,31.53
AAA-AUTH_POLICY_CHANGE-01-18,ACC0007,SLA,KV1,active,2026-08-18 18:00:00,AUTH_POLICY_CHANGE,info,success,60,synthetic_aaa,112,110,2,30.6
AAA-AUTH_POLICY_CHANGE-01-27,ACC0007,SLA,KV1,active,2026-08-19 03:00:00,AUTH_POLICY_CHANGE,info,success,60,synthetic_aaa,147,146,1,23.62
AAA-AUTH_POLICY_CHANGE-01-36,ACC0007,SLA,KV1,active,2026-08-19 12:00:00,AUTH_POLICY_CHANGE,info,success,60,synthetic_aaa,90,86,4,31.55
AAA-AUTH_POLICY_CHANGE-01-45,ACC0007,SLA,KV1,degraded,2026-08-19 21:00:00,AUTH_POLICY_CHANGE,major,failed,3600,synthetic_aaa,197,176,21,83.79
AAA-AUTH_POLICY_CHANGE-01-54,ACC0007,SLA,KV1,active,2026-08-20 06:00:00,AUTH_POLICY_CHANGE,info,success,60,synthetic_aaa,128,125,3,23.58
AAA-AUTH_POLICY_CHANGE-01-63,ACC0007,SLA,KV1,active,2026-08-20 15:00:00,AUTH_POLICY_CHANGE,info,success,60,synthetic_aaa,239,234,5,12.4
AAA-AUTH_POLICY_CHANGE-02-00,ACC0013,CMU,KV3,active,2026-08-18 00:00:00,AUTH_POLICY_CHANGE,info,success,60,synthetic_aaa,139,135,4,14.95
AAA-AUTH_POLICY_CHANGE-02-09,ACC0013,CMU,KV3,active,2026-08-18 09:00:00,AUTH_POLICY_CHANGE,info,success,60,synthetic_aaa,68,66,2,16.79
