auth_id,account_id,session_id,event_time,date_hour,hostname,nas_ip,result,reject_reason,request_count,accept_count,reject_count,latency_ms,retry_count,province_code,timestamp,ip,sbr_server,request_current_rate,request_average_rate,request_peak_rate,accept,accept_current_rate,accept_average_rate,accept_peak_rate,reject,reject_current_rate,reject_average_rate,reject_peak_rate,invalid_request,failed_authentication,total_transactions,transactions_retried,dropped_packet,total_retry_packets,failed_on_check_list,insufficient_resources,silent_discard,proxy_failure,rejected_by_proxy
AUTH000000,ACC0001,SES000000,2026-08-18 00:00:00,2026-08-18-00,radius-kv1,10.0.0.1,accept,,1,1,0,27.56,0,DBN,2026-08-18 00:00:00,10.0.0.1,radius-dbn,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH003000,ACC0004,SES003000,2026-08-18 00:00:00,2026-08-18-00,radius-kv1,10.0.3.1,accept,,1,1,0,19.6,0,DBN,2026-08-18 00:00:00,10.0.3.1,radius-dbn,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH006000,ACC0007,SES006000,2026-08-18 00:00:00,2026-08-18-00,radius-kv1,10.0.6.1,accept,,1,1,0,23.81,0,SLA,2026-08-18 00:00:00,10.0.6.1,radius-sla,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH009000,ACC0010,SES009000,2026-08-18 00:00:00,2026-08-18-00,radius-kv1,10.0.9.1,accept,,1,1,0,31.03,0,SLA,2026-08-18 00:00:00,10.0.9.1,radius-sla,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH012000,ACC0013,SES012000,2026-08-18 00:00:00,2026-08-18-00,radius-kv3,10.0.12.1,accept,,1,1,0,27.14,0,CMU,2026-08-18 00:00:00,10.0.12.1,radius-cmu,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH015000,ACC0016,SES015000,2026-08-18 00:00:00,2026-08-18-00,radius-kv1,10.0.15.1,accept,,1,1,0,15.69,0,NBH,2026-08-18 00:00:00,10.0.15.1,radius-nbh,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH018000,ACC0019,SES018000,2026-08-18 00:00:00,2026-08-18-00,radius-kv1,10.0.18.1,accept,,1,1,0,30.62,0,NBH,2026-08-18 00:00:00,10.0.18.1,radius-nbh,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH021000,ACC0022,SES021000,2026-08-18 00:00:00,2026-08-18-00,radius-kv3,10.0.21.1,accept,,1,1,0,12.82,0,HCM,2026-08-18 00:00:00,10.0.21.1,radius-hcm,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH024000,ACC0025,SES024000,2026-08-18 00:00:00,2026-08-18-00,radius-kv3,10.0.24.1,accept,,1,1,0,31.09,0,HCM,2026-08-18 00:00:00,10.0.24.1,radius-hcm,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH027000,ACC0028,SES027000,2026-08-18 00:00:00,2026-08-18-00,radius-kv2,10.0.27.1,accept,,1,1,0,23.97,0,KHA,2026-08-18 00:00:00,10.0.27.1,radius-kha,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH001001,ACC0002,SES001001,2026-08-18 01:00:00,2026-08-18-01,radius-kv1,10.0.1.1,accept,,1,1,0,13.22,0,DBN,2026-08-18 01:00:00,10.0.1.1,radius-dbn,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH004001,ACC0005,SES004001,2026-08-18 01:00:00,2026-08-18-01,radius-kv1,10.0.4.1,accept,,1,1,0,31.59,0,DBN,2026-08-18 01:00:00,10.0.4.1,radius-dbn,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH007001,ACC0008,SES007001,2026-08-18 01:00:00,2026-08-18-01,radius-kv1,10.0.7.1,accept,,1,1,0,33.18,0,SLA,2026-08-18 01:00:00,10.0.7.1,radius-sla,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH010001,ACC0011,SES010001,2026-08-18 01:00:00,2026-08-18-01,radius-kv3,10.0.10.1,accept,,1,1,0,28.96,0,CMU,2026-08-18 01:00:00,10.0.10.1,radius-cmu,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
AUTH013001,ACC0014,SES013001,2026-08-18 01:00:00,2026-08-18-01,radius-kv3,10.0.13.1,accept,,1,1,0,23.44,0,CMU,2026-08-18 01:00:00,10.0.13.1,radius-cmu,1,1,1,1,1,1,1,0,0,0,0,,0,1,0,0,0,,,,,
