concurrent_session_hourly_id,account_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,request_count,success_count,reject_count,latency_ms
AAA-CONCURRENT_SESSION_HOURLY-00-00,ACC0001,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,68.2,count,valid,synthetic_aaa,78,73,5,15.58
AAA-CONCURRENT_SESSION_HOURLY-00-01,ACC0001,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,42.99,count,valid,synthetic_aaa,90,86,4,21.72
AAA-CONCURRENT_SESSION_HOURLY-00-02,ACC0001,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,75.01,count,valid,synthetic_aaa,198,194,4,8.47
AAA-CONCURRENT_SESSION_HOURLY-00-03,ACC0001,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,45.02,count,valid,synthetic_aaa,170,169,1,7.79
AAA-CONCURRENT_SESSION_HOURLY-00-04,ACC0001,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,52.53,count,valid,synthetic_aaa,131,127,4,28.09
AAA-CONCURRENT_SESSION_HOURLY-00-05,ACC0001,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,64.23,count,valid,synthetic_aaa,218,213,5,27.41
AAA-CONCURRENT_SESSION_HOURLY-00-06,ACC0001,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,37.67,count,valid,synthetic_aaa,191,188,3,18.14
AAA-CONCURRENT_SESSION_HOURLY-00-07,ACC0001,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,82.64,count,valid,synthetic_aaa,117,116,1,15.17
AAA-CONCURRENT_SESSION_HOURLY-00-08,ACC0001,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,50.1,count,valid,synthetic_aaa,135,130,5,16.63
AAA-CONCURRENT_SESSION_HOURLY-00-09,ACC0001,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,22.68,count,valid,synthetic_aaa,218,214,4,16.0
