credential_reset_id,account_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,request_count,success_count,reject_count,latency_ms
AAA-CREDENTIAL_RESET-00-00,ACC0001,DBN,KV1,active,2026-08-18 00:00:00,CREDENTIAL_RESET,info,success,60,synthetic_aaa,100,99,1,10.66
AAA-CREDENTIAL_RESET-00-09,ACC0001,DBN,KV1,active,2026-08-18 09:00:00,CREDENTIAL_RESET,info,success,60,synthetic_aaa,161,159,2,9.5
AAA-CREDENTIAL_RESET-00-18,ACC0001,DBN,KV1,active,2026-08-18 18:00:00,CREDENTIAL_RESET,info,success,60,synthetic_aaa,51,49,2,5.88
AAA-CREDENTIAL_RESET-00-27,ACC0001,DBN,KV1,degraded,2026-08-19 03:00:00,CREDENTIAL_RESET,major,failed,3600,synthetic_aaa,245,224,21,67.35
AAA-CREDENTIAL_RESET-00-36,ACC0001,DBN,KV1,active,2026-08-19 12:00:00,CREDENTIAL_RESET,info,success,60,synthetic_aaa,193,189,4,24.91
AAA-CREDENTIAL_RESET-00-45,ACC0001,DBN,KV1,active,2026-08-19 21:00:00,CREDENTIAL_RESET,info,success,60,synthetic_aaa,77,72,5,31.73
AAA-CREDENTIAL_RESET-00-54,ACC0001,DBN,KV1,active,2026-08-20 06:00:00,CREDENTIAL_RESET,info,success,60,synthetic_aaa,161,158,3,29.32
AAA-CREDENTIAL_RESET-00-63,ACC0001,DBN,KV1,active,2026-08-20 15:00:00,CREDENTIAL_RESET,info,success,60,synthetic_aaa,248,244,4,7.26
AAA-CREDENTIAL_RESET-01-00,ACC0007,SLA,KV1,active,2026-08-18 00:00:00,CREDENTIAL_RESET,info,success,60,synthetic_aaa,68,66,2,24.51
AAA-CREDENTIAL_RESET-01-09,ACC0007,SLA,KV1,active,2026-08-18 09:00:00,CREDENTIAL_RESET,info,success,60,synthetic_aaa,129,125,4,11.3
AAA-CREDENTIAL_RESET-01-18,ACC0007,SLA,KV1,active,2026-08-18 18:00:00,CREDENTIAL_RESET,info,success,60,synthetic_aaa,140,139,1,15.88
AAA-CREDENTIAL_RESET-01-27,ACC0007,SLA,KV1,active,2026-08-19 03:00:00,CREDENTIAL_RESET,info,success,60,synthetic_aaa,57,52,5,23.66
AAA-CREDENTIAL_RESET-01-36,ACC0007,SLA,KV1,active,2026-08-19 12:00:00,CREDENTIAL_RESET,info,success,60,synthetic_aaa,102,98,4,14.5
AAA-CREDENTIAL_RESET-01-45,ACC0007,SLA,KV1,degraded,2026-08-19 21:00:00,CREDENTIAL_RESET,major,failed,3600,synthetic_aaa,74,50,24,79.97
AAA-CREDENTIAL_RESET-01-54,ACC0007,SLA,KV1,active,2026-08-20 06:00:00,CREDENTIAL_RESET,info,success,60,synthetic_aaa,66,63,3,8.91
AAA-CREDENTIAL_RESET-01-63,ACC0007,SLA,KV1,active,2026-08-20 15:00:00,CREDENTIAL_RESET,info,success,60,synthetic_aaa,246,243,3,6.29
AAA-CREDENTIAL_RESET-02-00,ACC0013,CMU,KV3,active,2026-08-18 00:00:00,CREDENTIAL_RESET,info,success,60,synthetic_aaa,204,203,1,13.51
AAA-CREDENTIAL_RESET-02-09,ACC0013,CMU,KV3,active,2026-08-18 09:00:00,CREDENTIAL_RESET,info,success,60,synthetic_aaa,141,140,1,17.98
AAA-CREDENTIAL_RESET-02-18,ACC0013,CMU,KV3,active,2026-08-18 18:00:00,CREDENTIAL_RESET,info,success,60,synthetic_aaa,201,197,4,17.21
AAA-CREDENTIAL_RESET-02-27,ACC0013,CMU,KV3,active,2026-08-19 03:00:00,CREDENTIAL_RESET,info,success,60,synthetic_aaa,142,140,2,24.07
AAA-CREDENTIAL_RESET-02-36,ACC0013,CMU,KV3,active,2026-08-19 12:00:00,CREDENTIAL_RESET,info,success,60,synthetic_aaa,225,221,4,24.47
AAA-CREDENTIAL_RESET-02-45,ACC0013,CMU,KV3,active,2026-08-19 21:00:00,CREDENTIAL_RESET,info,success,60,synthetic_aaa,131,129,2,8.91
AAA-CREDENTIAL_RESET-02-54,ACC0013,CMU,KV3,active,2026-08-20 06:00:00,CREDENTIAL_RESET,info,success,60,synthetic_aaa,129,125,4,27.52
