account_id,customer_id,username,groupname,loginlimit,connection_count,activation_date,status,plan_id,province_code,area_code,last_login_at,created_at,updated_at,count,count_time,date_hour
ACC0001,CUS0001,demo_acc0001,ftth,1,1,2025-05-01,active,PLAN01,DBN,KV1,2026-08-20 23:00:00,2025-05-01 09:00:00,2026-08-18 00:00:00,1,hourly,2026-08-20-23
ACC0002,CUS0002,demo_acc0002,ftth,1,1,2025-05-01,active,PLAN02,DBN,KV1,2026-08-20 23:00:00,2025-05-01 09:00:00,2026-08-18 00:00:00,1,hourly,2026-08-20-23
ACC0003,CUS0003,demo_acc0003,ftth,1,1,2025-05-01,active,PLAN03,DBN,KV1,2026-08-20 23:00:00,2025-05-01 09:00:00,2026-08-18 00:00:00,1,hourly,2026-08-20-23
ACC0004,CUS0004,demo_acc0004,ftth,1,1,2025-05-01,active,PLAN01,DBN,KV1,2026-08-20 23:00:00,2025-05-01 09:00:00,2026-08-18 00:00:00,1,hourly,2026-08-20-23
ACC0005,CUS0005,demo_acc0005,ftth,1,1,2025-05-01,active,PLAN02,DBN,KV1,2026-08-20 23:00:00,2025-05-01 09:00:00,2026-08-18 00:00:00,1,hourly,2026-08-20-23
ACC0006,CUS0006,demo_acc0006,ftth,1,1,2025-05-01,active,PLAN01,SLA,KV1,2026-08-20 23:00:00,2025-05-01 09:00:00,2026-08-18 00:00:00,1,hourly,2026-08-20-23
ACC0007,CUS0007,demo_acc0007,ftth,1,1,2025-05-01,active,PLAN02,SLA,KV1,2026-08-20 23:00:00,2025-05-01 09:00:00,2026-08-18 00:00:00,1,hourly,2026-08-20-23
ACC0008,CUS0008,demo_acc0008,ftth,1,1,2025-05-01,active,PLAN03,SLA,KV1,2026-08-20 23:00:00,2025-05-01 09:00:00,2026-08-18 00:00:00,1,hourly,2026-08-20-23
ACC0009,CUS0009,demo_acc0009,ftth,1,1,2025-05-01,active,PLAN01,SLA,KV1,2026-08-20 23:00:00,2025-05-01 09:00:00,2026-08-18 00:00:00,1,hourly,2026-08-20-23
ACC0010,CUS0010,demo_acc0010,ftth,1,1,2025-05-01,active,PLAN02,SLA,KV1,2026-08-20 23:00:00,2025-05-01 09:00:00,2026-08-18 00:00:00,1,hourly,2026-08-20-23
ACC0011,CUS0011,demo_acc0011,ftth,1,1,2025-05-01,active,PLAN01,CMU,KV3,2026-08-20 23:00:00,2025-05-01 09:00:00,2026-08-18 00:00:00,1,hourly,2026-08-20-23
ACC0012,CUS0012,demo_acc0012,ftth,1,1,2025-05-01,active,PLAN02,CMU,KV3,2026-08-20 23:00:00,2025-05-01 09:00:00,2026-08-18 00:00:00,1,hourly,2026-08-20-23
ACC0013,CUS0013,demo_acc0013,ftth,1,1,2025-05-01,active,PLAN03,CMU,KV3,2026-08-20 23:00:00,2025-05-01 09:00:00,2026-08-18 00:00:00,1,hourly,2026-08-20-23
ACC0014,CUS0014,demo_acc0014,ftth,1,1,2025-05-01,active,PLAN01,CMU,KV3,2026-08-20 23:00:00,2025-05-01 09:00:00,2026-08-18 00:00:00,1,hourly,2026-08-20-23
ACC0015,CUS0015,demo_acc0015,ftth,1,1,2025-05-01,active,PLAN02,CMU,KV3,2026-08-20 23:00:00,2025-05-01 09:00:00,2026-08-18 00:00:00,1,hourly,2026-08-20-23
ACC0016,CUS0016,demo_acc0016,ftth,1,1,2025-05-01,active,PLAN01,NBH,KV1,2026-08-20 23:00:00,2025-05-01 09:00:00,2026-08-18 00:00:00,1,hourly,2026-08-20-23
ACC0017,CUS0017,demo_acc0017,ftth,1,1,2025-05-01,active,PLAN02,NBH,KV1,2026-08-20 23:00:00,2025-05-01 09:00:00,2026-08-18 00:00:00,1,hourly,2026-08-20-23
ACC0018,CUS0018,demo_acc0018,ftth,1,1,2025-05-01,active,PLAN03,NBH,KV1,2026-08-20 23:00:00,2025-05-01 09:00:00,2026-08-18 00:00:00,1,hourly,2026-08-20-23
