ip_assignment_history_id,account_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,request_count,success_count,reject_count,latency_ms
AAA-IP_ASSIGNMENT_HISTORY-00-00,ACC0001,DBN,KV1,active,2026-08-18 00:00:00,IP_ASSIGNMENT_HISTORY,info,success,60,synthetic_aaa,199,198,1,19.37
AAA-IP_ASSIGNMENT_HISTORY-00-09,ACC0001,DBN,KV1,active,2026-08-18 09:00:00,IP_ASSIGNMENT_HISTORY,info,success,60,synthetic_aaa,76,72,4,34.77
AAA-IP_ASSIGNMENT_HISTORY-00-18,ACC0001,DBN,KV1,active,2026-08-18 18:00:00,IP_ASSIGNMENT_HISTORY,info,success,60,synthetic_aaa,81,77,4,12.56
AAA-IP_ASSIGNMENT_HISTORY-00-27,ACC0001,DBN,KV1,degraded,2026-08-19 03:00:00,IP_ASSIGNMENT_HISTORY,major,failed,3600,synthetic_aaa,207,184,23,71.44
AAA-IP_ASSIGNMENT_HISTORY-00-36,ACC0001,DBN,KV1,active,2026-08-19 12:00:00,IP_ASSIGNMENT_HISTORY,info,success,60,synthetic_aaa,119,118,1,24.54
AAA-IP_ASSIGNMENT_HISTORY-00-45,ACC0001,DBN,KV1,active,2026-08-19 21:00:00,IP_ASSIGNMENT_HISTORY,info,success,60,synthetic_aaa,138,135,3,15.59
AAA-IP_ASSIGNMENT_HISTORY-00-54,ACC0001,DBN,KV1,active,2026-08-20 06:00:00,IP_ASSIGNMENT_HISTORY,info,success,60,synthetic_aaa,62,59,3,15.75
AAA-IP_ASSIGNMENT_HISTORY-00-63,ACC0001,DBN,KV1,active,2026-08-20 15:00:00,IP_ASSIGNMENT_HISTORY,info,success,60,synthetic_aaa,202,199,3,23.7
AAA-IP_ASSIGNMENT_HISTORY-01-00,ACC0007,SLA,KV1,active,2026-08-18 00:00:00,IP_ASSIGNMENT_HISTORY,info,success,60,synthetic_aaa,205,200,5,15.98
AAA-IP_ASSIGNMENT_HISTORY-01-09,ACC0007,SLA,KV1,active,2026-08-18 09:00:00,IP_ASSIGNMENT_HISTORY,info,success,60,synthetic_aaa,182,177,5,15.92
AAA-IP_ASSIGNMENT_HISTORY-01-18,ACC0007,SLA,KV1,active,2026-08-18 18:00:00,IP_ASSIGNMENT_HISTORY,info,success,60,synthetic_aaa,249,244,5,31.46
AAA-IP_ASSIGNMENT_HISTORY-01-27,ACC0007,SLA,KV1,active,2026-08-19 03:00:00,IP_ASSIGNMENT_HISTORY,info,success,60,synthetic_aaa,56,54,2,34.5
AAA-IP_ASSIGNMENT_HISTORY-01-36,ACC0007,SLA,KV1,active,2026-08-19 12:00:00,IP_ASSIGNMENT_HISTORY,info,success,60,synthetic_aaa,66,63,3,8.1
AAA-IP_ASSIGNMENT_HISTORY-01-45,ACC0007,SLA,KV1,degraded,2026-08-19 21:00:00,IP_ASSIGNMENT_HISTORY,major,failed,3600,synthetic_aaa,167,144,23,62.99
AAA-IP_ASSIGNMENT_HISTORY-01-54,ACC0007,SLA,KV1,active,2026-08-20 06:00:00,IP_ASSIGNMENT_HISTORY,info,success,60,synthetic_aaa,162,157,5,24.56
AAA-IP_ASSIGNMENT_HISTORY-01-63,ACC0007,SLA,KV1,active,2026-08-20 15:00:00,IP_ASSIGNMENT_HISTORY,info,success,60,synthetic_aaa,121,117,4,8.65
AAA-IP_ASSIGNMENT_HISTORY-02-00,ACC0013,CMU,KV3,active,2026-08-18 00:00:00,IP_ASSIGNMENT_HISTORY,info,success,60,synthetic_aaa,71,70,1,23.38
AAA-IP_ASSIGNMENT_HISTORY-02-09,ACC0013,CMU,KV3,active,2026-08-18 09:00:00,IP_ASSIGNMENT_HISTORY,info,success,60,synthetic_aaa,194,190,4,12.35
AAA-IP_ASSIGNMENT_HISTORY-02-18,ACC0013,CMU,KV3,active,2026-08-18 18:00:00,IP_ASSIGNMENT_HISTORY,info,success,60,synthetic_aaa,79,77,2,19.43
AAA-IP_ASSIGNMENT_HISTORY-02-27,ACC0013,CMU,KV3,active,2026-08-19 03:00:00,IP_ASSIGNMENT_HISTORY,info,success,60,synthetic_aaa,207,202,5,12.37
AAA-IP_ASSIGNMENT_HISTORY-02-36,ACC0013,CMU,KV3,active,2026-08-19 12:00:00,IP_ASSIGNMENT_HISTORY,info,success,60,synthetic_aaa,62,60,2,28.88
AAA-IP_ASSIGNMENT_HISTORY-02-45,ACC0013,CMU,KV3,active,2026-08-19 21:00:00,IP_ASSIGNMENT_HISTORY,info,success,60,synthetic_aaa,242,239,3,30.48
