ip_pool_hourly_id,account_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,request_count,success_count,reject_count,latency_ms
AAA-IP_POOL_HOURLY-00-00,ACC0001,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,76.63,count,valid,synthetic_aaa,238,234,4,6.65
AAA-IP_POOL_HOURLY-00-01,ACC0001,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,75.73,count,valid,synthetic_aaa,238,234,4,15.61
AAA-IP_POOL_HOURLY-00-02,ACC0001,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,35.03,count,valid,synthetic_aaa,153,148,5,26.21
AAA-IP_POOL_HOURLY-00-03,ACC0001,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,77.07,count,valid,synthetic_aaa,102,101,1,17.85
AAA-IP_POOL_HOURLY-00-04,ACC0001,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,27.65,count,valid,synthetic_aaa,120,116,4,14.5
AAA-IP_POOL_HOURLY-00-05,ACC0001,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,23.08,count,valid,synthetic_aaa,230,228,2,13.79
AAA-IP_POOL_HOURLY-00-06,ACC0001,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,35.87,count,valid,synthetic_aaa,171,167,4,18.18
AAA-IP_POOL_HOURLY-00-07,ACC0001,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,39.96,count,valid,synthetic_aaa,142,141,1,16.51
AAA-IP_POOL_HOURLY-00-08,ACC0001,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,71.28,count,valid,synthetic_aaa,138,134,4,6.69
AAA-IP_POOL_HOURLY-00-09,ACC0001,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,43.04,count,valid,synthetic_aaa,90,87,3,6.82
AAA-IP_POOL_HOURLY-00-10,ACC0001,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,27.12,count,valid,synthetic_aaa,209,207,2,26.26
AAA-IP_POOL_HOURLY-00-11,ACC0001,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,30.4,count,valid,synthetic_aaa,70,69,1,10.58
AAA-IP_POOL_HOURLY-00-12,ACC0001,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,83.08,count,valid,synthetic_aaa,201,197,4,19.78
AAA-IP_POOL_HOURLY-00-13,ACC0001,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,23.06,count,valid,synthetic_aaa,50,45,5,16.93
AAA-IP_POOL_HOURLY-00-14,ACC0001,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,35.53,count,valid,synthetic_aaa,77,75,2,34.5
AAA-IP_POOL_HOURLY-00-15,ACC0001,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,28.29,count,valid,synthetic_aaa,143,140,3,14.95
AAA-IP_POOL_HOURLY-00-16,ACC0001,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,73.36,count,valid,synthetic_aaa,135,133,2,32.01
