login_failure_hourly_id,account_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,request_count,success_count,reject_count,latency_ms
AAA-LOGIN_FAILURE_HOURLY-00-00,ACC0001,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,60.6,count,valid,synthetic_aaa,51,49,2,13.73
AAA-LOGIN_FAILURE_HOURLY-00-01,ACC0001,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,75.03,count,valid,synthetic_aaa,221,220,1,17.06
AAA-LOGIN_FAILURE_HOURLY-00-02,ACC0001,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,29.37,count,valid,synthetic_aaa,111,106,5,30.42
AAA-LOGIN_FAILURE_HOURLY-00-03,ACC0001,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,45.76,count,valid,synthetic_aaa,143,142,1,23.81
AAA-LOGIN_FAILURE_HOURLY-00-04,ACC0001,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,49.83,count,valid,synthetic_aaa,240,239,1,19.61
AAA-LOGIN_FAILURE_HOURLY-00-05,ACC0001,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,50.49,count,valid,synthetic_aaa,99,98,1,10.47
AAA-LOGIN_FAILURE_HOURLY-00-06,ACC0001,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,61.41,count,valid,synthetic_aaa,158,154,4,13.52
AAA-LOGIN_FAILURE_HOURLY-00-07,ACC0001,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,48.88,count,valid,synthetic_aaa,113,109,4,10.99
AAA-LOGIN_FAILURE_HOURLY-00-08,ACC0001,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,53.28,count,valid,synthetic_aaa,161,160,1,10.0
AAA-LOGIN_FAILURE_HOURLY-00-09,ACC0001,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,75.58,count,valid,synthetic_aaa,150,147,3,26.64
AAA-LOGIN_FAILURE_HOURLY-00-10,ACC0001,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,22.62,count,valid,synthetic_aaa,160,156,4,22.69
AAA-LOGIN_FAILURE_HOURLY-00-11,ACC0001,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,50.9,count,valid,synthetic_aaa,60,58,2,6.41
AAA-LOGIN_FAILURE_HOURLY-00-12,ACC0001,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,81.19,count,valid,synthetic_aaa,93,92,1,34.97
AAA-LOGIN_FAILURE_HOURLY-00-13,ACC0001,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,22.18,count,valid,synthetic_aaa,64,59,5,26.5
AAA-LOGIN_FAILURE_HOURLY-00-14,ACC0001,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,26.11,count,valid,synthetic_aaa,78,75,3,29.63
AAA-LOGIN_FAILURE_HOURLY-00-15,ACC0001,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,35.81,count,valid,synthetic_aaa,125,121,4,7.64
AAA-LOGIN_FAILURE_HOURLY-00-16,ACC0001,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,74.24,count,valid,synthetic_aaa,50,46,4,5.64
AAA-LOGIN_FAILURE_HOURLY-00-17,ACC0001,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,33.8,count,valid,synthetic_aaa,127,124,3,31.11
AAA-LOGIN_FAILURE_HOURLY-00-18,ACC0001,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,38.77,count,valid,synthetic_aaa,193,188,5,17.57
AAA-LOGIN_FAILURE_HOURLY-00-19,ACC0001,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,80.83,count,valid,synthetic_aaa,242,239,3,18.32
AAA-LOGIN_FAILURE_HOURLY-00-20,ACC0001,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,16.87,count,valid,synthetic_aaa,229,224,5,13.61
