nas_port_history_id,account_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,request_count,success_count,reject_count,latency_ms
AAA-NAS_PORT_HISTORY-00-00,ACC0001,DBN,KV1,active,2026-08-18 00:00:00,NAS_PORT_HISTORY,info,success,60,synthetic_aaa,140,136,4,13.68
AAA-NAS_PORT_HISTORY-00-09,ACC0001,DBN,KV1,active,2026-08-18 09:00:00,NAS_PORT_HISTORY,info,success,60,synthetic_aaa,177,175,2,24.46
AAA-NAS_PORT_HISTORY-00-18,ACC0001,DBN,KV1,active,2026-08-18 18:00:00,NAS_PORT_HISTORY,info,success,60,synthetic_aaa,106,104,2,15.46
AAA-NAS_PORT_HISTORY-00-27,ACC0001,DBN,KV1,degraded,2026-08-19 03:00:00,NAS_PORT_HISTORY,major,failed,3600,synthetic_aaa,161,137,24,70.28
AAA-NAS_PORT_HISTORY-00-36,ACC0001,DBN,KV1,active,2026-08-19 12:00:00,NAS_PORT_HISTORY,info,success,60,synthetic_aaa,102,100,2,13.76
AAA-NAS_PORT_HISTORY-00-45,ACC0001,DBN,KV1,active,2026-08-19 21:00:00,NAS_PORT_HISTORY,info,success,60,synthetic_aaa,114,112,2,33.99
AAA-NAS_PORT_HISTORY-00-54,ACC0001,DBN,KV1,active,2026-08-20 06:00:00,NAS_PORT_HISTORY,info,success,60,synthetic_aaa,108,103,5,27.83
AAA-NAS_PORT_HISTORY-00-63,ACC0001,DBN,KV1,active,2026-08-20 15:00:00,NAS_PORT_HISTORY,info,success,60,synthetic_aaa,94,93,1,20.7
AAA-NAS_PORT_HISTORY-01-00,ACC0007,SLA,KV1,active,2026-08-18 00:00:00,NAS_PORT_HISTORY,info,success,60,synthetic_aaa,178,176,2,5.08
AAA-NAS_PORT_HISTORY-01-09,ACC0007,SLA,KV1,active,2026-08-18 09:00:00,NAS_PORT_HISTORY,info,success,60,synthetic_aaa,165,164,1,31.91
AAA-NAS_PORT_HISTORY-01-18,ACC0007,SLA,KV1,active,2026-08-18 18:00:00,NAS_PORT_HISTORY,info,success,60,synthetic_aaa,115,110,5,25.75
AAA-NAS_PORT_HISTORY-01-27,ACC0007,SLA,KV1,active,2026-08-19 03:00:00,NAS_PORT_HISTORY,info,success,60,synthetic_aaa,215,213,2,24.35
AAA-NAS_PORT_HISTORY-01-36,ACC0007,SLA,KV1,active,2026-08-19 12:00:00,NAS_PORT_HISTORY,info,success,60,synthetic_aaa,56,55,1,8.68
AAA-NAS_PORT_HISTORY-01-45,ACC0007,SLA,KV1,degraded,2026-08-19 21:00:00,NAS_PORT_HISTORY,major,failed,3600,synthetic_aaa,194,170,24,79.67
AAA-NAS_PORT_HISTORY-01-54,ACC0007,SLA,KV1,active,2026-08-20 06:00:00,NAS_PORT_HISTORY,info,success,60,synthetic_aaa,211,208,3,23.33
AAA-NAS_PORT_HISTORY-01-63,ACC0007,SLA,KV1,active,2026-08-20 15:00:00,NAS_PORT_HISTORY,info,success,60,synthetic_aaa,246,243,3,26.84
AAA-NAS_PORT_HISTORY-02-00,ACC0013,CMU,KV3,active,2026-08-18 00:00:00,NAS_PORT_HISTORY,info,success,60,synthetic_aaa,132,131,1,26.28
AAA-NAS_PORT_HISTORY-02-09,ACC0013,CMU,KV3,active,2026-08-18 09:00:00,NAS_PORT_HISTORY,info,success,60,synthetic_aaa,186,184,2,20.99
AAA-NAS_PORT_HISTORY-02-18,ACC0013,CMU,KV3,active,2026-08-18 18:00:00,NAS_PORT_HISTORY,info,success,60,synthetic_aaa,229,227,2,31.85
AAA-NAS_PORT_HISTORY-02-27,ACC0013,CMU,KV3,active,2026-08-19 03:00:00,NAS_PORT_HISTORY,info,success,60,synthetic_aaa,247,244,3,22.54
AAA-NAS_PORT_HISTORY-02-36,ACC0013,CMU,KV3,active,2026-08-19 12:00:00,NAS_PORT_HISTORY,info,success,60,synthetic_aaa,189,188,1,8.15
AAA-NAS_PORT_HISTORY-02-45,ACC0013,CMU,KV3,active,2026-08-19 21:00:00,NAS_PORT_HISTORY,info,success,60,synthetic_aaa,191,190,1,24.45
AAA-NAS_PORT_HISTORY-02-54,ACC0013,CMU,KV3,active,2026-08-20 06:00:00,NAS_PORT_HISTORY,info,success,60,synthetic_aaa,195,190,5,10.17
AAA-NAS_PORT_HISTORY-02-63,ACC0013,CMU,KV3,active,2026-08-20 15:00:00,NAS_PORT_HISTORY,info,success,60,synthetic_aaa,204,200,4,19.34
AAA-NAS_PORT_HISTORY-03-00,ACC0019,NBH,KV1,active,2026-08-18 00:00:00,NAS_PORT_HISTORY,info,success,60,synthetic_aaa,220,218,2,7.87
AAA-NAS_PORT_HISTORY-03-09,ACC0019,NBH,KV1,active,2026-08-18 09:00:00,NAS_PORT_HISTORY,info,success,60,synthetic_aaa,58,57,1,32.2
AAA-NAS_PORT_HISTORY-03-18,ACC0019,NBH,KV1,active,2026-08-18 18:00:00,NAS_PORT_HISTORY,info,success,60,synthetic_aaa,227,222,5,28.4
AAA-NAS_PORT_HISTORY-03-27,ACC0019,NBH,KV1,active,2026-08-19 03:00:00,NAS_PORT_HISTORY,info,success,60,synthetic_aaa,59,58,1,6.59
AAA-NAS_PORT_HISTORY-03-36,ACC0019,NBH,KV1,active,2026-08-19 12:00:00,NAS_PORT_HISTORY,info,success,60,synthetic_aaa,233,229,4,20.19
AAA-NAS_PORT_HISTORY-03-45,ACC0019,NBH,KV1,active,2026-08-19 21:00:00,NAS_PORT_HISTORY,info,success,60,synthetic_aaa,90,87,3,7.47
AAA-NAS_PORT_HISTORY-03-54,ACC0019,NBH,KV1,active,2026-08-20 06:00:00,NAS_PORT_HISTORY,info,success,60,synthetic_aaa,84,79,5,11.84
AAA-NAS_PORT_HISTORY-03-63,ACC0019,NBH,KV1,active,2026-08-20 15:00:00,NAS_PORT_HISTORY,info,success,60,synthetic_aaa,155,153,2,6.09
AAA-NAS_PORT_HISTORY-04-00,ACC0025,HCM,KV3,active,2026-08-18 00:00:00,NAS_PORT_HISTORY,info,success,60,synthetic_aaa,96,95,1,22.16
AAA-NAS_PORT_HISTORY-04-09,ACC0025,HCM,KV3,active,2026-08-18 09:00:00,NAS_PORT_HISTORY,info,success,60,synthetic_aaa,161,157,4,32.14
AAA-NAS_PORT_HISTORY-04-18,ACC0025,HCM,KV3,active,2026-08-18 18:00:00,NAS_PORT_HISTORY,info,success,60,synthetic_aaa,53,51,2,33.25
AAA-NAS_PORT_HISTORY-04-27,ACC0025,HCM,KV3,active,2026-08-19 03:00:00,NAS_PORT_HISTORY,info,success,60,synthetic_aaa,87,82,5,19.32
AAA-NAS_PORT_HISTORY-04-36,ACC0025,HCM,KV3,active,2026-08-19 12:00:00,NAS_PORT_HISTORY,info,success,60,synthetic_aaa,110,109,1,9.43
AAA-NAS_PORT_HISTORY-04-45,ACC0025,HCM,KV3,active,2026-08-19 21:00:00,NAS_PORT_HISTORY,info,success,60,synthetic_aaa,119,116,3,25.09
AAA-NAS_PORT_HISTORY-04-54,ACC0025,HCM,KV3,active,2026-08-20 06:00:00,NAS_PORT_HISTORY,info,success,60,synthetic_aaa,244,242,2,34.86
AAA-NAS_PORT_HISTORY-04-63,ACC0025,HCM,KV3,active,2026-08-20 15:00:00,NAS_PORT_HISTORY,info,success,60,synthetic_aaa,144,143,1,19.43
AAA-NAS_PORT_HISTORY-05-00,ACC0026,KHA,KV2,active,2026-08-18 00:00:00,NAS_PORT_HISTORY,info,success,60,synthetic_aaa,166,161,5,9.24
AAA-NAS_PORT_HISTORY-05-09,ACC0026,KHA,KV2,active,2026-08-18 09:00:00,NAS_PORT_HISTORY,info,success,60,synthetic_aaa,92,90,2,17.03
AAA-NAS_PORT_HISTORY-05-18,ACC0026,KHA,KV2,active,2026-08-18 18:00:00,NAS_PORT_HISTORY,info,success,60,synthetic_aaa,242,238,4,7.05
AAA-NAS_PORT_HISTORY-05-27,ACC0026,KHA,KV2,active,2026-08-19 03:00:00,NAS_PORT_HISTORY,info,success,60,synthetic_aaa,192,189,3,24.21
AAA-NAS_PORT_HISTORY-05-36,ACC0026,KHA,KV2,active,2026-08-19 12:00:00,NAS_PORT_HISTORY,info,success,60,synthetic_aaa,135,133,2,30.88
AAA-NAS_PORT_HISTORY-05-45,ACC0026,KHA,KV2,active,2026-08-19 21:00:00,NAS_PORT_HISTORY,info,success,60,synthetic_aaa,98,97,1,29.57
AAA-NAS_PORT_HISTORY-05-54,ACC0026,KHA,KV2,active,2026-08-20 06:00:00,NAS_PORT_HISTORY,info,success,60,synthetic_aaa,83,81,2,10.43
AAA-NAS_PORT_HISTORY-05-63,ACC0026,KHA,KV2,active,2026-08-20 15:00:00,NAS_PORT_HISTORY,info,success,60,synthetic_aaa,142,137,5,17.44
