pppoe_session_id,account_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,request_count,success_count,reject_count,latency_ms
AAA-PPPOE_SESSION-00-00,ACC0001,DBN,KV1,active,2026-08-18 00:00:00,PPPOE_SESSION,info,success,60,synthetic_aaa,94,90,4,9.61
AAA-PPPOE_SESSION-00-09,ACC0001,DBN,KV1,active,2026-08-18 09:00:00,PPPOE_SESSION,info,success,60,synthetic_aaa,124,120,4,15.0
AAA-PPPOE_SESSION-00-18,ACC0001,DBN,KV1,active,2026-08-18 18:00:00,PPPOE_SESSION,info,success,60,synthetic_aaa,241,239,2,17.09
AAA-PPPOE_SESSION-00-27,ACC0001,DBN,KV1,degraded,2026-08-19 03:00:00,PPPOE_SESSION,major,failed,3600,synthetic_aaa,125,100,25,58.15
AAA-PPPOE_SESSION-00-36,ACC0001,DBN,KV1,active,2026-08-19 12:00:00,PPPOE_SESSION,info,success,60,synthetic_aaa,178,173,5,19.44
AAA-PPPOE_SESSION-00-45,ACC0001,DBN,KV1,active,2026-08-19 21:00:00,PPPOE_SESSION,info,success,60,synthetic_aaa,52,51,1,13.84
AAA-PPPOE_SESSION-00-54,ACC0001,DBN,KV1,active,2026-08-20 06:00:00,PPPOE_SESSION,info,success,60,synthetic_aaa,95,91,4,18.42
AAA-PPPOE_SESSION-00-63,ACC0001,DBN,KV1,active,2026-08-20 15:00:00,PPPOE_SESSION,info,success,60,synthetic_aaa,141,139,2,20.09
AAA-PPPOE_SESSION-01-00,ACC0007,SLA,KV1,active,2026-08-18 00:00:00,PPPOE_SESSION,info,success,60,synthetic_aaa,212,207,5,29.54
AAA-PPPOE_SESSION-01-09,ACC0007,SLA,KV1,active,2026-08-18 09:00:00,PPPOE_SESSION,info,success,60,synthetic_aaa,92,87,5,28.35
AAA-PPPOE_SESSION-01-18,ACC0007,SLA,KV1,active,2026-08-18 18:00:00,PPPOE_SESSION,info,success,60,synthetic_aaa,56,54,2,8.41
AAA-PPPOE_SESSION-01-27,ACC0007,SLA,KV1,active,2026-08-19 03:00:00,PPPOE_SESSION,info,success,60,synthetic_aaa,148,147,1,17.11
AAA-PPPOE_SESSION-01-36,ACC0007,SLA,KV1,active,2026-08-19 12:00:00,PPPOE_SESSION,info,success,60,synthetic_aaa,60,55,5,17.21
AAA-PPPOE_SESSION-01-45,ACC0007,SLA,KV1,degraded,2026-08-19 21:00:00,PPPOE_SESSION,major,failed,3600,synthetic_aaa,141,117,24,77.19
AAA-PPPOE_SESSION-01-54,ACC0007,SLA,KV1,active,2026-08-20 06:00:00,PPPOE_SESSION,info,success,60,synthetic_aaa,209,206,3,22.57
AAA-PPPOE_SESSION-01-63,ACC0007,SLA,KV1,active,2026-08-20 15:00:00,PPPOE_SESSION,info,success,60,synthetic_aaa,216,213,3,25.6
AAA-PPPOE_SESSION-02-00,ACC0013,CMU,KV3,active,2026-08-18 00:00:00,PPPOE_SESSION,info,success,60,synthetic_aaa,177,174,3,33.16
AAA-PPPOE_SESSION-02-09,ACC0013,CMU,KV3,active,2026-08-18 09:00:00,PPPOE_SESSION,info,success,60,synthetic_aaa,152,147,5,11.19
AAA-PPPOE_SESSION-02-18,ACC0013,CMU,KV3,active,2026-08-18 18:00:00,PPPOE_SESSION,info,success,60,synthetic_aaa,212,209,3,25.8
AAA-PPPOE_SESSION-02-27,ACC0013,CMU,KV3,active,2026-08-19 03:00:00,PPPOE_SESSION,info,success,60,synthetic_aaa,135,131,4,14.9
AAA-PPPOE_SESSION-02-36,ACC0013,CMU,KV3,active,2026-08-19 12:00:00,PPPOE_SESSION,info,success,60,synthetic_aaa,192,190,2,26.92
AAA-PPPOE_SESSION-02-45,ACC0013,CMU,KV3,active,2026-08-19 21:00:00,PPPOE_SESSION,info,success,60,synthetic_aaa,78,76,2,7.41
AAA-PPPOE_SESSION-02-54,ACC0013,CMU,KV3,active,2026-08-20 06:00:00,PPPOE_SESSION,info,success,60,synthetic_aaa,99,94,5,30.25
AAA-PPPOE_SESSION-02-63,ACC0013,CMU,KV3,active,2026-08-20 15:00:00,PPPOE_SESSION,info,success,60,synthetic_aaa,200,195,5,6.09
AAA-PPPOE_SESSION-03-00,ACC0019,NBH,KV1,active,2026-08-18 00:00:00,PPPOE_SESSION,info,success,60,synthetic_aaa,139,136,3,26.33
AAA-PPPOE_SESSION-03-09,ACC0019,NBH,KV1,active,2026-08-18 09:00:00,PPPOE_SESSION,info,success,60,synthetic_aaa,172,169,3,8.61
AAA-PPPOE_SESSION-03-18,ACC0019,NBH,KV1,active,2026-08-18 18:00:00,PPPOE_SESSION,info,success,60,synthetic_aaa,191,188,3,11.47
AAA-PPPOE_SESSION-03-27,ACC0019,NBH,KV1,active,2026-08-19 03:00:00,PPPOE_SESSION,info,success,60,synthetic_aaa,206,202,4,32.8
AAA-PPPOE_SESSION-03-36,ACC0019,NBH,KV1,active,2026-08-19 12:00:00,PPPOE_SESSION,info,success,60,synthetic_aaa,127,125,2,11.65
AAA-PPPOE_SESSION-03-45,ACC0019,NBH,KV1,active,2026-08-19 21:00:00,PPPOE_SESSION,info,success,60,synthetic_aaa,137,134,3,31.77
AAA-PPPOE_SESSION-03-54,ACC0019,NBH,KV1,active,2026-08-20 06:00:00,PPPOE_SESSION,info,success,60,synthetic_aaa,113,110,3,25.02
AAA-PPPOE_SESSION-03-63,ACC0019,NBH,KV1,active,2026-08-20 15:00:00,PPPOE_SESSION,info,success,60,synthetic_aaa,223,222,1,9.99
AAA-PPPOE_SESSION-04-00,ACC0025,HCM,KV3,active,2026-08-18 00:00:00,PPPOE_SESSION,info,success,60,synthetic_aaa,51,50,1,32.0
AAA-PPPOE_SESSION-04-09,ACC0025,HCM,KV3,active,2026-08-18 09:00:00,PPPOE_SESSION,info,success,60,synthetic_aaa,156,151,5,25.24
AAA-PPPOE_SESSION-04-18,ACC0025,HCM,KV3,active,2026-08-18 18:00:00,PPPOE_SESSION,info,success,60,synthetic_aaa,129,128,1,20.58
AAA-PPPOE_SESSION-04-27,ACC0025,HCM,KV3,active,2026-08-19 03:00:00,PPPOE_SESSION,info,success,60,synthetic_aaa,242,239,3,30.75
AAA-PPPOE_SESSION-04-36,ACC0025,HCM,KV3,active,2026-08-19 12:00:00,PPPOE_SESSION,info,success,60,synthetic_aaa,218,214,4,24.48
AAA-PPPOE_SESSION-04-45,ACC0025,HCM,KV3,active,2026-08-19 21:00:00,PPPOE_SESSION,info,success,60,synthetic_aaa,186,185,1,31.52
AAA-PPPOE_SESSION-04-54,ACC0025,HCM,KV3,active,2026-08-20 06:00:00,PPPOE_SESSION,info,success,60,synthetic_aaa,169,168,1,19.2
AAA-PPPOE_SESSION-04-63,ACC0025,HCM,KV3,active,2026-08-20 15:00:00,PPPOE_SESSION,info,success,60,synthetic_aaa,92,87,5,34.13
AAA-PPPOE_SESSION-05-00,ACC0026,KHA,KV2,active,2026-08-18 00:00:00,PPPOE_SESSION,info,success,60,synthetic_aaa,235,234,1,34.68
AAA-PPPOE_SESSION-05-09,ACC0026,KHA,KV2,active,2026-08-18 09:00:00,PPPOE_SESSION,info,success,60,synthetic_aaa,174,170,4,21.42
AAA-PPPOE_SESSION-05-18,ACC0026,KHA,KV2,active,2026-08-18 18:00:00,PPPOE_SESSION,info,success,60,synthetic_aaa,129,127,2,19.06
AAA-PPPOE_SESSION-05-27,ACC0026,KHA,KV2,active,2026-08-19 03:00:00,PPPOE_SESSION,info,success,60,synthetic_aaa,137,134,3,16.35
AAA-PPPOE_SESSION-05-36,ACC0026,KHA,KV2,active,2026-08-19 12:00:00,PPPOE_SESSION,info,success,60,synthetic_aaa,100,98,2,13.03
AAA-PPPOE_SESSION-05-45,ACC0026,KHA,KV2,active,2026-08-19 21:00:00,PPPOE_SESSION,info,success,60,synthetic_aaa,145,143,2,24.9
AAA-PPPOE_SESSION-05-54,ACC0026,KHA,KV2,active,2026-08-20 06:00:00,PPPOE_SESSION,info,success,60,synthetic_aaa,122,117,5,17.96
AAA-PPPOE_SESSION-05-63,ACC0026,KHA,KV2,active,2026-08-20 15:00:00,PPPOE_SESSION,info,success,60,synthetic_aaa,113,110,3,20.85
