radius_reject_hourly_id,account_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,request_count,success_count,reject_count,latency_ms
AAA-RADIUS_REJECT_HOURLY-00-00,ACC0001,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,29.25,count,valid,synthetic_aaa,91,89,2,20.23
AAA-RADIUS_REJECT_HOURLY-00-01,ACC0001,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,72.81,count,valid,synthetic_aaa,233,231,2,25.58
AAA-RADIUS_REJECT_HOURLY-00-02,ACC0001,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,62.22,count,valid,synthetic_aaa,158,155,3,7.62
AAA-RADIUS_REJECT_HOURLY-00-03,ACC0001,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,32.44,count,valid,synthetic_aaa,82,77,5,22.68
AAA-RADIUS_REJECT_HOURLY-00-04,ACC0001,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,40.54,count,valid,synthetic_aaa,237,235,2,10.64
AAA-RADIUS_REJECT_HOURLY-00-05,ACC0001,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,71.64,count,valid,synthetic_aaa,76,74,2,17.31
AAA-RADIUS_REJECT_HOURLY-00-06,ACC0001,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,27.8,count,valid,synthetic_aaa,144,142,2,14.81
AAA-RADIUS_REJECT_HOURLY-00-07,ACC0001,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,33.63,count,valid,synthetic_aaa,119,118,1,24.89
AAA-RADIUS_REJECT_HOURLY-00-08,ACC0001,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,81.51,count,valid,synthetic_aaa,244,242,2,20.39
AAA-RADIUS_REJECT_HOURLY-00-09,ACC0001,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,77.4,count,valid,synthetic_aaa,107,104,3,26.14
AAA-RADIUS_REJECT_HOURLY-00-10,ACC0001,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,24.82,count,valid,synthetic_aaa,102,97,5,23.24
AAA-RADIUS_REJECT_HOURLY-00-11,ACC0001,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,64.39,count,valid,synthetic_aaa,140,136,4,34.26
AAA-RADIUS_REJECT_HOURLY-00-12,ACC0001,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,47.33,count,valid,synthetic_aaa,58,57,1,7.14
AAA-RADIUS_REJECT_HOURLY-00-13,ACC0001,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,84.93,count,valid,synthetic_aaa,182,181,1,5.94
AAA-RADIUS_REJECT_HOURLY-00-14,ACC0001,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,62.75,count,valid,synthetic_aaa,82,80,2,23.43
AAA-RADIUS_REJECT_HOURLY-00-15,ACC0001,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,30.4,count,valid,synthetic_aaa,68,63,5,32.44
AAA-RADIUS_REJECT_HOURLY-00-16,ACC0001,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,68.84,count,valid,synthetic_aaa,174,169,5,14.74
AAA-RADIUS_REJECT_HOURLY-00-17,ACC0001,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,84.65,count,valid,synthetic_aaa,103,99,4,21.76
AAA-RADIUS_REJECT_HOURLY-00-18,ACC0001,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,23.47,count,valid,synthetic_aaa,207,202,5,26.71
AAA-RADIUS_REJECT_HOURLY-00-19,ACC0001,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,18.52,count,valid,synthetic_aaa,130,129,1,13.75
AAA-RADIUS_REJECT_HOURLY-00-20,ACC0001,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,60.32,count,valid,synthetic_aaa,82,79,3,23.09
AAA-RADIUS_REJECT_HOURLY-00-21,ACC0001,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,84.72,count,valid,synthetic_aaa,135,132,3,19.08
AAA-RADIUS_REJECT_HOURLY-00-22,ACC0001,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,81.8,count,valid,synthetic_aaa,106,102,4,28.32
AAA-RADIUS_REJECT_HOURLY-00-23,ACC0001,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,50.3,count,valid,synthetic_aaa,201,196,5,21.81
AAA-RADIUS_REJECT_HOURLY-00-24,ACC0001,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,64.04,count,valid,synthetic_aaa,84,79,5,16.17
AAA-RADIUS_REJECT_HOURLY-00-25,ACC0001,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,36.88,count,valid,synthetic_aaa,135,132,3,12.05
