radius_request_hourly_id,account_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,request_count,success_count,reject_count,latency_ms
AAA-RADIUS_REQUEST_HOURLY-00-00,ACC0001,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,23.01,count,valid,synthetic_aaa,214,213,1,21.84
AAA-RADIUS_REQUEST_HOURLY-00-01,ACC0001,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,59.29,count,valid,synthetic_aaa,181,177,4,13.23
AAA-RADIUS_REQUEST_HOURLY-00-02,ACC0001,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,74.17,count,valid,synthetic_aaa,136,135,1,13.94
AAA-RADIUS_REQUEST_HOURLY-00-03,ACC0001,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,47.35,count,valid,synthetic_aaa,169,168,1,12.03
AAA-RADIUS_REQUEST_HOURLY-00-04,ACC0001,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,49.26,count,valid,synthetic_aaa,175,171,4,30.58
AAA-RADIUS_REQUEST_HOURLY-00-05,ACC0001,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,19.21,count,valid,synthetic_aaa,75,71,4,5.54
AAA-RADIUS_REQUEST_HOURLY-00-06,ACC0001,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,21.78,count,valid,synthetic_aaa,213,211,2,22.12
AAA-RADIUS_REQUEST_HOURLY-00-07,ACC0001,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,54.26,count,valid,synthetic_aaa,155,152,3,28.06
AAA-RADIUS_REQUEST_HOURLY-00-08,ACC0001,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,50.28,count,valid,synthetic_aaa,209,208,1,6.57
AAA-RADIUS_REQUEST_HOURLY-00-09,ACC0001,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,78.76,count,valid,synthetic_aaa,88,84,4,26.48
AAA-RADIUS_REQUEST_HOURLY-00-10,ACC0001,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,36.02,count,valid,synthetic_aaa,147,143,4,26.23
AAA-RADIUS_REQUEST_HOURLY-00-11,ACC0001,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,83.36,count,valid,synthetic_aaa,247,244,3,25.31
AAA-RADIUS_REQUEST_HOURLY-00-12,ACC0001,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,70.48,count,valid,synthetic_aaa,133,132,1,9.58
AAA-RADIUS_REQUEST_HOURLY-00-13,ACC0001,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,40.06,count,valid,synthetic_aaa,69,66,3,30.27
AAA-RADIUS_REQUEST_HOURLY-00-14,ACC0001,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,32.14,count,valid,synthetic_aaa,140,138,2,23.43
