radius_timeout_hourly_id,account_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,request_count,success_count,reject_count,latency_ms
AAA-RADIUS_TIMEOUT_HOURLY-00-00,ACC0001,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,38.03,count,valid,synthetic_aaa,237,232,5,19.53
AAA-RADIUS_TIMEOUT_HOURLY-00-01,ACC0001,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,48.98,count,valid,synthetic_aaa,163,162,1,13.74
AAA-RADIUS_TIMEOUT_HOURLY-00-02,ACC0001,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,21.75,count,valid,synthetic_aaa,180,176,4,8.2
AAA-RADIUS_TIMEOUT_HOURLY-00-03,ACC0001,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,45.14,count,valid,synthetic_aaa,135,132,3,6.9
AAA-RADIUS_TIMEOUT_HOURLY-00-04,ACC0001,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,71.86,count,valid,synthetic_aaa,60,56,4,21.25
AAA-RADIUS_TIMEOUT_HOURLY-00-05,ACC0001,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,54.7,count,valid,synthetic_aaa,231,230,1,31.6
AAA-RADIUS_TIMEOUT_HOURLY-00-06,ACC0001,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,48.79,count,valid,synthetic_aaa,240,239,1,11.95
AAA-RADIUS_TIMEOUT_HOURLY-00-07,ACC0001,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,66.36,count,valid,synthetic_aaa,234,232,2,8.21
AAA-RADIUS_TIMEOUT_HOURLY-00-08,ACC0001,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,45.89,count,valid,synthetic_aaa,213,208,5,5.14
AAA-RADIUS_TIMEOUT_HOURLY-00-09,ACC0001,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,56.92,count,valid,synthetic_aaa,214,212,2,19.87
AAA-RADIUS_TIMEOUT_HOURLY-00-10,ACC0001,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,22.18,count,valid,synthetic_aaa,135,134,1,34.25
AAA-RADIUS_TIMEOUT_HOURLY-00-11,ACC0001,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,52.67,count,valid,synthetic_aaa,168,164,4,30.51
AAA-RADIUS_TIMEOUT_HOURLY-00-12,ACC0001,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,69.25,count,valid,synthetic_aaa,65,60,5,14.31
