kpi_id,kpi_code,location_level,location_code,area_code,area_name,province_code,province_name,date_hour,kpi_value,unit,threshold,breach_count,source_system,computed_at,country,duration,n_count,type,thread_hold
SRC001,bad_cell_throughput_5g,province,NBH,KV1,KV1,NBH,Tỉnh Ninh Bình,2026-08-20-00,2568.0,cell_count,,0,provided_sample,2026-08-20 01:00:00,VNM,3600,1,synthetic,0
SRC002,bad_cell_throughput_5g,province,HCM,KV3,KV3,HCM,Thành phố Hồ Chí Minh,2026-08-20-00,19323.0,cell_count,,0,provided_sample,2026-08-20 01:00:00,VNM,3600,1,synthetic,0
SRC003,bad_cell_throughput_5g,province,LSN,KV1,KV1,LSN,Tỉnh Lạng Sơn,2026-08-20-00,985.0,cell_count,,0,provided_sample,2026-08-20 01:00:00,VNM,3600,1,synthetic,0
SRC004,bad_cell_throughput_5g,province,KHA,KV2,KV2,KHA,Tỉnh Khánh Hòa,2026-08-20-00,1863.0,cell_count,,0,provided_sample,2026-08-20 01:00:00,VNM,3600,1,synthetic,0
SRC005,bad_cell_throughput_5g,province,HYN,KV1,KV1,HYN,Tỉnh Hưng Yên,2026-08-20-00,3440.0,cell_count,,0,provided_sample,2026-08-20 01:00:00,VNM,3600,1,synthetic,0
SRC006,bad_cell_throughput_5g,province,TQG,KV1,KV1,TQG,Tỉnh Tuyên Quang,2026-08-20-00,1689.0,cell_count,,0,provided_sample,2026-08-20 01:00:00,VNM,3600,1,synthetic,0
SRC007,bad_cell_throughput_5g,province,null,,,,,2026-08-20-00,250.0,cell_count,,0,provided_sample,2026-08-20 01:00:00,VNM,3600,1,synthetic,0
SRC008,bad_cell_throughput_5g,province,CBG,KV1,KV1,CBG,Tỉnh Cao Bằng,2026-08-20-00,687.0,cell_count,,0,provided_sample,2026-08-20 01:00:00,VNM,3600,1,synthetic,0
SRC009,bad_cell_throughput_5g,province,QNH,KV1,KV1,QNH,Tỉnh Quảng Ninh,2026-08-20-00,2074.0,cell_count,,0,provided_sample,2026-08-20 01:00:00,VNM,3600,1,synthetic,0
SRC010,bad_cell_throughput_5g,province,CMU,KV3,KV3,CMU,Tỉnh Cà Mau,2026-08-20-00,1797.0,cell_count,,0,provided_sample,2026-08-20 01:00:00,VNM,3600,1,synthetic,0
SRC011,bad_cell_throughput_5g,province,THA,KV1,KV1,THA,Tỉnh Thanh Hóa,2026-08-20-00,2381.0,cell_count,,0,provided_sample,2026-08-20 01:00:00,VNM,3600,1,synthetic,0
SRC012,bad_cell_throughput_5g,province,BNH,KV1,KV1,BNH,Tỉnh Bắc Ninh,2026-08-20-00,3020.0,cell_count,,0,provided_sample,2026-08-20 01:00:00,VNM,3600,1,synthetic,0
SRC013,bad_cell_throughput_5g,province,CTO,KV3,KV3,CTO,Thành phố Cần Thơ,2026-08-20-00,3223.0,cell_count,,0,provided_sample,2026-08-20 01:00:00,VNM,3600,1,synthetic,0
SRC014,bad_cell_throughput_5g,province,NAN,KV1,KV1,NAN,Tỉnh Nghệ An,2026-08-20-00,2123.0,cell_count,,0,provided_sample,2026-08-20 01:00:00,VNM,3600,1,synthetic,0
SRC015,bad_cell_throughput_5g,province,TNH,KV3,KV3,TNH,Tỉnh Tây Ninh,2026-08-20-00,3198.0,cell_count,,0,provided_sample,2026-08-20 01:00:00,VNM,3600,1,synthetic,0
SRC016,bad_cell_throughput_5g,province,HPG,KV1,KV1,HPG,Thành phố Hải Phòng,2026-08-20-00,3740.0,cell_count,,0,provided_sample,2026-08-20 01:00:00,VNM,3600,1,synthetic,0
SRC017,bad_cell_throughput_5g,province,TNN,KV1,KV1,TNN,Tỉnh Thái Nguyên,2026-08-20-00,1995.0,cell_count,,0,provided_sample,2026-08-20 01:00:00,VNM,3600,1,synthetic,0
