kpi_id,kpi_code,location_level,location_code,area_code,province_code,date_hour,request_count,success_count,duration_ms,success_rate,source_system,computed_at,country,t_request,n_request_success,duration,n_count,type
TLGD00000,request_success_rate,province,DBN,KV1,DBN,2026-08-18-00,457,454,6187.33,99.3435,synthetic_core,2026-08-18 01:00:00,VNM,457,454,6187.33,1,synthetic
TLGD01000,request_success_rate,province,SLA,KV1,SLA,2026-08-18-00,505,500,6291.14,99.0099,synthetic_core,2026-08-18 01:00:00,VNM,505,500,6291.14,1,synthetic
TLGD02000,request_success_rate,province,CMU,KV3,CMU,2026-08-18-00,571,559,10899.31,97.8984,synthetic_core,2026-08-18 01:00:00,VNM,571,559,10899.31,1,synthetic
TLGD03000,request_success_rate,province,NBH,KV1,NBH,2026-08-18-00,638,634,8665.99,99.373,synthetic_core,2026-08-18 01:00:00,VNM,638,634,8665.99,1,synthetic
TLGD04000,request_success_rate,province,HCM,KV3,HCM,2026-08-18-00,621,607,10066.72,97.7456,synthetic_core,2026-08-18 01:00:00,VNM,621,607,10066.72,1,synthetic
TLGD05000,request_success_rate,province,KHA,KV2,KHA,2026-08-18-00,467,463,5334.25,99.1435,synthetic_core,2026-08-18 01:00:00,VNM,467,463,5334.25,1,synthetic
TLGD00001,request_success_rate,province,DBN,KV1,DBN,2026-08-18-01,461,452,7239.0,98.0477,synthetic_core,2026-08-18 02:00:00,VNM,461,452,7239.0,1,synthetic
TLGD01001,request_success_rate,province,SLA,KV1,SLA,2026-08-18-01,350,338,5510.06,96.5714,synthetic_core,2026-08-18 02:00:00,VNM,350,338,5510.06,1,synthetic
TLGD02001,request_success_rate,province,CMU,KV3,CMU,2026-08-18-01,619,616,12058.98,99.5153,synthetic_core,2026-08-18 02:00:00,VNM,619,616,12058.98,1,synthetic
TLGD03001,request_success_rate,province,NBH,KV1,NBH,2026-08-18-01,542,534,10831.27,98.524,synthetic_core,2026-08-18 02:00:00,VNM,542,534,10831.27,1,synthetic
TLGD04001,request_success_rate,province,HCM,KV3,HCM,2026-08-18-01,300,294,5806.3,98.0,synthetic_core,2026-08-18 02:00:00,VNM,300,294,5806.3,1,synthetic
TLGD05001,request_success_rate,province,KHA,KV2,KHA,2026-08-18-01,477,466,8091.66,97.6939,synthetic_core,2026-08-18 02:00:00,VNM,477,466,8091.66,1,synthetic
TLGD00002,request_success_rate,province,DBN,KV1,DBN,2026-08-18-02,446,439,4219.19,98.4305,synthetic_core,2026-08-18 03:00:00,VNM,446,439,4219.19,1,synthetic
TLGD01002,request_success_rate,province,SLA,KV1,SLA,2026-08-18-02,457,449,4095.77,98.2495,synthetic_core,2026-08-18 03:00:00,VNM,457,449,4095.77,1,synthetic
TLGD02002,request_success_rate,province,CMU,KV3,CMU,2026-08-18-02,644,629,10783.04,97.6708,synthetic_core,2026-08-18 03:00:00,VNM,644,629,10783.04,1,synthetic
TLGD03002,request_success_rate,province,NBH,KV1,NBH,2026-08-18-02,471,463,9046.78,98.3015,synthetic_core,2026-08-18 03:00:00,VNM,471,463,9046.78,1,synthetic
TLGD04002,request_success_rate,province,HCM,KV3,HCM,2026-08-18-02,666,658,10855.24,98.7988,synthetic_core,2026-08-18 03:00:00,VNM,666,658,10855.24,1,synthetic
TLGD05002,request_success_rate,province,KHA,KV2,KHA,2026-08-18-02,638,626,7599.59,98.1191,synthetic_core,2026-08-18 03:00:00,VNM,638,626,7599.59,1,synthetic
TLGD00003,request_success_rate,province,DBN,KV1,DBN,2026-08-18-03,510,498,7149.27,97.6471,synthetic_core,2026-08-18 04:00:00,VNM,510,498,7149.27,1,synthetic
TLGD01003,request_success_rate,province,SLA,KV1,SLA,2026-08-18-03,669,665,12515.21,99.4021,synthetic_core,2026-08-18 04:00:00,VNM,669,665,12515.21,1,synthetic
TLGD02003,request_success_rate,province,CMU,KV3,CMU,2026-08-18-03,569,563,6349.99,98.9455,synthetic_core,2026-08-18 04:00:00,VNM,569,563,6349.99,1,synthetic
TLGD03003,request_success_rate,province,NBH,KV1,NBH,2026-08-18-03,605,592,11697.58,97.8512,synthetic_core,2026-08-18 04:00:00,VNM,605,592,11697.58,1,synthetic
