kpi_alert_history_id,location_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,sample_count,breach_count,baseline_value,change_pct
AAM-KPI_ALERT_HISTORY-00-00,LOC001,DBN,KV1,active,2026-08-18 00:00:00,KPI_ALERT_HISTORY,info,success,60,synthetic_aam,24,0,23.93,11.11
AAM-KPI_ALERT_HISTORY-00-09,LOC001,DBN,KV1,active,2026-08-18 09:00:00,KPI_ALERT_HISTORY,info,success,60,synthetic_aam,24,0,40.5,11.11
AAM-KPI_ALERT_HISTORY-00-18,LOC001,DBN,KV1,active,2026-08-18 18:00:00,KPI_ALERT_HISTORY,info,success,60,synthetic_aam,24,0,32.73,11.11
AAM-KPI_ALERT_HISTORY-00-27,LOC001,DBN,KV1,degraded,2026-08-19 03:00:00,KPI_ALERT_HISTORY,major,failed,3600,synthetic_aam,24,1,41.62,11.11
AAM-KPI_ALERT_HISTORY-00-36,LOC001,DBN,KV1,active,2026-08-19 12:00:00,KPI_ALERT_HISTORY,info,success,60,synthetic_aam,24,0,33.95,11.11
AAM-KPI_ALERT_HISTORY-00-45,LOC001,DBN,KV1,active,2026-08-19 21:00:00,KPI_ALERT_HISTORY,info,success,60,synthetic_aam,24,0,73.17,11.11
AAM-KPI_ALERT_HISTORY-00-54,LOC001,DBN,KV1,active,2026-08-20 06:00:00,KPI_ALERT_HISTORY,info,success,60,synthetic_aam,24,0,62.1,11.11
AAM-KPI_ALERT_HISTORY-00-63,LOC001,DBN,KV1,active,2026-08-20 15:00:00,KPI_ALERT_HISTORY,info,success,60,synthetic_aam,24,0,16.89,11.11
AAM-KPI_ALERT_HISTORY-01-00,LOC002,SLA,KV1,active,2026-08-18 00:00:00,KPI_ALERT_HISTORY,info,success,60,synthetic_aam,24,0,62.42,11.11
AAM-KPI_ALERT_HISTORY-01-09,LOC002,SLA,KV1,active,2026-08-18 09:00:00,KPI_ALERT_HISTORY,info,success,60,synthetic_aam,24,0,36.32,11.11
AAM-KPI_ALERT_HISTORY-01-18,LOC002,SLA,KV1,active,2026-08-18 18:00:00,KPI_ALERT_HISTORY,info,success,60,synthetic_aam,24,0,54.55,11.11
AAM-KPI_ALERT_HISTORY-01-27,LOC002,SLA,KV1,active,2026-08-19 03:00:00,KPI_ALERT_HISTORY,info,success,60,synthetic_aam,24,0,15.44,11.11
