kpi_anomaly_hourly_id,location_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,sample_count,breach_count,baseline_value,change_pct
AAM-KPI_ANOMALY_HOURLY-00-00,LOC001,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,22.77,index,valid,synthetic_aam,24,0,20.49,11.11
AAM-KPI_ANOMALY_HOURLY-00-01,LOC001,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,78.09,index,valid,synthetic_aam,24,0,70.28,11.11
AAM-KPI_ANOMALY_HOURLY-00-02,LOC001,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,77.42,index,valid,synthetic_aam,24,0,69.68,11.11
AAM-KPI_ANOMALY_HOURLY-00-03,LOC001,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,50.63,index,valid,synthetic_aam,24,0,45.57,11.11
AAM-KPI_ANOMALY_HOURLY-00-04,LOC001,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,64.92,index,valid,synthetic_aam,24,0,58.43,11.11
AAM-KPI_ANOMALY_HOURLY-00-05,LOC001,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,58.9,index,valid,synthetic_aam,24,0,53.01,11.11
AAM-KPI_ANOMALY_HOURLY-00-06,LOC001,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,83.53,index,valid,synthetic_aam,24,0,75.18,11.11
AAM-KPI_ANOMALY_HOURLY-00-07,LOC001,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,64.62,index,valid,synthetic_aam,24,0,58.16,11.11
AAM-KPI_ANOMALY_HOURLY-00-08,LOC001,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,51.58,index,valid,synthetic_aam,24,0,46.42,11.11
AAM-KPI_ANOMALY_HOURLY-00-09,LOC001,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,45.47,index,valid,synthetic_aam,24,0,40.92,11.11
AAM-KPI_ANOMALY_HOURLY-00-10,LOC001,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,27.09,index,valid,synthetic_aam,24,0,24.38,11.11
AAM-KPI_ANOMALY_HOURLY-00-11,LOC001,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,84.09,index,valid,synthetic_aam,24,0,75.68,11.11
AAM-KPI_ANOMALY_HOURLY-00-12,LOC001,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,57.0,index,valid,synthetic_aam,24,0,51.3,11.11
AAM-KPI_ANOMALY_HOURLY-00-13,LOC001,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,52.52,index,valid,synthetic_aam,24,0,47.27,11.11
AAM-KPI_ANOMALY_HOURLY-00-14,LOC001,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,17.0,index,valid,synthetic_aam,24,0,15.3,11.11
AAM-KPI_ANOMALY_HOURLY-00-15,LOC001,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,51.87,index,valid,synthetic_aam,24,0,46.68,11.11
AAM-KPI_ANOMALY_HOURLY-00-16,LOC001,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,30.62,index,valid,synthetic_aam,24,0,27.56,11.11
AAM-KPI_ANOMALY_HOURLY-00-17,LOC001,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,25.41,index,valid,synthetic_aam,24,0,22.87,11.11
AAM-KPI_ANOMALY_HOURLY-00-18,LOC001,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,70.71,index,valid,synthetic_aam,24,0,63.64,11.11
AAM-KPI_ANOMALY_HOURLY-00-19,LOC001,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,22.16,index,valid,synthetic_aam,24,0,19.94,11.11
AAM-KPI_ANOMALY_HOURLY-00-20,LOC001,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,72.76,index,valid,synthetic_aam,24,0,65.48,11.11
AAM-KPI_ANOMALY_HOURLY-00-21,LOC001,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,70.33,index,valid,synthetic_aam,24,0,63.3,11.11
AAM-KPI_ANOMALY_HOURLY-00-22,LOC001,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,60.66,index,valid,synthetic_aam,24,0,54.59,11.11
AAM-KPI_ANOMALY_HOURLY-00-23,LOC001,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,36.05,index,valid,synthetic_aam,24,0,32.45,11.11
AAM-KPI_ANOMALY_HOURLY-00-24,LOC001,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,61.72,index,valid,synthetic_aam,24,0,55.55,11.11
AAM-KPI_ANOMALY_HOURLY-00-25,LOC001,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,43.56,index,valid,synthetic_aam,24,0,39.2,11.11
AAM-KPI_ANOMALY_HOURLY-00-26,LOC001,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,28.07,index,valid,synthetic_aam,24,0,25.26,11.11
AAM-KPI_ANOMALY_HOURLY-00-27,LOC001,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,22.52,index,degraded,synthetic_aam,24,1,20.27,11.11
AAM-KPI_ANOMALY_HOURLY-00-28,LOC001,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,21.28,index,valid,synthetic_aam,24,0,19.15,11.11
AAM-KPI_ANOMALY_HOURLY-00-29,LOC001,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,66.64,index,valid,synthetic_aam,24,0,59.98,11.11
AAM-KPI_ANOMALY_HOURLY-00-30,LOC001,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,78.43,index,valid,synthetic_aam,24,0,70.59,11.11
AAM-KPI_ANOMALY_HOURLY-00-31,LOC001,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,69.24,index,valid,synthetic_aam,24,0,62.32,11.11
AAM-KPI_ANOMALY_HOURLY-00-32,LOC001,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,58.15,index,valid,synthetic_aam,24,0,52.34,11.11
AAM-KPI_ANOMALY_HOURLY-00-33,LOC001,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,54.95,index,valid,synthetic_aam,24,0,49.46,11.11
AAM-KPI_ANOMALY_HOURLY-00-34,LOC001,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,42.28,index,valid,synthetic_aam,24,0,38.05,11.11
AAM-KPI_ANOMALY_HOURLY-00-35,LOC001,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,62.66,index,valid,synthetic_aam,24,0,56.39,11.11
AAM-KPI_ANOMALY_HOURLY-00-36,LOC001,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,64.54,index,valid,synthetic_aam,24,0,58.09,11.11
AAM-KPI_ANOMALY_HOURLY-00-37,LOC001,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,73.2,index,valid,synthetic_aam,24,0,65.88,11.11
AAM-KPI_ANOMALY_HOURLY-00-38,LOC001,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,81.7,index,valid,synthetic_aam,24,0,73.53,11.11
AAM-KPI_ANOMALY_HOURLY-00-39,LOC001,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,77.71,index,valid,synthetic_aam,24,0,69.94,11.11
