kpi_baseline_daily_id,location_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,sample_count,breach_count,baseline_value,change_pct
AAM-KPI_BASELINE_DAILY-00-00,LOC001,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,28.5,index,valid,synthetic_aam,24,0,25.65,11.11
AAM-KPI_BASELINE_DAILY-00-24,LOC001,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,81.38,index,valid,synthetic_aam,24,0,73.24,11.11
AAM-KPI_BASELINE_DAILY-00-48,LOC001,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,28.58,index,valid,synthetic_aam,24,0,25.72,11.11
AAM-KPI_BASELINE_DAILY-01-00,LOC002,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,24.04,index,valid,synthetic_aam,24,0,21.64,11.11
AAM-KPI_BASELINE_DAILY-01-24,LOC002,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,60.04,index,valid,synthetic_aam,24,0,54.04,11.11
AAM-KPI_BASELINE_DAILY-01-48,LOC002,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,74.51,index,valid,synthetic_aam,24,0,67.06,11.11
AAM-KPI_BASELINE_DAILY-02-00,LOC003,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,81.02,index,valid,synthetic_aam,24,0,72.92,11.11
AAM-KPI_BASELINE_DAILY-02-24,LOC003,CMU,KV3,active,2026-08-19-00,2026-08-19 00:00:00,54.07,index,valid,synthetic_aam,24,0,48.66,11.11
AAM-KPI_BASELINE_DAILY-02-48,LOC003,CMU,KV3,active,2026-08-20-00,2026-08-20 00:00:00,24.69,index,valid,synthetic_aam,24,0,22.22,11.11
AAM-KPI_BASELINE_DAILY-03-00,LOC004,NBH,KV1,active,2026-08-18-00,2026-08-18 00:00:00,57.3,index,valid,synthetic_aam,24,0,51.57,11.11
AAM-KPI_BASELINE_DAILY-03-24,LOC004,NBH,KV1,active,2026-08-19-00,2026-08-19 00:00:00,65.48,index,valid,synthetic_aam,24,0,58.93,11.11
AAM-KPI_BASELINE_DAILY-03-48,LOC004,NBH,KV1,active,2026-08-20-00,2026-08-20 00:00:00,25.61,index,valid,synthetic_aam,24,0,23.05,11.11
AAM-KPI_BASELINE_DAILY-04-00,LOC005,HCM,KV3,active,2026-08-18-00,2026-08-18 00:00:00,75.04,index,valid,synthetic_aam,24,0,67.54,11.11
AAM-KPI_BASELINE_DAILY-04-24,LOC005,HCM,KV3,active,2026-08-19-00,2026-08-19 00:00:00,53.52,index,valid,synthetic_aam,24,0,48.17,11.11
AAM-KPI_BASELINE_DAILY-04-48,LOC005,HCM,KV3,active,2026-08-20-00,2026-08-20 00:00:00,27.3,index,valid,synthetic_aam,24,0,24.57,11.11
AAM-KPI_BASELINE_DAILY-05-00,LOC006,KHA,KV2,active,2026-08-18-00,2026-08-18 00:00:00,41.39,index,valid,synthetic_aam,24,0,37.25,11.11
AAM-KPI_BASELINE_DAILY-05-24,LOC006,KHA,KV2,active,2026-08-19-00,2026-08-19 00:00:00,70.83,index,valid,synthetic_aam,24,0,63.75,11.11
AAM-KPI_BASELINE_DAILY-05-48,LOC006,KHA,KV2,active,2026-08-20-00,2026-08-20 00:00:00,63.57,index,valid,synthetic_aam,24,0,57.21,11.11
