kpi_breach_hourly_id,location_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,sample_count,breach_count,baseline_value,change_pct
AAM-KPI_BREACH_HOURLY-00-00,LOC001,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,37.03,index,valid,synthetic_aam,24,0,33.33,11.11
AAM-KPI_BREACH_HOURLY-00-01,LOC001,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,68.4,index,valid,synthetic_aam,24,0,61.56,11.11
AAM-KPI_BREACH_HOURLY-00-02,LOC001,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,82.63,index,valid,synthetic_aam,24,0,74.37,11.11
AAM-KPI_BREACH_HOURLY-00-03,LOC001,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,35.84,index,valid,synthetic_aam,24,0,32.26,11.11
AAM-KPI_BREACH_HOURLY-00-04,LOC001,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,23.57,index,valid,synthetic_aam,24,0,21.21,11.11
AAM-KPI_BREACH_HOURLY-00-05,LOC001,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,52.67,index,valid,synthetic_aam,24,0,47.4,11.11
AAM-KPI_BREACH_HOURLY-00-06,LOC001,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,60.35,index,valid,synthetic_aam,24,0,54.32,11.11
AAM-KPI_BREACH_HOURLY-00-07,LOC001,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,61.92,index,valid,synthetic_aam,24,0,55.73,11.11
AAM-KPI_BREACH_HOURLY-00-08,LOC001,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,62.07,index,valid,synthetic_aam,24,0,55.86,11.11
AAM-KPI_BREACH_HOURLY-00-09,LOC001,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,82.4,index,valid,synthetic_aam,24,0,74.16,11.11
AAM-KPI_BREACH_HOURLY-00-10,LOC001,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,41.69,index,valid,synthetic_aam,24,0,37.52,11.11
AAM-KPI_BREACH_HOURLY-00-11,LOC001,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,81.26,index,valid,synthetic_aam,24,0,73.13,11.11
