kpi_daily_network_id,location_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,sample_count,breach_count,baseline_value,change_pct
AAM-KPI_DAILY_NETWORK-00-00,LOC001,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,50.52,index,valid,synthetic_aam,24,0,45.47,11.11
AAM-KPI_DAILY_NETWORK-00-24,LOC001,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,16.14,index,valid,synthetic_aam,24,0,14.53,11.11
AAM-KPI_DAILY_NETWORK-00-48,LOC001,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,22.01,index,valid,synthetic_aam,24,0,19.81,11.11
AAM-KPI_DAILY_NETWORK-01-00,LOC002,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,65.69,index,valid,synthetic_aam,24,0,59.12,11.11
AAM-KPI_DAILY_NETWORK-01-24,LOC002,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,82.69,index,valid,synthetic_aam,24,0,74.42,11.11
AAM-KPI_DAILY_NETWORK-01-48,LOC002,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,20.78,index,valid,synthetic_aam,24,0,18.7,11.11
AAM-KPI_DAILY_NETWORK-02-00,LOC003,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,18.92,index,valid,synthetic_aam,24,0,17.03,11.11
AAM-KPI_DAILY_NETWORK-02-24,LOC003,CMU,KV3,active,2026-08-19-00,2026-08-19 00:00:00,18.46,index,valid,synthetic_aam,24,0,16.61,11.11
AAM-KPI_DAILY_NETWORK-02-48,LOC003,CMU,KV3,active,2026-08-20-00,2026-08-20 00:00:00,47.96,index,valid,synthetic_aam,24,0,43.16,11.11
AAM-KPI_DAILY_NETWORK-03-00,LOC004,NBH,KV1,active,2026-08-18-00,2026-08-18 00:00:00,30.97,index,valid,synthetic_aam,24,0,27.87,11.11
AAM-KPI_DAILY_NETWORK-03-24,LOC004,NBH,KV1,active,2026-08-19-00,2026-08-19 00:00:00,37.06,index,valid,synthetic_aam,24,0,33.35,11.11
AAM-KPI_DAILY_NETWORK-03-48,LOC004,NBH,KV1,active,2026-08-20-00,2026-08-20 00:00:00,77.86,index,valid,synthetic_aam,24,0,70.07,11.11
AAM-KPI_DAILY_NETWORK-04-00,LOC005,HCM,KV3,active,2026-08-18-00,2026-08-18 00:00:00,73.4,index,valid,synthetic_aam,24,0,66.06,11.11
AAM-KPI_DAILY_NETWORK-04-24,LOC005,HCM,KV3,active,2026-08-19-00,2026-08-19 00:00:00,62.37,index,valid,synthetic_aam,24,0,56.13,11.11
AAM-KPI_DAILY_NETWORK-04-48,LOC005,HCM,KV3,active,2026-08-20-00,2026-08-20 00:00:00,21.29,index,valid,synthetic_aam,24,0,19.16,11.11
AAM-KPI_DAILY_NETWORK-05-00,LOC006,KHA,KV2,active,2026-08-18-00,2026-08-18 00:00:00,70.06,index,valid,synthetic_aam,24,0,63.05,11.11
AAM-KPI_DAILY_NETWORK-05-24,LOC006,KHA,KV2,active,2026-08-19-00,2026-08-19 00:00:00,75.78,index,valid,synthetic_aam,24,0,68.2,11.11
AAM-KPI_DAILY_NETWORK-05-48,LOC006,KHA,KV2,active,2026-08-20-00,2026-08-20 00:00:00,29.62,index,valid,synthetic_aam,24,0,26.66,11.11
