kpi_daily_province_id,location_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,sample_count,breach_count,baseline_value,change_pct
AAM-KPI_DAILY_PROVINCE-00-00,LOC001,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,23.94,index,valid,synthetic_aam,24,0,21.55,11.11
AAM-KPI_DAILY_PROVINCE-00-24,LOC001,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,62.45,index,valid,synthetic_aam,24,0,56.21,11.11
AAM-KPI_DAILY_PROVINCE-00-48,LOC001,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,42.45,index,valid,synthetic_aam,24,0,38.21,11.11
AAM-KPI_DAILY_PROVINCE-01-00,LOC002,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,77.78,index,valid,synthetic_aam,24,0,70.0,11.11
AAM-KPI_DAILY_PROVINCE-01-24,LOC002,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,29.27,index,valid,synthetic_aam,24,0,26.34,11.11
AAM-KPI_DAILY_PROVINCE-01-48,LOC002,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,49.17,index,valid,synthetic_aam,24,0,44.25,11.11
AAM-KPI_DAILY_PROVINCE-02-00,LOC003,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,66.65,index,valid,synthetic_aam,24,0,59.99,11.11
AAM-KPI_DAILY_PROVINCE-02-24,LOC003,CMU,KV3,active,2026-08-19-00,2026-08-19 00:00:00,22.63,index,valid,synthetic_aam,24,0,20.37,11.11
AAM-KPI_DAILY_PROVINCE-02-48,LOC003,CMU,KV3,active,2026-08-20-00,2026-08-20 00:00:00,40.52,index,valid,synthetic_aam,24,0,36.47,11.11
AAM-KPI_DAILY_PROVINCE-03-00,LOC004,NBH,KV1,active,2026-08-18-00,2026-08-18 00:00:00,43.56,index,valid,synthetic_aam,24,0,39.2,11.11
AAM-KPI_DAILY_PROVINCE-03-24,LOC004,NBH,KV1,active,2026-08-19-00,2026-08-19 00:00:00,32.94,index,valid,synthetic_aam,24,0,29.65,11.11
AAM-KPI_DAILY_PROVINCE-03-48,LOC004,NBH,KV1,active,2026-08-20-00,2026-08-20 00:00:00,60.93,index,valid,synthetic_aam,24,0,54.84,11.11
AAM-KPI_DAILY_PROVINCE-04-00,LOC005,HCM,KV3,active,2026-08-18-00,2026-08-18 00:00:00,74.76,index,valid,synthetic_aam,24,0,67.28,11.11
AAM-KPI_DAILY_PROVINCE-04-24,LOC005,HCM,KV3,active,2026-08-19-00,2026-08-19 00:00:00,16.78,index,valid,synthetic_aam,24,0,15.1,11.11
AAM-KPI_DAILY_PROVINCE-04-48,LOC005,HCM,KV3,active,2026-08-20-00,2026-08-20 00:00:00,79.15,index,valid,synthetic_aam,24,0,71.24,11.11
AAM-KPI_DAILY_PROVINCE-05-00,LOC006,KHA,KV2,active,2026-08-18-00,2026-08-18 00:00:00,62.55,index,valid,synthetic_aam,24,0,56.3,11.11
AAM-KPI_DAILY_PROVINCE-05-24,LOC006,KHA,KV2,active,2026-08-19-00,2026-08-19 00:00:00,76.18,index,valid,synthetic_aam,24,0,68.56,11.11
AAM-KPI_DAILY_PROVINCE-05-48,LOC006,KHA,KV2,active,2026-08-20-00,2026-08-20 00:00:00,84.09,index,valid,synthetic_aam,24,0,75.68,11.11
