kpi_hourly_area_id,location_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,sample_count,breach_count,baseline_value,change_pct
AAM-KPI_HOURLY_AREA-00-00,LOC001,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,41.87,index,valid,synthetic_aam,24,0,37.68,11.11
AAM-KPI_HOURLY_AREA-00-01,LOC001,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,59.16,index,valid,synthetic_aam,24,0,53.24,11.11
AAM-KPI_HOURLY_AREA-00-02,LOC001,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,47.62,index,valid,synthetic_aam,24,0,42.86,11.11
AAM-KPI_HOURLY_AREA-00-03,LOC001,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,26.79,index,valid,synthetic_aam,24,0,24.11,11.11
AAM-KPI_HOURLY_AREA-00-04,LOC001,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,70.42,index,valid,synthetic_aam,24,0,63.38,11.11
AAM-KPI_HOURLY_AREA-00-05,LOC001,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,77.36,index,valid,synthetic_aam,24,0,69.62,11.11
AAM-KPI_HOURLY_AREA-00-06,LOC001,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,63.08,index,valid,synthetic_aam,24,0,56.77,11.11
AAM-KPI_HOURLY_AREA-00-07,LOC001,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,52.73,index,valid,synthetic_aam,24,0,47.46,11.11
AAM-KPI_HOURLY_AREA-00-08,LOC001,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,41.27,index,valid,synthetic_aam,24,0,37.14,11.11
AAM-KPI_HOURLY_AREA-00-09,LOC001,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,42.19,index,valid,synthetic_aam,24,0,37.97,11.11
AAM-KPI_HOURLY_AREA-00-10,LOC001,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,73.87,index,valid,synthetic_aam,24,0,66.48,11.11
AAM-KPI_HOURLY_AREA-00-11,LOC001,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,39.14,index,valid,synthetic_aam,24,0,35.23,11.11
AAM-KPI_HOURLY_AREA-00-12,LOC001,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,31.33,index,valid,synthetic_aam,24,0,28.2,11.11
AAM-KPI_HOURLY_AREA-00-13,LOC001,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,23.35,index,valid,synthetic_aam,24,0,21.02,11.11
AAM-KPI_HOURLY_AREA-00-14,LOC001,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,37.82,index,valid,synthetic_aam,24,0,34.04,11.11
AAM-KPI_HOURLY_AREA-00-15,LOC001,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,54.41,index,valid,synthetic_aam,24,0,48.97,11.11
AAM-KPI_HOURLY_AREA-00-16,LOC001,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,71.32,index,valid,synthetic_aam,24,0,64.19,11.11
AAM-KPI_HOURLY_AREA-00-17,LOC001,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,81.98,index,valid,synthetic_aam,24,0,73.78,11.11
AAM-KPI_HOURLY_AREA-00-18,LOC001,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,15.64,index,valid,synthetic_aam,24,0,14.08,11.11
AAM-KPI_HOURLY_AREA-00-19,LOC001,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,77.49,index,valid,synthetic_aam,24,0,69.74,11.11
AAM-KPI_HOURLY_AREA-00-20,LOC001,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,39.82,index,valid,synthetic_aam,24,0,35.84,11.11
AAM-KPI_HOURLY_AREA-00-21,LOC001,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,18.4,index,valid,synthetic_aam,24,0,16.56,11.11
AAM-KPI_HOURLY_AREA-00-22,LOC001,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,82.93,index,valid,synthetic_aam,24,0,74.64,11.11
AAM-KPI_HOURLY_AREA-00-23,LOC001,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,28.73,index,valid,synthetic_aam,24,0,25.86,11.11
AAM-KPI_HOURLY_AREA-00-24,LOC001,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,39.99,index,valid,synthetic_aam,24,0,35.99,11.11
AAM-KPI_HOURLY_AREA-00-25,LOC001,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,18.1,index,valid,synthetic_aam,24,0,16.29,11.11
AAM-KPI_HOURLY_AREA-00-26,LOC001,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,21.5,index,valid,synthetic_aam,24,0,19.35,11.11
AAM-KPI_HOURLY_AREA-00-27,LOC001,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,96.47,index,degraded,synthetic_aam,24,1,86.82,11.11
AAM-KPI_HOURLY_AREA-00-28,LOC001,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,30.18,index,valid,synthetic_aam,24,0,27.16,11.11
AAM-KPI_HOURLY_AREA-00-29,LOC001,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,25.73,index,valid,synthetic_aam,24,0,23.16,11.11
AAM-KPI_HOURLY_AREA-00-30,LOC001,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,31.03,index,valid,synthetic_aam,24,0,27.93,11.11
AAM-KPI_HOURLY_AREA-00-31,LOC001,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,31.89,index,valid,synthetic_aam,24,0,28.7,11.11
AAM-KPI_HOURLY_AREA-00-32,LOC001,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,41.13,index,valid,synthetic_aam,24,0,37.02,11.11
AAM-KPI_HOURLY_AREA-00-33,LOC001,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,46.88,index,valid,synthetic_aam,24,0,42.19,11.11
AAM-KPI_HOURLY_AREA-00-34,LOC001,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,65.31,index,valid,synthetic_aam,24,0,58.78,11.11
AAM-KPI_HOURLY_AREA-00-35,LOC001,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,47.8,index,valid,synthetic_aam,24,0,43.02,11.11
AAM-KPI_HOURLY_AREA-00-36,LOC001,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,73.16,index,valid,synthetic_aam,24,0,65.84,11.11
AAM-KPI_HOURLY_AREA-00-37,LOC001,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,84.44,index,valid,synthetic_aam,24,0,76.0,11.11
AAM-KPI_HOURLY_AREA-00-38,LOC001,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,47.41,index,valid,synthetic_aam,24,0,42.67,11.11
AAM-KPI_HOURLY_AREA-00-39,LOC001,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,43.0,index,valid,synthetic_aam,24,0,38.7,11.11
AAM-KPI_HOURLY_AREA-00-40,LOC001,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,41.76,index,valid,synthetic_aam,24,0,37.58,11.11
AAM-KPI_HOURLY_AREA-00-41,LOC001,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,19.62,index,valid,synthetic_aam,24,0,17.66,11.11
AAM-KPI_HOURLY_AREA-00-42,LOC001,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,72.55,index,valid,synthetic_aam,24,0,65.3,11.11
AAM-KPI_HOURLY_AREA-00-43,LOC001,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,36.28,index,valid,synthetic_aam,24,0,32.65,11.11
AAM-KPI_HOURLY_AREA-00-44,LOC001,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,68.71,index,valid,synthetic_aam,24,0,61.84,11.11
AAM-KPI_HOURLY_AREA-00-45,LOC001,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,38.86,index,valid,synthetic_aam,24,0,34.97,11.11
AAM-KPI_HOURLY_AREA-00-46,LOC001,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,73.99,index,valid,synthetic_aam,24,0,66.59,11.11
AAM-KPI_HOURLY_AREA-00-47,LOC001,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,67.06,index,valid,synthetic_aam,24,0,60.35,11.11
AAM-KPI_HOURLY_AREA-00-48,LOC001,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,59.36,index,valid,synthetic_aam,24,0,53.42,11.11
AAM-KPI_HOURLY_AREA-00-49,LOC001,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,22.05,index,valid,synthetic_aam,24,0,19.85,11.11
AAM-KPI_HOURLY_AREA-00-50,LOC001,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,21.91,index,valid,synthetic_aam,24,0,19.72,11.11
AAM-KPI_HOURLY_AREA-00-51,LOC001,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,70.04,index,valid,synthetic_aam,24,0,63.04,11.11
AAM-KPI_HOURLY_AREA-00-52,LOC001,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,63.76,index,valid,synthetic_aam,24,0,57.38,11.11
AAM-KPI_HOURLY_AREA-00-53,LOC001,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,22.2,index,valid,synthetic_aam,24,0,19.98,11.11
AAM-KPI_HOURLY_AREA-00-54,LOC001,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,28.1,index,valid,synthetic_aam,24,0,25.29,11.11
AAM-KPI_HOURLY_AREA-00-55,LOC001,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,80.36,index,valid,synthetic_aam,24,0,72.32,11.11
AAM-KPI_HOURLY_AREA-00-56,LOC001,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,71.18,index,valid,synthetic_aam,24,0,64.06,11.11
AAM-KPI_HOURLY_AREA-00-57,LOC001,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,24.34,index,valid,synthetic_aam,24,0,21.91,11.11
AAM-KPI_HOURLY_AREA-00-58,LOC001,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,68.01,index,valid,synthetic_aam,24,0,61.21,11.11
AAM-KPI_HOURLY_AREA-00-59,LOC001,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,43.66,index,valid,synthetic_aam,24,0,39.29,11.11
AAM-KPI_HOURLY_AREA-00-60,LOC001,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,68.13,index,valid,synthetic_aam,24,0,61.32,11.11
AAM-KPI_HOURLY_AREA-00-61,LOC001,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,54.45,index,valid,synthetic_aam,24,0,49.01,11.11
AAM-KPI_HOURLY_AREA-00-62,LOC001,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,54.36,index,valid,synthetic_aam,24,0,48.92,11.11
AAM-KPI_HOURLY_AREA-00-63,LOC001,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,56.45,index,valid,synthetic_aam,24,0,50.81,11.11
AAM-KPI_HOURLY_AREA-00-64,LOC001,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,65.74,index,valid,synthetic_aam,24,0,59.17,11.11
AAM-KPI_HOURLY_AREA-00-65,LOC001,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,51.57,index,valid,synthetic_aam,24,0,46.41,11.11
AAM-KPI_HOURLY_AREA-00-66,LOC001,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,58.15,index,valid,synthetic_aam,24,0,52.34,11.11
AAM-KPI_HOURLY_AREA-00-67,LOC001,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,79.4,index,valid,synthetic_aam,24,0,71.46,11.11
AAM-KPI_HOURLY_AREA-00-68,LOC001,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,74.88,index,valid,synthetic_aam,24,0,67.39,11.11
AAM-KPI_HOURLY_AREA-00-69,LOC001,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,83.38,index,valid,synthetic_aam,24,0,75.04,11.11
AAM-KPI_HOURLY_AREA-00-70,LOC001,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,70.12,index,valid,synthetic_aam,24,0,63.11,11.11
AAM-KPI_HOURLY_AREA-00-71,LOC001,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,44.49,index,valid,synthetic_aam,24,0,40.04,11.11
AAM-KPI_HOURLY_AREA-01-00,LOC002,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,70.24,index,valid,synthetic_aam,24,0,63.22,11.11
AAM-KPI_HOURLY_AREA-01-01,LOC002,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,67.4,index,valid,synthetic_aam,24,0,60.66,11.11
AAM-KPI_HOURLY_AREA-01-02,LOC002,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,70.41,index,valid,synthetic_aam,24,0,63.37,11.11
AAM-KPI_HOURLY_AREA-01-03,LOC002,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,68.18,index,valid,synthetic_aam,24,0,61.36,11.11
AAM-KPI_HOURLY_AREA-01-04,LOC002,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,66.36,index,valid,synthetic_aam,24,0,59.72,11.11
AAM-KPI_HOURLY_AREA-01-05,LOC002,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,70.11,index,valid,synthetic_aam,24,0,63.1,11.11
AAM-KPI_HOURLY_AREA-01-06,LOC002,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,39.22,index,valid,synthetic_aam,24,0,35.3,11.11
AAM-KPI_HOURLY_AREA-01-07,LOC002,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,59.62,index,valid,synthetic_aam,24,0,53.66,11.11
AAM-KPI_HOURLY_AREA-01-08,LOC002,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,23.8,index,valid,synthetic_aam,24,0,21.42,11.11
AAM-KPI_HOURLY_AREA-01-09,LOC002,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,78.06,index,valid,synthetic_aam,24,0,70.25,11.11
AAM-KPI_HOURLY_AREA-01-10,LOC002,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,32.34,index,valid,synthetic_aam,24,0,29.11,11.11
AAM-KPI_HOURLY_AREA-01-11,LOC002,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,61.93,index,valid,synthetic_aam,24,0,55.74,11.11
AAM-KPI_HOURLY_AREA-01-12,LOC002,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,79.25,index,valid,synthetic_aam,24,0,71.33,11.11
AAM-KPI_HOURLY_AREA-01-13,LOC002,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,51.51,index,valid,synthetic_aam,24,0,46.36,11.11
AAM-KPI_HOURLY_AREA-01-14,LOC002,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,50.77,index,valid,synthetic_aam,24,0,45.69,11.11
AAM-KPI_HOURLY_AREA-01-15,LOC002,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,66.38,index,valid,synthetic_aam,24,0,59.74,11.11
AAM-KPI_HOURLY_AREA-01-16,LOC002,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,55.66,index,valid,synthetic_aam,24,0,50.09,11.11
AAM-KPI_HOURLY_AREA-01-17,LOC002,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,61.5,index,valid,synthetic_aam,24,0,55.35,11.11
AAM-KPI_HOURLY_AREA-01-18,LOC002,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,29.93,index,valid,synthetic_aam,24,0,26.94,11.11
AAM-KPI_HOURLY_AREA-01-19,LOC002,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,63.47,index,valid,synthetic_aam,24,0,57.12,11.11
AAM-KPI_HOURLY_AREA-01-20,LOC002,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,80.43,index,valid,synthetic_aam,24,0,72.39,11.11
AAM-KPI_HOURLY_AREA-01-21,LOC002,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,79.01,index,valid,synthetic_aam,24,0,71.11,11.11
AAM-KPI_HOURLY_AREA-01-22,LOC002,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,56.16,index,valid,synthetic_aam,24,0,50.54,11.11
AAM-KPI_HOURLY_AREA-01-23,LOC002,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,55.67,index,valid,synthetic_aam,24,0,50.1,11.11
AAM-KPI_HOURLY_AREA-01-24,LOC002,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,64.69,index,valid,synthetic_aam,24,0,58.22,11.11
AAM-KPI_HOURLY_AREA-01-25,LOC002,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,64.79,index,valid,synthetic_aam,24,0,58.31,11.11
AAM-KPI_HOURLY_AREA-01-26,LOC002,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,57.45,index,valid,synthetic_aam,24,0,51.71,11.11
AAM-KPI_HOURLY_AREA-01-27,LOC002,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,30.36,index,valid,synthetic_aam,24,0,27.32,11.11
AAM-KPI_HOURLY_AREA-01-28,LOC002,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,71.77,index,valid,synthetic_aam,24,0,64.59,11.11
AAM-KPI_HOURLY_AREA-01-29,LOC002,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,55.3,index,valid,synthetic_aam,24,0,49.77,11.11
AAM-KPI_HOURLY_AREA-01-30,LOC002,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,25.19,index,valid,synthetic_aam,24,0,22.67,11.11
AAM-KPI_HOURLY_AREA-01-31,LOC002,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,43.43,index,valid,synthetic_aam,24,0,39.09,11.11
AAM-KPI_HOURLY_AREA-01-32,LOC002,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,30.3,index,valid,synthetic_aam,24,0,27.27,11.11
