kpi_hourly_network_id,location_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,sample_count,breach_count,baseline_value,change_pct
AAM-KPI_HOURLY_NETWORK-00-00,LOC001,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,65.18,index,valid,synthetic_aam,24,0,58.66,11.11
AAM-KPI_HOURLY_NETWORK-00-01,LOC001,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,38.72,index,valid,synthetic_aam,24,0,34.85,11.11
AAM-KPI_HOURLY_NETWORK-00-02,LOC001,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,67.52,index,valid,synthetic_aam,24,0,60.77,11.11
AAM-KPI_HOURLY_NETWORK-00-03,LOC001,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,16.56,index,valid,synthetic_aam,24,0,14.9,11.11
AAM-KPI_HOURLY_NETWORK-00-04,LOC001,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,55.12,index,valid,synthetic_aam,24,0,49.61,11.11
AAM-KPI_HOURLY_NETWORK-00-05,LOC001,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,78.84,index,valid,synthetic_aam,24,0,70.96,11.11
AAM-KPI_HOURLY_NETWORK-00-06,LOC001,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,69.93,index,valid,synthetic_aam,24,0,62.94,11.11
AAM-KPI_HOURLY_NETWORK-00-07,LOC001,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,24.81,index,valid,synthetic_aam,24,0,22.33,11.11
AAM-KPI_HOURLY_NETWORK-00-08,LOC001,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,18.41,index,valid,synthetic_aam,24,0,16.57,11.11
AAM-KPI_HOURLY_NETWORK-00-09,LOC001,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,50.49,index,valid,synthetic_aam,24,0,45.44,11.11
AAM-KPI_HOURLY_NETWORK-00-10,LOC001,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,26.49,index,valid,synthetic_aam,24,0,23.84,11.11
AAM-KPI_HOURLY_NETWORK-00-11,LOC001,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,30.04,index,valid,synthetic_aam,24,0,27.04,11.11
AAM-KPI_HOURLY_NETWORK-00-12,LOC001,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,42.24,index,valid,synthetic_aam,24,0,38.02,11.11
AAM-KPI_HOURLY_NETWORK-00-13,LOC001,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,76.78,index,valid,synthetic_aam,24,0,69.1,11.11
AAM-KPI_HOURLY_NETWORK-00-14,LOC001,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,69.36,index,valid,synthetic_aam,24,0,62.42,11.11
