kpi_hourly_province_id,location_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,sample_count,breach_count,baseline_value,change_pct
AAM-KPI_HOURLY_PROVINCE-00-00,LOC001,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,26.28,index,valid,synthetic_aam,24,0,23.65,11.11
AAM-KPI_HOURLY_PROVINCE-00-01,LOC001,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,43.38,index,valid,synthetic_aam,24,0,39.04,11.11
AAM-KPI_HOURLY_PROVINCE-00-02,LOC001,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,41.56,index,valid,synthetic_aam,24,0,37.4,11.11
AAM-KPI_HOURLY_PROVINCE-00-03,LOC001,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,48.07,index,valid,synthetic_aam,24,0,43.26,11.11
AAM-KPI_HOURLY_PROVINCE-00-04,LOC001,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,42.84,index,valid,synthetic_aam,24,0,38.56,11.11
AAM-KPI_HOURLY_PROVINCE-00-05,LOC001,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,43.54,index,valid,synthetic_aam,24,0,39.19,11.11
AAM-KPI_HOURLY_PROVINCE-00-06,LOC001,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,24.3,index,valid,synthetic_aam,24,0,21.87,11.11
AAM-KPI_HOURLY_PROVINCE-00-07,LOC001,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,25.18,index,valid,synthetic_aam,24,0,22.66,11.11
AAM-KPI_HOURLY_PROVINCE-00-08,LOC001,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,35.75,index,valid,synthetic_aam,24,0,32.18,11.11
AAM-KPI_HOURLY_PROVINCE-00-09,LOC001,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,81.01,index,valid,synthetic_aam,24,0,72.91,11.11
AAM-KPI_HOURLY_PROVINCE-00-10,LOC001,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,29.37,index,valid,synthetic_aam,24,0,26.43,11.11
AAM-KPI_HOURLY_PROVINCE-00-11,LOC001,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,78.04,index,valid,synthetic_aam,24,0,70.24,11.11
AAM-KPI_HOURLY_PROVINCE-00-12,LOC001,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,21.03,index,valid,synthetic_aam,24,0,18.93,11.11
AAM-KPI_HOURLY_PROVINCE-00-13,LOC001,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,49.58,index,valid,synthetic_aam,24,0,44.62,11.11
AAM-KPI_HOURLY_PROVINCE-00-14,LOC001,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,31.88,index,valid,synthetic_aam,24,0,28.69,11.11
AAM-KPI_HOURLY_PROVINCE-00-15,LOC001,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,55.04,index,valid,synthetic_aam,24,0,49.54,11.11
AAM-KPI_HOURLY_PROVINCE-00-16,LOC001,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,79.81,index,valid,synthetic_aam,24,0,71.83,11.11
AAM-KPI_HOURLY_PROVINCE-00-17,LOC001,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,25.6,index,valid,synthetic_aam,24,0,23.04,11.11
