kpi_quality_audit_id,location_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,sample_count,breach_count,baseline_value,change_pct
AAM-KPI_QUALITY_AUDIT-00-00,LOC001,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,32.23,index,valid,synthetic_aam,24,0,29.01,11.11
AAM-KPI_QUALITY_AUDIT-00-09,LOC001,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,18.7,index,valid,synthetic_aam,24,0,16.83,11.11
AAM-KPI_QUALITY_AUDIT-00-18,LOC001,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,65.05,index,valid,synthetic_aam,24,0,58.55,11.11
AAM-KPI_QUALITY_AUDIT-00-27,LOC001,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,50.33,index,degraded,synthetic_aam,24,1,45.3,11.11
AAM-KPI_QUALITY_AUDIT-00-36,LOC001,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,30.52,index,valid,synthetic_aam,24,0,27.47,11.11
AAM-KPI_QUALITY_AUDIT-00-45,LOC001,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,50.42,index,valid,synthetic_aam,24,0,45.38,11.11
AAM-KPI_QUALITY_AUDIT-00-54,LOC001,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,51.43,index,valid,synthetic_aam,24,0,46.29,11.11
AAM-KPI_QUALITY_AUDIT-00-63,LOC001,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,66.32,index,valid,synthetic_aam,24,0,59.69,11.11
AAM-KPI_QUALITY_AUDIT-01-00,LOC002,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,32.45,index,valid,synthetic_aam,24,0,29.21,11.11
AAM-KPI_QUALITY_AUDIT-01-09,LOC002,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,62.41,index,valid,synthetic_aam,24,0,56.17,11.11
AAM-KPI_QUALITY_AUDIT-01-18,LOC002,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,22.24,index,valid,synthetic_aam,24,0,20.02,11.11
AAM-KPI_QUALITY_AUDIT-01-27,LOC002,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,68.35,index,valid,synthetic_aam,24,0,61.51,11.11
AAM-KPI_QUALITY_AUDIT-01-36,LOC002,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,55.31,index,valid,synthetic_aam,24,0,49.78,11.11
AAM-KPI_QUALITY_AUDIT-01-45,LOC002,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,56.7,index,degraded,synthetic_aam,24,1,51.03,11.11
AAM-KPI_QUALITY_AUDIT-01-54,LOC002,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,33.32,index,valid,synthetic_aam,24,0,29.99,11.11
AAM-KPI_QUALITY_AUDIT-01-63,LOC002,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,71.28,index,valid,synthetic_aam,24,0,64.15,11.11
AAM-KPI_QUALITY_AUDIT-02-00,LOC003,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,40.38,index,valid,synthetic_aam,24,0,36.34,11.11
AAM-KPI_QUALITY_AUDIT-02-09,LOC003,CMU,KV3,active,2026-08-18-09,2026-08-18 09:00:00,80.2,index,valid,synthetic_aam,24,0,72.18,11.11
AAM-KPI_QUALITY_AUDIT-02-18,LOC003,CMU,KV3,active,2026-08-18-18,2026-08-18 18:00:00,25.17,index,valid,synthetic_aam,24,0,22.65,11.11
AAM-KPI_QUALITY_AUDIT-02-27,LOC003,CMU,KV3,active,2026-08-19-03,2026-08-19 03:00:00,74.21,index,valid,synthetic_aam,24,0,66.79,11.11
AAM-KPI_QUALITY_AUDIT-02-36,LOC003,CMU,KV3,active,2026-08-19-12,2026-08-19 12:00:00,39.78,index,valid,synthetic_aam,24,0,35.8,11.11
AAM-KPI_QUALITY_AUDIT-02-45,LOC003,CMU,KV3,active,2026-08-19-21,2026-08-19 21:00:00,34.43,index,valid,synthetic_aam,24,0,30.99,11.11
AAM-KPI_QUALITY_AUDIT-02-54,LOC003,CMU,KV3,active,2026-08-20-06,2026-08-20 06:00:00,30.61,index,valid,synthetic_aam,24,0,27.55,11.11
AAM-KPI_QUALITY_AUDIT-02-63,LOC003,CMU,KV3,active,2026-08-20-15,2026-08-20 15:00:00,56.47,index,valid,synthetic_aam,24,0,50.82,11.11
AAM-KPI_QUALITY_AUDIT-03-00,LOC004,NBH,KV1,active,2026-08-18-00,2026-08-18 00:00:00,64.99,index,valid,synthetic_aam,24,0,58.49,11.11
AAM-KPI_QUALITY_AUDIT-03-09,LOC004,NBH,KV1,active,2026-08-18-09,2026-08-18 09:00:00,53.24,index,valid,synthetic_aam,24,0,47.92,11.11
AAM-KPI_QUALITY_AUDIT-03-18,LOC004,NBH,KV1,active,2026-08-18-18,2026-08-18 18:00:00,57.66,index,valid,synthetic_aam,24,0,51.89,11.11
AAM-KPI_QUALITY_AUDIT-03-27,LOC004,NBH,KV1,active,2026-08-19-03,2026-08-19 03:00:00,83.71,index,valid,synthetic_aam,24,0,75.34,11.11
AAM-KPI_QUALITY_AUDIT-03-36,LOC004,NBH,KV1,active,2026-08-19-12,2026-08-19 12:00:00,41.26,index,valid,synthetic_aam,24,0,37.13,11.11
AAM-KPI_QUALITY_AUDIT-03-45,LOC004,NBH,KV1,active,2026-08-19-21,2026-08-19 21:00:00,84.55,index,valid,synthetic_aam,24,0,76.09,11.11
AAM-KPI_QUALITY_AUDIT-03-54,LOC004,NBH,KV1,active,2026-08-20-06,2026-08-20 06:00:00,59.54,index,valid,synthetic_aam,24,0,53.59,11.11
AAM-KPI_QUALITY_AUDIT-03-63,LOC004,NBH,KV1,active,2026-08-20-15,2026-08-20 15:00:00,62.76,index,valid,synthetic_aam,24,0,56.48,11.11
AAM-KPI_QUALITY_AUDIT-04-00,LOC005,HCM,KV3,active,2026-08-18-00,2026-08-18 00:00:00,26.08,index,valid,synthetic_aam,24,0,23.47,11.11
AAM-KPI_QUALITY_AUDIT-04-09,LOC005,HCM,KV3,active,2026-08-18-09,2026-08-18 09:00:00,55.82,index,valid,synthetic_aam,24,0,50.24,11.11
AAM-KPI_QUALITY_AUDIT-04-18,LOC005,HCM,KV3,active,2026-08-18-18,2026-08-18 18:00:00,25.94,index,valid,synthetic_aam,24,0,23.35,11.11
AAM-KPI_QUALITY_AUDIT-04-27,LOC005,HCM,KV3,active,2026-08-19-03,2026-08-19 03:00:00,72.16,index,valid,synthetic_aam,24,0,64.94,11.11
AAM-KPI_QUALITY_AUDIT-04-36,LOC005,HCM,KV3,active,2026-08-19-12,2026-08-19 12:00:00,57.34,index,valid,synthetic_aam,24,0,51.61,11.11
AAM-KPI_QUALITY_AUDIT-04-45,LOC005,HCM,KV3,active,2026-08-19-21,2026-08-19 21:00:00,38.8,index,valid,synthetic_aam,24,0,34.92,11.11
AAM-KPI_QUALITY_AUDIT-04-54,LOC005,HCM,KV3,active,2026-08-20-06,2026-08-20 06:00:00,68.48,index,valid,synthetic_aam,24,0,61.63,11.11
AAM-KPI_QUALITY_AUDIT-04-63,LOC005,HCM,KV3,active,2026-08-20-15,2026-08-20 15:00:00,60.58,index,valid,synthetic_aam,24,0,54.52,11.11
AAM-KPI_QUALITY_AUDIT-05-00,LOC006,KHA,KV2,active,2026-08-18-00,2026-08-18 00:00:00,16.06,index,valid,synthetic_aam,24,0,14.45,11.11
AAM-KPI_QUALITY_AUDIT-05-09,LOC006,KHA,KV2,active,2026-08-18-09,2026-08-18 09:00:00,33.66,index,valid,synthetic_aam,24,0,30.29,11.11
AAM-KPI_QUALITY_AUDIT-05-18,LOC006,KHA,KV2,active,2026-08-18-18,2026-08-18 18:00:00,64.75,index,valid,synthetic_aam,24,0,58.27,11.11
AAM-KPI_QUALITY_AUDIT-05-27,LOC006,KHA,KV2,active,2026-08-19-03,2026-08-19 03:00:00,56.66,index,valid,synthetic_aam,24,0,50.99,11.11
AAM-KPI_QUALITY_AUDIT-05-36,LOC006,KHA,KV2,active,2026-08-19-12,2026-08-19 12:00:00,40.09,index,valid,synthetic_aam,24,0,36.08,11.11
AAM-KPI_QUALITY_AUDIT-05-45,LOC006,KHA,KV2,active,2026-08-19-21,2026-08-19 21:00:00,79.7,index,valid,synthetic_aam,24,0,71.73,11.11
AAM-KPI_QUALITY_AUDIT-05-54,LOC006,KHA,KV2,active,2026-08-20-06,2026-08-20 06:00:00,49.93,index,valid,synthetic_aam,24,0,44.94,11.11
AAM-KPI_QUALITY_AUDIT-05-63,LOC006,KHA,KV2,active,2026-08-20-15,2026-08-20 15:00:00,63.09,index,valid,synthetic_aam,24,0,56.78,11.11
