kpi_rollup_job_id,location_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,sample_count,breach_count,baseline_value,change_pct
AAM-KPI_ROLLUP_JOB-00-00,LOC001,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,30.75,index,valid,synthetic_aam,24,0,27.68,11.11
AAM-KPI_ROLLUP_JOB-00-09,LOC001,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,36.25,index,valid,synthetic_aam,24,0,32.62,11.11
AAM-KPI_ROLLUP_JOB-00-18,LOC001,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,67.71,index,valid,synthetic_aam,24,0,60.94,11.11
AAM-KPI_ROLLUP_JOB-00-27,LOC001,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,48.81,index,degraded,synthetic_aam,24,1,43.93,11.11
AAM-KPI_ROLLUP_JOB-00-36,LOC001,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,66.34,index,valid,synthetic_aam,24,0,59.71,11.11
AAM-KPI_ROLLUP_JOB-00-45,LOC001,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,17.12,index,valid,synthetic_aam,24,0,15.41,11.11
AAM-KPI_ROLLUP_JOB-00-54,LOC001,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,68.24,index,valid,synthetic_aam,24,0,61.42,11.11
AAM-KPI_ROLLUP_JOB-00-63,LOC001,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,62.17,index,valid,synthetic_aam,24,0,55.95,11.11
AAM-KPI_ROLLUP_JOB-01-00,LOC002,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,72.6,index,valid,synthetic_aam,24,0,65.34,11.11
AAM-KPI_ROLLUP_JOB-01-09,LOC002,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,64.64,index,valid,synthetic_aam,24,0,58.18,11.11
AAM-KPI_ROLLUP_JOB-01-18,LOC002,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,20.11,index,valid,synthetic_aam,24,0,18.1,11.11
AAM-KPI_ROLLUP_JOB-01-27,LOC002,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,69.63,index,valid,synthetic_aam,24,0,62.67,11.11
AAM-KPI_ROLLUP_JOB-01-36,LOC002,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,56.11,index,valid,synthetic_aam,24,0,50.5,11.11
AAM-KPI_ROLLUP_JOB-01-45,LOC002,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,106.64,index,degraded,synthetic_aam,24,1,95.98,11.11
AAM-KPI_ROLLUP_JOB-01-54,LOC002,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,32.71,index,valid,synthetic_aam,24,0,29.44,11.11
AAM-KPI_ROLLUP_JOB-01-63,LOC002,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,40.12,index,valid,synthetic_aam,24,0,36.11,11.11
AAM-KPI_ROLLUP_JOB-02-00,LOC003,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,15.58,index,valid,synthetic_aam,24,0,14.02,11.11
AAM-KPI_ROLLUP_JOB-02-09,LOC003,CMU,KV3,active,2026-08-18-09,2026-08-18 09:00:00,75.23,index,valid,synthetic_aam,24,0,67.71,11.11
AAM-KPI_ROLLUP_JOB-02-18,LOC003,CMU,KV3,active,2026-08-18-18,2026-08-18 18:00:00,80.9,index,valid,synthetic_aam,24,0,72.81,11.11
