configuration_change_id,device_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,temperature_c,uptime_s,retry_count,signal_dbm
ACS-CONFIGURATION_CHANGE-00-00,CPE0001,DBN,KV1,active,2026-08-18 00:00:00,CONFIGURATION_CHANGE,info,success,60,synthetic_acs,52.64,86400,2,-56.94
ACS-CONFIGURATION_CHANGE-00-09,CPE0001,DBN,KV1,active,2026-08-18 09:00:00,CONFIGURATION_CHANGE,info,success,60,synthetic_acs,35.13,118800,0,-63.82
ACS-CONFIGURATION_CHANGE-00-18,CPE0001,DBN,KV1,active,2026-08-18 18:00:00,CONFIGURATION_CHANGE,info,success,60,synthetic_acs,52.36,151200,0,-50.3
ACS-CONFIGURATION_CHANGE-00-27,CPE0001,DBN,KV1,degraded,2026-08-19 03:00:00,CONFIGURATION_CHANGE,major,failed,3600,synthetic_acs,49.68,183600,4,-49.33
ACS-CONFIGURATION_CHANGE-00-36,CPE0001,DBN,KV1,active,2026-08-19 12:00:00,CONFIGURATION_CHANGE,info,success,60,synthetic_acs,38.76,216000,1,-55.07
ACS-CONFIGURATION_CHANGE-00-45,CPE0001,DBN,KV1,active,2026-08-19 21:00:00,CONFIGURATION_CHANGE,info,success,60,synthetic_acs,47.52,248400,5,-50.01
ACS-CONFIGURATION_CHANGE-00-54,CPE0001,DBN,KV1,active,2026-08-20 06:00:00,CONFIGURATION_CHANGE,info,success,60,synthetic_acs,53.59,280800,0,-56.69
ACS-CONFIGURATION_CHANGE-00-63,CPE0001,DBN,KV1,active,2026-08-20 15:00:00,CONFIGURATION_CHANGE,info,success,60,synthetic_acs,42.16,313200,0,-52.26
ACS-CONFIGURATION_CHANGE-01-00,CPE0007,SLA,KV1,active,2026-08-18 00:00:00,CONFIGURATION_CHANGE,info,success,60,synthetic_acs,38.07,86400,5,-72.62
ACS-CONFIGURATION_CHANGE-01-09,CPE0007,SLA,KV1,active,2026-08-18 09:00:00,CONFIGURATION_CHANGE,info,success,60,synthetic_acs,42.31,118800,1,-51.13
ACS-CONFIGURATION_CHANGE-01-18,CPE0007,SLA,KV1,active,2026-08-18 18:00:00,CONFIGURATION_CHANGE,info,success,60,synthetic_acs,46.78,151200,1,-61.1
ACS-CONFIGURATION_CHANGE-01-27,CPE0007,SLA,KV1,active,2026-08-19 03:00:00,CONFIGURATION_CHANGE,info,success,60,synthetic_acs,38.05,183600,4,-59.45
ACS-CONFIGURATION_CHANGE-01-36,CPE0007,SLA,KV1,active,2026-08-19 12:00:00,CONFIGURATION_CHANGE,info,success,60,synthetic_acs,44.12,216000,1,-59.91
ACS-CONFIGURATION_CHANGE-01-45,CPE0007,SLA,KV1,degraded,2026-08-19 21:00:00,CONFIGURATION_CHANGE,major,failed,3600,synthetic_acs,45.69,248400,1,-58.07
ACS-CONFIGURATION_CHANGE-01-54,CPE0007,SLA,KV1,active,2026-08-20 06:00:00,CONFIGURATION_CHANGE,info,success,60,synthetic_acs,39.41,280800,1,-65.41
ACS-CONFIGURATION_CHANGE-01-63,CPE0007,SLA,KV1,active,2026-08-20 15:00:00,CONFIGURATION_CHANGE,info,success,60,synthetic_acs,47.99,313200,3,-63.87
ACS-CONFIGURATION_CHANGE-02-00,CPE0013,CMU,KV3,active,2026-08-18 00:00:00,CONFIGURATION_CHANGE,info,success,60,synthetic_acs,43.85,86400,1,-55.94
ACS-CONFIGURATION_CHANGE-02-09,CPE0013,CMU,KV3,active,2026-08-18 09:00:00,CONFIGURATION_CHANGE,info,success,60,synthetic_acs,39.45,118800,0,-51.3
ACS-CONFIGURATION_CHANGE-02-18,CPE0013,CMU,KV3,active,2026-08-18 18:00:00,CONFIGURATION_CHANGE,info,success,60,synthetic_acs,54.41,151200,3,-60.2
ACS-CONFIGURATION_CHANGE-02-27,CPE0013,CMU,KV3,active,2026-08-19 03:00:00,CONFIGURATION_CHANGE,info,success,60,synthetic_acs,37.03,183600,0,-64.16
ACS-CONFIGURATION_CHANGE-02-36,CPE0013,CMU,KV3,active,2026-08-19 12:00:00,CONFIGURATION_CHANGE,info,success,60,synthetic_acs,53.2,216000,0,-62.72
ACS-CONFIGURATION_CHANGE-02-45,CPE0013,CMU,KV3,active,2026-08-19 21:00:00,CONFIGURATION_CHANGE,info,success,60,synthetic_acs,49.49,248400,2,-68.94
ACS-CONFIGURATION_CHANGE-02-54,CPE0013,CMU,KV3,active,2026-08-20 06:00:00,CONFIGURATION_CHANGE,info,success,60,synthetic_acs,50.62,280800,0,-48.06
ACS-CONFIGURATION_CHANGE-02-63,CPE0013,CMU,KV3,active,2026-08-20 15:00:00,CONFIGURATION_CHANGE,info,success,60,synthetic_acs,38.19,313200,3,-49.34
ACS-CONFIGURATION_CHANGE-03-00,CPE0019,NBH,KV1,active,2026-08-18 00:00:00,CONFIGURATION_CHANGE,info,success,60,synthetic_acs,37.91,86400,1,-61.79
ACS-CONFIGURATION_CHANGE-03-09,CPE0019,NBH,KV1,active,2026-08-18 09:00:00,CONFIGURATION_CHANGE,info,success,60,synthetic_acs,45.19,118800,0,-56.88
ACS-CONFIGURATION_CHANGE-03-18,CPE0019,NBH,KV1,active,2026-08-18 18:00:00,CONFIGURATION_CHANGE,info,success,60,synthetic_acs,43.26,151200,1,-61.2
ACS-CONFIGURATION_CHANGE-03-27,CPE0019,NBH,KV1,active,2026-08-19 03:00:00,CONFIGURATION_CHANGE,info,success,60,synthetic_acs,43.34,183600,3,-65.83
