cpe_config_history_id,device_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,temperature_c,uptime_s,retry_count,signal_dbm
ACS-CPE_CONFIG_HISTORY-00-00,CPE0001,DBN,KV1,active,2026-08-18 00:00:00,CPE_CONFIG_HISTORY,info,success,60,synthetic_acs,37.95,86400,5,-68.11
ACS-CPE_CONFIG_HISTORY-00-09,CPE0001,DBN,KV1,active,2026-08-18 09:00:00,CPE_CONFIG_HISTORY,info,success,60,synthetic_acs,36.6,118800,2,-58.58
ACS-CPE_CONFIG_HISTORY-00-18,CPE0001,DBN,KV1,active,2026-08-18 18:00:00,CPE_CONFIG_HISTORY,info,success,60,synthetic_acs,39.31,151200,1,-46.83
ACS-CPE_CONFIG_HISTORY-00-27,CPE0001,DBN,KV1,degraded,2026-08-19 03:00:00,CPE_CONFIG_HISTORY,major,failed,3600,synthetic_acs,53.29,183600,0,-56.16
ACS-CPE_CONFIG_HISTORY-00-36,CPE0001,DBN,KV1,active,2026-08-19 12:00:00,CPE_CONFIG_HISTORY,info,success,60,synthetic_acs,40.91,216000,2,-56.66
ACS-CPE_CONFIG_HISTORY-00-45,CPE0001,DBN,KV1,active,2026-08-19 21:00:00,CPE_CONFIG_HISTORY,info,success,60,synthetic_acs,36.42,248400,3,-47.8
ACS-CPE_CONFIG_HISTORY-00-54,CPE0001,DBN,KV1,active,2026-08-20 06:00:00,CPE_CONFIG_HISTORY,info,success,60,synthetic_acs,35.15,280800,2,-53.16
ACS-CPE_CONFIG_HISTORY-00-63,CPE0001,DBN,KV1,active,2026-08-20 15:00:00,CPE_CONFIG_HISTORY,info,success,60,synthetic_acs,49.09,313200,2,-45.73
ACS-CPE_CONFIG_HISTORY-01-00,CPE0007,SLA,KV1,active,2026-08-18 00:00:00,CPE_CONFIG_HISTORY,info,success,60,synthetic_acs,52.62,86400,0,-61.59
ACS-CPE_CONFIG_HISTORY-01-09,CPE0007,SLA,KV1,active,2026-08-18 09:00:00,CPE_CONFIG_HISTORY,info,success,60,synthetic_acs,43.06,118800,0,-46.65
ACS-CPE_CONFIG_HISTORY-01-18,CPE0007,SLA,KV1,active,2026-08-18 18:00:00,CPE_CONFIG_HISTORY,info,success,60,synthetic_acs,50.63,151200,5,-49.24
ACS-CPE_CONFIG_HISTORY-01-27,CPE0007,SLA,KV1,active,2026-08-19 03:00:00,CPE_CONFIG_HISTORY,info,success,60,synthetic_acs,38.21,183600,3,-69.99
ACS-CPE_CONFIG_HISTORY-01-36,CPE0007,SLA,KV1,active,2026-08-19 12:00:00,CPE_CONFIG_HISTORY,info,success,60,synthetic_acs,45.14,216000,2,-51.56
ACS-CPE_CONFIG_HISTORY-01-45,CPE0007,SLA,KV1,degraded,2026-08-19 21:00:00,CPE_CONFIG_HISTORY,major,failed,3600,synthetic_acs,51.79,248400,1,-55.86
ACS-CPE_CONFIG_HISTORY-01-54,CPE0007,SLA,KV1,active,2026-08-20 06:00:00,CPE_CONFIG_HISTORY,info,success,60,synthetic_acs,42.5,280800,0,-67.62
ACS-CPE_CONFIG_HISTORY-01-63,CPE0007,SLA,KV1,active,2026-08-20 15:00:00,CPE_CONFIG_HISTORY,info,success,60,synthetic_acs,50.37,313200,3,-64.53
ACS-CPE_CONFIG_HISTORY-02-00,CPE0013,CMU,KV3,active,2026-08-18 00:00:00,CPE_CONFIG_HISTORY,info,success,60,synthetic_acs,40.14,86400,1,-64.18
ACS-CPE_CONFIG_HISTORY-02-09,CPE0013,CMU,KV3,active,2026-08-18 09:00:00,CPE_CONFIG_HISTORY,info,success,60,synthetic_acs,42.63,118800,3,-49.49
ACS-CPE_CONFIG_HISTORY-02-18,CPE0013,CMU,KV3,active,2026-08-18 18:00:00,CPE_CONFIG_HISTORY,info,success,60,synthetic_acs,53.26,151200,4,-71.7
ACS-CPE_CONFIG_HISTORY-02-27,CPE0013,CMU,KV3,active,2026-08-19 03:00:00,CPE_CONFIG_HISTORY,info,success,60,synthetic_acs,51.81,183600,0,-63.18
ACS-CPE_CONFIG_HISTORY-02-36,CPE0013,CMU,KV3,active,2026-08-19 12:00:00,CPE_CONFIG_HISTORY,info,success,60,synthetic_acs,41.21,216000,3,-66.23
ACS-CPE_CONFIG_HISTORY-02-45,CPE0013,CMU,KV3,active,2026-08-19 21:00:00,CPE_CONFIG_HISTORY,info,success,60,synthetic_acs,37.68,248400,0,-51.47
ACS-CPE_CONFIG_HISTORY-02-54,CPE0013,CMU,KV3,active,2026-08-20 06:00:00,CPE_CONFIG_HISTORY,info,success,60,synthetic_acs,54.02,280800,5,-69.27
ACS-CPE_CONFIG_HISTORY-02-63,CPE0013,CMU,KV3,active,2026-08-20 15:00:00,CPE_CONFIG_HISTORY,info,success,60,synthetic_acs,37.92,313200,0,-74.45
ACS-CPE_CONFIG_HISTORY-03-00,CPE0019,NBH,KV1,active,2026-08-18 00:00:00,CPE_CONFIG_HISTORY,info,success,60,synthetic_acs,46.45,86400,0,-62.5
ACS-CPE_CONFIG_HISTORY-03-09,CPE0019,NBH,KV1,active,2026-08-18 09:00:00,CPE_CONFIG_HISTORY,info,success,60,synthetic_acs,46.79,118800,1,-73.77
ACS-CPE_CONFIG_HISTORY-03-18,CPE0019,NBH,KV1,active,2026-08-18 18:00:00,CPE_CONFIG_HISTORY,info,success,60,synthetic_acs,50.99,151200,3,-62.41
ACS-CPE_CONFIG_HISTORY-03-27,CPE0019,NBH,KV1,active,2026-08-19 03:00:00,CPE_CONFIG_HISTORY,info,success,60,synthetic_acs,39.92,183600,2,-55.12
ACS-CPE_CONFIG_HISTORY-03-36,CPE0019,NBH,KV1,active,2026-08-19 12:00:00,CPE_CONFIG_HISTORY,info,success,60,synthetic_acs,42.49,216000,1,-54.32
ACS-CPE_CONFIG_HISTORY-03-45,CPE0019,NBH,KV1,active,2026-08-19 21:00:00,CPE_CONFIG_HISTORY,info,success,60,synthetic_acs,46.13,248400,4,-49.01
ACS-CPE_CONFIG_HISTORY-03-54,CPE0019,NBH,KV1,active,2026-08-20 06:00:00,CPE_CONFIG_HISTORY,info,success,60,synthetic_acs,35.41,280800,4,-60.53
