device_fault_id,device_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,temperature_c,uptime_s,retry_count,signal_dbm
ACS-DEVICE_FAULT-00-00,CPE0001,DBN,KV1,active,2026-08-18 00:00:00,DEVICE_FAULT,info,success,60,synthetic_acs,38.89,86400,0,-73.38
ACS-DEVICE_FAULT-00-09,CPE0001,DBN,KV1,active,2026-08-18 09:00:00,DEVICE_FAULT,info,success,60,synthetic_acs,52.71,118800,3,-54.92
ACS-DEVICE_FAULT-00-18,CPE0001,DBN,KV1,active,2026-08-18 18:00:00,DEVICE_FAULT,info,success,60,synthetic_acs,49.0,151200,2,-74.11
ACS-DEVICE_FAULT-00-27,CPE0001,DBN,KV1,degraded,2026-08-19 03:00:00,DEVICE_FAULT,major,failed,3600,synthetic_acs,52.44,183600,4,-57.69
ACS-DEVICE_FAULT-00-36,CPE0001,DBN,KV1,active,2026-08-19 12:00:00,DEVICE_FAULT,info,success,60,synthetic_acs,54.34,216000,4,-47.83
ACS-DEVICE_FAULT-00-45,CPE0001,DBN,KV1,active,2026-08-19 21:00:00,DEVICE_FAULT,info,success,60,synthetic_acs,47.06,248400,5,-49.78
ACS-DEVICE_FAULT-00-54,CPE0001,DBN,KV1,active,2026-08-20 06:00:00,DEVICE_FAULT,info,success,60,synthetic_acs,48.66,280800,0,-65.84
ACS-DEVICE_FAULT-00-63,CPE0001,DBN,KV1,active,2026-08-20 15:00:00,DEVICE_FAULT,info,success,60,synthetic_acs,43.85,313200,5,-46.55
ACS-DEVICE_FAULT-01-00,CPE0007,SLA,KV1,active,2026-08-18 00:00:00,DEVICE_FAULT,info,success,60,synthetic_acs,50.7,86400,5,-66.75
ACS-DEVICE_FAULT-01-09,CPE0007,SLA,KV1,active,2026-08-18 09:00:00,DEVICE_FAULT,info,success,60,synthetic_acs,51.21,118800,2,-53.67
ACS-DEVICE_FAULT-01-18,CPE0007,SLA,KV1,active,2026-08-18 18:00:00,DEVICE_FAULT,info,success,60,synthetic_acs,36.56,151200,5,-56.93
ACS-DEVICE_FAULT-01-27,CPE0007,SLA,KV1,active,2026-08-19 03:00:00,DEVICE_FAULT,info,success,60,synthetic_acs,49.64,183600,0,-56.83
ACS-DEVICE_FAULT-01-36,CPE0007,SLA,KV1,active,2026-08-19 12:00:00,DEVICE_FAULT,info,success,60,synthetic_acs,45.51,216000,1,-71.22
ACS-DEVICE_FAULT-01-45,CPE0007,SLA,KV1,degraded,2026-08-19 21:00:00,DEVICE_FAULT,major,failed,3600,synthetic_acs,54.31,248400,2,-62.34
ACS-DEVICE_FAULT-01-54,CPE0007,SLA,KV1,active,2026-08-20 06:00:00,DEVICE_FAULT,info,success,60,synthetic_acs,37.34,280800,4,-55.05
ACS-DEVICE_FAULT-01-63,CPE0007,SLA,KV1,active,2026-08-20 15:00:00,DEVICE_FAULT,info,success,60,synthetic_acs,54.14,313200,4,-58.85
ACS-DEVICE_FAULT-02-00,CPE0013,CMU,KV3,active,2026-08-18 00:00:00,DEVICE_FAULT,info,success,60,synthetic_acs,48.81,86400,0,-54.78
ACS-DEVICE_FAULT-02-09,CPE0013,CMU,KV3,active,2026-08-18 09:00:00,DEVICE_FAULT,info,success,60,synthetic_acs,48.32,118800,2,-65.67
ACS-DEVICE_FAULT-02-18,CPE0013,CMU,KV3,active,2026-08-18 18:00:00,DEVICE_FAULT,info,success,60,synthetic_acs,41.98,151200,2,-48.36
ACS-DEVICE_FAULT-02-27,CPE0013,CMU,KV3,active,2026-08-19 03:00:00,DEVICE_FAULT,info,success,60,synthetic_acs,38.02,183600,0,-63.72
ACS-DEVICE_FAULT-02-36,CPE0013,CMU,KV3,active,2026-08-19 12:00:00,DEVICE_FAULT,info,success,60,synthetic_acs,36.74,216000,0,-57.44
ACS-DEVICE_FAULT-02-45,CPE0013,CMU,KV3,active,2026-08-19 21:00:00,DEVICE_FAULT,info,success,60,synthetic_acs,45.8,248400,4,-71.22
ACS-DEVICE_FAULT-02-54,CPE0013,CMU,KV3,active,2026-08-20 06:00:00,DEVICE_FAULT,info,success,60,synthetic_acs,41.07,280800,1,-48.7
ACS-DEVICE_FAULT-02-63,CPE0013,CMU,KV3,active,2026-08-20 15:00:00,DEVICE_FAULT,info,success,60,synthetic_acs,46.88,313200,3,-62.51
ACS-DEVICE_FAULT-03-00,CPE0019,NBH,KV1,active,2026-08-18 00:00:00,DEVICE_FAULT,info,success,60,synthetic_acs,36.92,86400,3,-52.42
ACS-DEVICE_FAULT-03-09,CPE0019,NBH,KV1,active,2026-08-18 09:00:00,DEVICE_FAULT,info,success,60,synthetic_acs,54.93,118800,2,-48.4
ACS-DEVICE_FAULT-03-18,CPE0019,NBH,KV1,active,2026-08-18 18:00:00,DEVICE_FAULT,info,success,60,synthetic_acs,35.58,151200,0,-49.85
ACS-DEVICE_FAULT-03-27,CPE0019,NBH,KV1,active,2026-08-19 03:00:00,DEVICE_FAULT,info,success,60,synthetic_acs,35.73,183600,3,-69.11
ACS-DEVICE_FAULT-03-36,CPE0019,NBH,KV1,active,2026-08-19 12:00:00,DEVICE_FAULT,info,success,60,synthetic_acs,47.7,216000,5,-73.44
ACS-DEVICE_FAULT-03-45,CPE0019,NBH,KV1,active,2026-08-19 21:00:00,DEVICE_FAULT,info,success,60,synthetic_acs,37.12,248400,2,-53.11
ACS-DEVICE_FAULT-03-54,CPE0019,NBH,KV1,active,2026-08-20 06:00:00,DEVICE_FAULT,info,success,60,synthetic_acs,50.79,280800,5,-67.83
ACS-DEVICE_FAULT-03-63,CPE0019,NBH,KV1,active,2026-08-20 15:00:00,DEVICE_FAULT,info,success,60,synthetic_acs,45.27,313200,3,-47.32
ACS-DEVICE_FAULT-04-00,CPE0025,HCM,KV3,active,2026-08-18 00:00:00,DEVICE_FAULT,info,success,60,synthetic_acs,46.37,86400,0,-70.46
ACS-DEVICE_FAULT-04-09,CPE0025,HCM,KV3,active,2026-08-18 09:00:00,DEVICE_FAULT,info,success,60,synthetic_acs,45.43,118800,1,-73.4
ACS-DEVICE_FAULT-04-18,CPE0025,HCM,KV3,active,2026-08-18 18:00:00,DEVICE_FAULT,info,success,60,synthetic_acs,37.26,151200,0,-47.34
ACS-DEVICE_FAULT-04-27,CPE0025,HCM,KV3,active,2026-08-19 03:00:00,DEVICE_FAULT,info,success,60,synthetic_acs,44.03,183600,5,-55.48
ACS-DEVICE_FAULT-04-36,CPE0025,HCM,KV3,active,2026-08-19 12:00:00,DEVICE_FAULT,info,success,60,synthetic_acs,53.24,216000,0,-49.6
ACS-DEVICE_FAULT-04-45,CPE0025,HCM,KV3,active,2026-08-19 21:00:00,DEVICE_FAULT,info,success,60,synthetic_acs,36.49,248400,2,-62.72
ACS-DEVICE_FAULT-04-54,CPE0025,HCM,KV3,active,2026-08-20 06:00:00,DEVICE_FAULT,info,success,60,synthetic_acs,51.57,280800,0,-66.03
ACS-DEVICE_FAULT-04-63,CPE0025,HCM,KV3,active,2026-08-20 15:00:00,DEVICE_FAULT,info,success,60,synthetic_acs,53.99,313200,1,-67.84
ACS-DEVICE_FAULT-05-00,CPE0026,KHA,KV2,active,2026-08-18 00:00:00,DEVICE_FAULT,info,success,60,synthetic_acs,40.04,86400,2,-56.18
ACS-DEVICE_FAULT-05-09,CPE0026,KHA,KV2,active,2026-08-18 09:00:00,DEVICE_FAULT,info,success,60,synthetic_acs,37.13,118800,5,-59.23
ACS-DEVICE_FAULT-05-18,CPE0026,KHA,KV2,active,2026-08-18 18:00:00,DEVICE_FAULT,info,success,60,synthetic_acs,48.31,151200,3,-73.1
ACS-DEVICE_FAULT-05-27,CPE0026,KHA,KV2,active,2026-08-19 03:00:00,DEVICE_FAULT,info,success,60,synthetic_acs,37.23,183600,1,-60.78
ACS-DEVICE_FAULT-05-36,CPE0026,KHA,KV2,active,2026-08-19 12:00:00,DEVICE_FAULT,info,success,60,synthetic_acs,41.08,216000,4,-73.54
ACS-DEVICE_FAULT-05-45,CPE0026,KHA,KV2,active,2026-08-19 21:00:00,DEVICE_FAULT,info,success,60,synthetic_acs,53.45,248400,3,-48.28
ACS-DEVICE_FAULT-05-54,CPE0026,KHA,KV2,active,2026-08-20 06:00:00,DEVICE_FAULT,info,success,60,synthetic_acs,50.6,280800,2,-57.05
ACS-DEVICE_FAULT-05-63,CPE0026,KHA,KV2,active,2026-08-20 15:00:00,DEVICE_FAULT,info,success,60,synthetic_acs,51.99,313200,5,-50.83
