device_id,ne_id,serial_number,customer_id,account_id,model,manufacturer,firmware_version,province_code,station_id,install_date,status,wan_type,last_contact_at
CPE0001,NE0001,SYNTH00000001,CUS0001,ACC0001,F680,ZTE,1.2.1,DBN,ST0101,2025-05-02,active,PPPoE,2026-08-20 23:00:00
CPE0002,NE0002,SYNTH00000002,CUS0002,ACC0002,F680,ZTE,1.2.1,DBN,ST0102,2025-05-02,active,PPPoE,2026-08-20 23:00:00
CPE0003,NE0003,SYNTH00000003,CUS0003,ACC0003,F680,ZTE,1.2.1,DBN,ST0101,2025-05-02,active,PPPoE,2026-08-20 23:00:00
CPE0004,NE0004,SYNTH00000004,CUS0004,ACC0004,F680,ZTE,1.2.1,DBN,ST0102,2025-05-02,active,PPPoE,2026-08-20 23:00:00
CPE0005,NE0005,SYNTH00000005,CUS0005,ACC0005,F680,ZTE,1.2.1,DBN,ST0101,2025-05-02,active,PPPoE,2026-08-20 23:00:00
CPE0006,NE0006,SYNTH00000006,CUS0006,ACC0006,F680,ZTE,1.2.1,SLA,ST0201,2025-05-02,active,PPPoE,2026-08-20 23:00:00
CPE0007,NE0007,SYNTH00000007,CUS0007,ACC0007,F680,ZTE,1.2.1,SLA,ST0202,2025-05-02,active,PPPoE,2026-08-20 23:00:00
CPE0008,NE0008,SYNTH00000008,CUS0008,ACC0008,F680,ZTE,1.2.1,SLA,ST0201,2025-05-02,active,PPPoE,2026-08-20 23:00:00
CPE0009,NE0009,SYNTH00000009,CUS0009,ACC0009,F680,ZTE,1.2.1,SLA,ST0202,2025-05-02,active,PPPoE,2026-08-20 23:00:00
CPE0010,NE0010,SYNTH00000010,CUS0010,ACC0010,F680,ZTE,1.2.1,SLA,ST0201,2025-05-02,active,PPPoE,2026-08-20 23:00:00
CPE0011,NE0011,SYNTH00000011,CUS0011,ACC0011,F680,ZTE,1.2.1,CMU,ST0301,2025-05-02,active,PPPoE,2026-08-20 23:00:00
CPE0012,NE0012,SYNTH00000012,CUS0012,ACC0012,F680,ZTE,1.2.1,CMU,ST0302,2025-05-02,active,PPPoE,2026-08-20 23:00:00
CPE0013,NE0013,SYNTH00000013,CUS0013,ACC0013,F680,ZTE,1.2.1,CMU,ST0301,2025-05-02,active,PPPoE,2026-08-20 23:00:00
CPE0014,NE0014,SYNTH00000014,CUS0014,ACC0014,F680,ZTE,1.2.1,CMU,ST0302,2025-05-02,active,PPPoE,2026-08-20 23:00:00
CPE0015,NE0015,SYNTH00000015,CUS0015,ACC0015,F680,ZTE,1.2.1,CMU,ST0301,2025-05-02,active,PPPoE,2026-08-20 23:00:00
CPE0016,NE0016,SYNTH00000016,CUS0016,ACC0016,F680,ZTE,1.2.1,NBH,ST0401,2025-05-02,active,PPPoE,2026-08-20 23:00:00
CPE0017,NE0017,SYNTH00000017,CUS0017,ACC0017,F680,ZTE,1.2.1,NBH,ST0402,2025-05-02,active,PPPoE,2026-08-20 23:00:00
CPE0018,NE0018,SYNTH00000018,CUS0018,ACC0018,F680,ZTE,1.2.1,NBH,ST0401,2025-05-02,active,PPPoE,2026-08-20 23:00:00
CPE0019,NE0019,SYNTH00000019,CUS0019,ACC0019,F680,ZTE,1.2.1,NBH,ST0402,2025-05-02,active,PPPoE,2026-08-20 23:00:00
CPE0020,NE0020,SYNTH00000020,CUS0020,ACC0020,F680,ZTE,1.2.1,NBH,ST0401,2025-05-02,active,PPPoE,2026-08-20 23:00:00
CPE0021,NE0021,SYNTH00000021,CUS0021,ACC0021,F680,ZTE,1.2.1,HCM,ST0501,2025-05-02,active,PPPoE,2026-08-20 23:00:00
CPE0022,NE0022,SYNTH00000022,CUS0022,ACC0022,F680,ZTE,1.2.1,HCM,ST0502,2025-05-02,active,PPPoE,2026-08-20 23:00:00
CPE0023,NE0023,SYNTH00000023,CUS0023,ACC0023,F680,ZTE,1.2.1,HCM,ST0501,2025-05-02,active,PPPoE,2026-08-20 23:00:00
CPE0024,NE0024,SYNTH00000024,CUS0024,ACC0024,F680,ZTE,1.2.1,HCM,ST0502,2025-05-02,active,PPPoE,2026-08-20 23:00:00
CPE0025,NE0025,SYNTH00000025,CUS0025,ACC0025,F680,ZTE,1.2.1,HCM,ST0501,2025-05-02,active,PPPoE,2026-08-20 23:00:00
CPE0026,NE0026,SYNTH00000026,CUS0026,ACC0026,F680,ZTE,1.2.1,KHA,ST0601,2025-05-02,active,PPPoE,2026-08-20 23:00:00
CPE0027,NE0027,SYNTH00000027,CUS0027,ACC0027,F680,ZTE,1.2.1,KHA,ST0602,2025-05-02,active,PPPoE,2026-08-20 23:00:00
CPE0028,NE0028,SYNTH00000028,CUS0028,ACC0028,F680,ZTE,1.2.1,KHA,ST0601,2025-05-02,active,PPPoE,2026-08-20 23:00:00
CPE0029,NE0029,SYNTH00000029,CUS0029,ACC0029,F680,ZTE,1.2.1,KHA,ST0602,2025-05-02,active,PPPoE,2026-08-20 23:00:00
CPE0030,NE0030,SYNTH00000030,CUS0030,ACC0030,F680,ZTE,1.2.1,KHA,ST0601,2025-05-02,active,PPPoE,2026-08-20 23:00:00
