uptime_id,device_id,ne_id,record_time,date_hour,uptime_s,uptime_delta_s,wan_uptime_s,connect_status,ip_address,province_code,station_id,firmware_version,temperature_c,duration,created_date,uptime,uptime_delta,uptime_wanppp,uptime_wanppp_delta,product_class,sw_version,manufacture,serial_number,last_contact_time,pppoe_username,device_code,device_type_code,network_type,network_class,station_code,location_id,location_code,country_name,area_name,province_name,district_name,country_code,area_code,district_code
UP000000,CPE0001,NE0001,2026-08-18 00:00:00,2026-08-18-00,86400,3600,86300,connected,100.64.0.0,DBN,ST0101,1.2.1,41.97,3600,2026-08-18 00:00:00,86400,3600,86300,3600,CPE,1.2.1,ZTE,SYNTH00000001,2026-08-18 00:00:00,demo_acc0001,ONT,ONT,FTTH,access,ST0101,LOC001,LOC001,Việt Nam,,Điện Biên,Quận/Huyện 1 Điện Biên,VNM,,DBN001
UP003000,CPE0004,NE0004,2026-08-18 00:00:00,2026-08-18-00,86400,3600,86300,connected,100.64.0.3,DBN,ST0102,1.2.1,42.42,3600,2026-08-18 00:00:00,86400,3600,86300,3600,CPE,1.2.1,ZTE,SYNTH00000004,2026-08-18 00:00:00,demo_acc0004,ONT,ONT,FTTH,access,ST0102,LOC001,LOC001,Việt Nam,,Điện Biên,Quận/Huyện 1 Điện Biên,VNM,,DBN001
UP006000,CPE0007,NE0007,2026-08-18 00:00:00,2026-08-18-00,86400,3600,86300,connected,100.64.0.6,SLA,ST0202,1.2.1,47.01,3600,2026-08-18 00:00:00,86400,3600,86300,3600,CPE,1.2.1,ZTE,SYNTH00000007,2026-08-18 00:00:00,demo_acc0007,ONT,ONT,FTTH,access,ST0202,LOC002,LOC002,Việt Nam,,Sơn La,Quận/Huyện 1 Sơn La,VNM,,SLA001
UP009000,CPE0010,NE0010,2026-08-18 00:00:00,2026-08-18-00,86400,3600,86300,connected,100.64.0.9,SLA,ST0201,1.2.1,49.24,3600,2026-08-18 00:00:00,86400,3600,86300,3600,CPE,1.2.1,ZTE,SYNTH00000010,2026-08-18 00:00:00,demo_acc0010,ONT,ONT,FTTH,access,ST0201,LOC002,LOC002,Việt Nam,,Sơn La,Quận/Huyện 1 Sơn La,VNM,,SLA001
UP012000,CPE0013,NE0013,2026-08-18 00:00:00,2026-08-18-00,86400,3600,86300,connected,100.64.0.12,CMU,ST0301,1.2.1,48.42,3600,2026-08-18 00:00:00,86400,3600,86300,3600,CPE,1.2.1,ZTE,SYNTH00000013,2026-08-18 00:00:00,demo_acc0013,ONT,ONT,FTTH,access,ST0301,LOC003,LOC003,Việt Nam,,Cà Mau,Quận/Huyện 1 Cà Mau,VNM,,CMU001
UP015000,CPE0016,NE0016,2026-08-18 00:00:00,2026-08-18-00,86400,3600,86300,connected,100.64.0.15,NBH,ST0401,1.2.1,50.97,3600,2026-08-18 00:00:00,86400,3600,86300,3600,CPE,1.2.1,ZTE,SYNTH00000016,2026-08-18 00:00:00,demo_acc0016,ONT,ONT,FTTH,access,ST0401,LOC004,LOC004,Việt Nam,,Ninh Bình,Quận/Huyện 1 Ninh Bình,VNM,,NBH001
UP018000,CPE0019,NE0019,2026-08-18 00:00:00,2026-08-18-00,86400,3600,86300,connected,100.64.0.18,NBH,ST0402,1.2.1,37.65,3600,2026-08-18 00:00:00,86400,3600,86300,3600,CPE,1.2.1,ZTE,SYNTH00000019,2026-08-18 00:00:00,demo_acc0019,ONT,ONT,FTTH,access,ST0402,LOC004,LOC004,Việt Nam,,Ninh Bình,Quận/Huyện 1 Ninh Bình,VNM,,NBH001
UP021000,CPE0022,NE0022,2026-08-18 00:00:00,2026-08-18-00,86400,3600,86300,connected,100.64.0.21,HCM,ST0502,1.2.1,52.74,3600,2026-08-18 00:00:00,86400,3600,86300,3600,CPE,1.2.1,ZTE,SYNTH00000022,2026-08-18 00:00:00,demo_acc0022,ONT,ONT,FTTH,access,ST0502,LOC005,LOC005,Việt Nam,,Hồ Chí Minh,Quận/Huyện 1 Hồ Chí Minh,VNM,,HCM001
UP024000,CPE0025,NE0025,2026-08-18 00:00:00,2026-08-18-00,86400,3600,86300,connected,100.64.0.24,HCM,ST0501,1.2.1,44.87,3600,2026-08-18 00:00:00,86400,3600,86300,3600,CPE,1.2.1,ZTE,SYNTH00000025,2026-08-18 00:00:00,demo_acc0025,ONT,ONT,FTTH,access,ST0501,LOC005,LOC005,Việt Nam,,Hồ Chí Minh,Quận/Huyện 1 Hồ Chí Minh,VNM,,HCM001
UP027000,CPE0028,NE0028,2026-08-18 00:00:00,2026-08-18-00,86400,3600,86300,connected,100.64.0.27,KHA,ST0601,1.2.1,39.52,3600,2026-08-18 00:00:00,86400,3600,86300,3600,CPE,1.2.1,ZTE,SYNTH00000028,2026-08-18 00:00:00,demo_acc0028,ONT,ONT,FTTH,access,ST0601,LOC006,LOC006,Việt Nam,,Khánh Hòa,Quận/Huyện 1 Khánh Hòa,VNM,,KHA001
