wifi_id,device_id,record_time,date_hour,ssid,band,channel,standard,signal_dbm,noise_dbm,client_count,tx_rate_mbps,rx_rate_mbps,retry_rate,province_code,duration,ne_id,created_date,wifi_name,wifi_max_bit_rate,wifi_channel,wifi_ssid,wifi_standard,wifi_regulatory_domain,wifi_total_bytes_sent,wifi_total_bytes_received,wifi_total_packets_sent,wifi_total_packets_received,wifi_total_associations,wifi_error_sent,wifi_error_received,wifi_total_psk_failures,wifi_total_integrity_failures,wifi_transmit_power,ip_address,connect_status,product_class,sw_version,hardware_version,manufacture
WIFI000000,CPE0001,2026-08-18 00:00:00,2026-08-18-00,SYNTH-000,5GHz,36,802.11ac,-66.08,-90,6,176.15,290.78,0.07,DBN,3600,NE0001,2026-08-18 00:00:00,SYNTH-000,176.15,36,SYNTH-000,802.11ac,VN,300000000,900000000,300000,900000,6,0,0,0,0,18,100.64.0.0,connected,CPE,1.2.1,,ZTE
WIFI003000,CPE0004,2026-08-18 00:00:00,2026-08-18-00,SYNTH-003,5GHz,48,802.11ac,-67.14,-90,2,313.87,118.49,0.06,DBN,3600,NE0004,2026-08-18 00:00:00,SYNTH-003,313.87,48,SYNTH-003,802.11ac,VN,100000000,300000000,100000,300000,2,0,0,0,0,18,100.64.0.3,connected,CPE,1.2.1,,ZTE
WIFI006000,CPE0007,2026-08-18 00:00:00,2026-08-18-00,SYNTH-006,5GHz,44,802.11ac,-47.4,-90,3,143.35,177.85,0.06,SLA,3600,NE0007,2026-08-18 00:00:00,SYNTH-006,143.35,44,SYNTH-006,802.11ac,VN,150000000,450000000,150000,450000,3,0,0,0,0,18,100.64.0.6,connected,CPE,1.2.1,,ZTE
WIFI009000,CPE0010,2026-08-18 00:00:00,2026-08-18-00,SYNTH-009,5GHz,40,802.11ac,-55.86,-90,6,349.86,182.88,0.05,SLA,3600,NE0010,2026-08-18 00:00:00,SYNTH-009,349.86,40,SYNTH-009,802.11ac,VN,300000000,900000000,300000,900000,6,0,0,0,0,18,100.64.0.9,connected,CPE,1.2.1,,ZTE
WIFI012000,CPE0013,2026-08-18 00:00:00,2026-08-18-00,SYNTH-012,5GHz,36,802.11ac,-52.49,-90,9,357.59,131.66,0.06,CMU,3600,NE0013,2026-08-18 00:00:00,SYNTH-012,357.59,36,SYNTH-012,802.11ac,VN,450000000,1350000000,450000,1350000,9,0,0,0,0,18,100.64.0.12,connected,CPE,1.2.1,,ZTE
WIFI015000,CPE0016,2026-08-18 00:00:00,2026-08-18-00,SYNTH-015,5GHz,48,802.11ac,-57.5,-90,9,134.6,133.48,0.04,NBH,3600,NE0016,2026-08-18 00:00:00,SYNTH-015,134.6,48,SYNTH-015,802.11ac,VN,450000000,1350000000,450000,1350000,9,0,0,0,0,18,100.64.0.15,connected,CPE,1.2.1,,ZTE
WIFI018000,CPE0019,2026-08-18 00:00:00,2026-08-18-00,SYNTH-018,5GHz,44,802.11ac,-58.83,-90,7,313.78,339.5,0.11,NBH,3600,NE0019,2026-08-18 00:00:00,SYNTH-018,313.78,44,SYNTH-018,802.11ac,VN,350000000,1050000000,350000,1050000,7,0,0,0,0,18,100.64.0.18,connected,CPE,1.2.1,,ZTE
WIFI021000,CPE0022,2026-08-18 00:00:00,2026-08-18-00,SYNTH-021,5GHz,40,802.11ac,-70.91,-90,3,317.83,89.89,0.06,HCM,3600,NE0022,2026-08-18 00:00:00,SYNTH-021,317.83,40,SYNTH-021,802.11ac,VN,150000000,450000000,150000,450000,3,0,0,0,0,18,100.64.0.21,connected,CPE,1.2.1,,ZTE
WIFI024000,CPE0025,2026-08-18 00:00:00,2026-08-18-00,SYNTH-024,5GHz,36,802.11ac,-56.52,-90,6,184.45,319.94,0.02,HCM,3600,NE0025,2026-08-18 00:00:00,SYNTH-024,184.45,36,SYNTH-024,802.11ac,VN,300000000,900000000,300000,900000,6,0,0,0,0,18,100.64.0.24,connected,CPE,1.2.1,,ZTE
WIFI027000,CPE0028,2026-08-18 00:00:00,2026-08-18-00,SYNTH-027,5GHz,48,802.11ac,-49.95,-90,2,212.0,247.61,0.02,KHA,3600,NE0028,2026-08-18 00:00:00,SYNTH-027,212.0,48,SYNTH-027,802.11ac,VN,100000000,300000000,100000,300000,2,0,0,0,0,18,100.64.0.27,connected,CPE,1.2.1,,ZTE
