firmware_rollout_id,device_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,temperature_c,uptime_s,retry_count,signal_dbm
ACS-FIRMWARE_ROLLOUT-00-00,CPE0001,DBN,KV1,active,2026-08-18 00:00:00,FIRMWARE_ROLLOUT,info,success,60,synthetic_acs,41.03,86400,3,-49.57
ACS-FIRMWARE_ROLLOUT-00-09,CPE0001,DBN,KV1,active,2026-08-18 09:00:00,FIRMWARE_ROLLOUT,info,success,60,synthetic_acs,47.57,118800,5,-73.23
ACS-FIRMWARE_ROLLOUT-00-18,CPE0001,DBN,KV1,active,2026-08-18 18:00:00,FIRMWARE_ROLLOUT,info,success,60,synthetic_acs,39.2,151200,3,-70.09
ACS-FIRMWARE_ROLLOUT-00-27,CPE0001,DBN,KV1,degraded,2026-08-19 03:00:00,FIRMWARE_ROLLOUT,major,failed,3600,synthetic_acs,53.0,183600,1,-65.37
ACS-FIRMWARE_ROLLOUT-00-36,CPE0001,DBN,KV1,active,2026-08-19 12:00:00,FIRMWARE_ROLLOUT,info,success,60,synthetic_acs,47.54,216000,1,-55.78
ACS-FIRMWARE_ROLLOUT-00-45,CPE0001,DBN,KV1,active,2026-08-19 21:00:00,FIRMWARE_ROLLOUT,info,success,60,synthetic_acs,55.0,248400,0,-70.38
ACS-FIRMWARE_ROLLOUT-00-54,CPE0001,DBN,KV1,active,2026-08-20 06:00:00,FIRMWARE_ROLLOUT,info,success,60,synthetic_acs,35.79,280800,4,-66.08
ACS-FIRMWARE_ROLLOUT-00-63,CPE0001,DBN,KV1,active,2026-08-20 15:00:00,FIRMWARE_ROLLOUT,info,success,60,synthetic_acs,50.54,313200,3,-52.41
ACS-FIRMWARE_ROLLOUT-01-00,CPE0007,SLA,KV1,active,2026-08-18 00:00:00,FIRMWARE_ROLLOUT,info,success,60,synthetic_acs,49.41,86400,5,-70.16
ACS-FIRMWARE_ROLLOUT-01-09,CPE0007,SLA,KV1,active,2026-08-18 09:00:00,FIRMWARE_ROLLOUT,info,success,60,synthetic_acs,37.19,118800,3,-49.42
ACS-FIRMWARE_ROLLOUT-01-18,CPE0007,SLA,KV1,active,2026-08-18 18:00:00,FIRMWARE_ROLLOUT,info,success,60,synthetic_acs,54.98,151200,3,-50.45
ACS-FIRMWARE_ROLLOUT-01-27,CPE0007,SLA,KV1,active,2026-08-19 03:00:00,FIRMWARE_ROLLOUT,info,success,60,synthetic_acs,53.38,183600,5,-64.5
ACS-FIRMWARE_ROLLOUT-01-36,CPE0007,SLA,KV1,active,2026-08-19 12:00:00,FIRMWARE_ROLLOUT,info,success,60,synthetic_acs,41.56,216000,0,-64.07
ACS-FIRMWARE_ROLLOUT-01-45,CPE0007,SLA,KV1,degraded,2026-08-19 21:00:00,FIRMWARE_ROLLOUT,major,failed,3600,synthetic_acs,44.91,248400,1,-49.45
ACS-FIRMWARE_ROLLOUT-01-54,CPE0007,SLA,KV1,active,2026-08-20 06:00:00,FIRMWARE_ROLLOUT,info,success,60,synthetic_acs,49.8,280800,5,-70.27
ACS-FIRMWARE_ROLLOUT-01-63,CPE0007,SLA,KV1,active,2026-08-20 15:00:00,FIRMWARE_ROLLOUT,info,success,60,synthetic_acs,37.49,313200,3,-64.86
ACS-FIRMWARE_ROLLOUT-02-00,CPE0013,CMU,KV3,active,2026-08-18 00:00:00,FIRMWARE_ROLLOUT,info,success,60,synthetic_acs,41.15,86400,5,-46.36
ACS-FIRMWARE_ROLLOUT-02-09,CPE0013,CMU,KV3,active,2026-08-18 09:00:00,FIRMWARE_ROLLOUT,info,success,60,synthetic_acs,46.06,118800,4,-48.04
ACS-FIRMWARE_ROLLOUT-02-18,CPE0013,CMU,KV3,active,2026-08-18 18:00:00,FIRMWARE_ROLLOUT,info,success,60,synthetic_acs,51.22,151200,1,-56.29
ACS-FIRMWARE_ROLLOUT-02-27,CPE0013,CMU,KV3,active,2026-08-19 03:00:00,FIRMWARE_ROLLOUT,info,success,60,synthetic_acs,53.38,183600,5,-55.23
ACS-FIRMWARE_ROLLOUT-02-36,CPE0013,CMU,KV3,active,2026-08-19 12:00:00,FIRMWARE_ROLLOUT,info,success,60,synthetic_acs,40.0,216000,5,-68.54
ACS-FIRMWARE_ROLLOUT-02-45,CPE0013,CMU,KV3,active,2026-08-19 21:00:00,FIRMWARE_ROLLOUT,info,success,60,synthetic_acs,39.79,248400,1,-56.88
ACS-FIRMWARE_ROLLOUT-02-54,CPE0013,CMU,KV3,active,2026-08-20 06:00:00,FIRMWARE_ROLLOUT,info,success,60,synthetic_acs,50.54,280800,5,-73.74
ACS-FIRMWARE_ROLLOUT-02-63,CPE0013,CMU,KV3,active,2026-08-20 15:00:00,FIRMWARE_ROLLOUT,info,success,60,synthetic_acs,53.89,313200,1,-52.14
ACS-FIRMWARE_ROLLOUT-03-00,CPE0019,NBH,KV1,active,2026-08-18 00:00:00,FIRMWARE_ROLLOUT,info,success,60,synthetic_acs,52.79,86400,1,-68.18
