firmware_upgrade_event_id,device_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,temperature_c,uptime_s,retry_count,signal_dbm
ACS-FIRMWARE_UPGRADE_EVENT-00-00,CPE0001,DBN,KV1,active,2026-08-18 00:00:00,FIRMWARE_UPGRADE_EVENT,info,success,60,synthetic_acs,53.02,86400,3,-61.52
ACS-FIRMWARE_UPGRADE_EVENT-00-09,CPE0001,DBN,KV1,active,2026-08-18 09:00:00,FIRMWARE_UPGRADE_EVENT,info,success,60,synthetic_acs,46.41,118800,3,-57.97
ACS-FIRMWARE_UPGRADE_EVENT-00-18,CPE0001,DBN,KV1,active,2026-08-18 18:00:00,FIRMWARE_UPGRADE_EVENT,info,success,60,synthetic_acs,45.93,151200,4,-54.76
ACS-FIRMWARE_UPGRADE_EVENT-00-27,CPE0001,DBN,KV1,degraded,2026-08-19 03:00:00,FIRMWARE_UPGRADE_EVENT,major,failed,3600,synthetic_acs,42.55,183600,5,-57.67
ACS-FIRMWARE_UPGRADE_EVENT-00-36,CPE0001,DBN,KV1,active,2026-08-19 12:00:00,FIRMWARE_UPGRADE_EVENT,info,success,60,synthetic_acs,36.07,216000,3,-70.75
ACS-FIRMWARE_UPGRADE_EVENT-00-45,CPE0001,DBN,KV1,active,2026-08-19 21:00:00,FIRMWARE_UPGRADE_EVENT,info,success,60,synthetic_acs,50.28,248400,4,-50.21
ACS-FIRMWARE_UPGRADE_EVENT-00-54,CPE0001,DBN,KV1,active,2026-08-20 06:00:00,FIRMWARE_UPGRADE_EVENT,info,success,60,synthetic_acs,47.52,280800,5,-74.28
ACS-FIRMWARE_UPGRADE_EVENT-00-63,CPE0001,DBN,KV1,active,2026-08-20 15:00:00,FIRMWARE_UPGRADE_EVENT,info,success,60,synthetic_acs,45.84,313200,4,-70.37
ACS-FIRMWARE_UPGRADE_EVENT-01-00,CPE0007,SLA,KV1,active,2026-08-18 00:00:00,FIRMWARE_UPGRADE_EVENT,info,success,60,synthetic_acs,39.54,86400,1,-52.69
ACS-FIRMWARE_UPGRADE_EVENT-01-09,CPE0007,SLA,KV1,active,2026-08-18 09:00:00,FIRMWARE_UPGRADE_EVENT,info,success,60,synthetic_acs,43.54,118800,0,-73.39
ACS-FIRMWARE_UPGRADE_EVENT-01-18,CPE0007,SLA,KV1,active,2026-08-18 18:00:00,FIRMWARE_UPGRADE_EVENT,info,success,60,synthetic_acs,43.13,151200,2,-63.9
ACS-FIRMWARE_UPGRADE_EVENT-01-27,CPE0007,SLA,KV1,active,2026-08-19 03:00:00,FIRMWARE_UPGRADE_EVENT,info,success,60,synthetic_acs,43.9,183600,1,-59.38
