date_hour_o,record_time,duration,ne_id,created_date,uptime,uptime_delta,uptime_wanppp,uptime_wanppp_delta,date_hour
2026-08-18-00,2026-08-18 00:00:00,3600,NE0001,2026-08-18 00:00:00,86400,3600,86300,3600,2026-08-18-00
2026-08-18-00,2026-08-18 00:00:00,3600,NE0004,2026-08-18 00:00:00,86400,3600,86300,3600,2026-08-18-00
2026-08-18-00,2026-08-18 00:00:00,3600,NE0007,2026-08-18 00:00:00,86400,3600,86300,3600,2026-08-18-00
2026-08-18-00,2026-08-18 00:00:00,3600,NE0010,2026-08-18 00:00:00,86400,3600,86300,3600,2026-08-18-00
2026-08-18-00,2026-08-18 00:00:00,3600,NE0013,2026-08-18 00:00:00,86400,3600,86300,3600,2026-08-18-00
2026-08-18-00,2026-08-18 00:00:00,3600,NE0016,2026-08-18 00:00:00,86400,3600,86300,3600,2026-08-18-00
2026-08-18-00,2026-08-18 00:00:00,3600,NE0019,2026-08-18 00:00:00,86400,3600,86300,3600,2026-08-18-00
2026-08-18-00,2026-08-18 00:00:00,3600,NE0022,2026-08-18 00:00:00,86400,3600,86300,3600,2026-08-18-00
2026-08-18-00,2026-08-18 00:00:00,3600,NE0025,2026-08-18 00:00:00,86400,3600,86300,3600,2026-08-18-00
2026-08-18-00,2026-08-18 00:00:00,3600,NE0028,2026-08-18 00:00:00,86400,3600,86300,3600,2026-08-18-00
2026-08-18-01,2026-08-18 01:00:00,3600,NE0002,2026-08-18 01:00:00,90000,3600,89900,3600,2026-08-18-01
2026-08-18-01,2026-08-18 01:00:00,3600,NE0005,2026-08-18 01:00:00,90000,3600,89900,3600,2026-08-18-01
2026-08-18-01,2026-08-18 01:00:00,3600,NE0008,2026-08-18 01:00:00,90000,3600,89900,3600,2026-08-18-01
2026-08-18-01,2026-08-18 01:00:00,3600,NE0011,2026-08-18 01:00:00,90000,3600,89900,3600,2026-08-18-01
2026-08-18-01,2026-08-18 01:00:00,3600,NE0014,2026-08-18 01:00:00,90000,3600,89900,3600,2026-08-18-01
2026-08-18-01,2026-08-18 01:00:00,3600,NE0017,2026-08-18 01:00:00,90000,3600,89900,3600,2026-08-18-01
2026-08-18-01,2026-08-18 01:00:00,3600,NE0020,2026-08-18 01:00:00,90000,3600,89900,3600,2026-08-18-01
2026-08-18-01,2026-08-18 01:00:00,3600,NE0023,2026-08-18 01:00:00,90000,3600,89900,3600,2026-08-18-01
2026-08-18-01,2026-08-18 01:00:00,3600,NE0026,2026-08-18 01:00:00,90000,3600,89900,3600,2026-08-18-01
2026-08-18-01,2026-08-18 01:00:00,3600,NE0029,2026-08-18 01:00:00,90000,3600,89900,3600,2026-08-18-01
2026-08-18-02,2026-08-18 02:00:00,3600,NE0003,2026-08-18 02:00:00,93600,3600,93500,3600,2026-08-18-02
2026-08-18-02,2026-08-18 02:00:00,3600,NE0006,2026-08-18 02:00:00,93600,3600,93500,3600,2026-08-18-02
2026-08-18-02,2026-08-18 02:00:00,3600,NE0009,2026-08-18 02:00:00,93600,3600,93500,3600,2026-08-18-02
2026-08-18-02,2026-08-18 02:00:00,3600,NE0012,2026-08-18 02:00:00,93600,3600,93500,3600,2026-08-18-02
2026-08-18-02,2026-08-18 02:00:00,3600,NE0015,2026-08-18 02:00:00,93600,3600,93500,3600,2026-08-18-02
2026-08-18-02,2026-08-18 02:00:00,3600,NE0018,2026-08-18 02:00:00,93600,3600,93500,3600,2026-08-18-02
2026-08-18-02,2026-08-18 02:00:00,3600,NE0021,2026-08-18 02:00:00,93600,3600,93500,3600,2026-08-18-02
2026-08-18-02,2026-08-18 02:00:00,3600,NE0024,2026-08-18 02:00:00,93600,3600,93500,3600,2026-08-18-02
2026-08-18-02,2026-08-18 02:00:00,3600,NE0027,2026-08-18 02:00:00,93600,3600,93500,3600,2026-08-18-02
2026-08-18-02,2026-08-18 02:00:00,3600,NE0030,2026-08-18 02:00:00,93600,3600,93500,3600,2026-08-18-02
2026-08-18-03,2026-08-18 03:00:00,10800,NE0001,2026-08-18 03:00:00,97200,10800,97100,10800,2026-08-18-03
2026-08-18-03,2026-08-18 03:00:00,10800,NE0004,2026-08-18 03:00:00,97200,10800,97100,10800,2026-08-18-03
2026-08-18-03,2026-08-18 03:00:00,10800,NE0007,2026-08-18 03:00:00,97200,10800,97100,10800,2026-08-18-03
2026-08-18-03,2026-08-18 03:00:00,10800,NE0010,2026-08-18 03:00:00,97200,10800,97100,10800,2026-08-18-03
2026-08-18-03,2026-08-18 03:00:00,10800,NE0013,2026-08-18 03:00:00,97200,10800,97100,10800,2026-08-18-03
2026-08-18-03,2026-08-18 03:00:00,10800,NE0016,2026-08-18 03:00:00,97200,10800,97100,10800,2026-08-18-03
2026-08-18-03,2026-08-18 03:00:00,10800,NE0019,2026-08-18 03:00:00,97200,10800,97100,10800,2026-08-18-03
2026-08-18-03,2026-08-18 03:00:00,10800,NE0022,2026-08-18 03:00:00,97200,10800,97100,10800,2026-08-18-03
2026-08-18-03,2026-08-18 03:00:00,10800,NE0025,2026-08-18 03:00:00,97200,10800,97100,10800,2026-08-18-03
2026-08-18-03,2026-08-18 03:00:00,10800,NE0028,2026-08-18 03:00:00,97200,10800,97100,10800,2026-08-18-03
2026-08-18-04,2026-08-18 04:00:00,10800,NE0002,2026-08-18 04:00:00,100800,10800,100700,10800,2026-08-18-04
2026-08-18-04,2026-08-18 04:00:00,10800,NE0005,2026-08-18 04:00:00,100800,10800,100700,10800,2026-08-18-04
2026-08-18-04,2026-08-18 04:00:00,10800,NE0008,2026-08-18 04:00:00,100800,10800,100700,10800,2026-08-18-04
2026-08-18-04,2026-08-18 04:00:00,10800,NE0011,2026-08-18 04:00:00,100800,10800,100700,10800,2026-08-18-04
2026-08-18-04,2026-08-18 04:00:00,10800,NE0014,2026-08-18 04:00:00,100800,10800,100700,10800,2026-08-18-04
2026-08-18-04,2026-08-18 04:00:00,10800,NE0017,2026-08-18 04:00:00,100800,10800,100700,10800,2026-08-18-04
2026-08-18-04,2026-08-18 04:00:00,10800,NE0020,2026-08-18 04:00:00,100800,10800,100700,10800,2026-08-18-04
2026-08-18-04,2026-08-18 04:00:00,10800,NE0023,2026-08-18 04:00:00,100800,10800,100700,10800,2026-08-18-04
2026-08-18-04,2026-08-18 04:00:00,10800,NE0026,2026-08-18 04:00:00,100800,10800,100700,10800,2026-08-18-04
2026-08-18-04,2026-08-18 04:00:00,10800,NE0029,2026-08-18 04:00:00,100800,10800,100700,10800,2026-08-18-04
2026-08-18-05,2026-08-18 05:00:00,10800,NE0003,2026-08-18 05:00:00,104400,10800,104300,10800,2026-08-18-05
2026-08-18-05,2026-08-18 05:00:00,10800,NE0006,2026-08-18 05:00:00,104400,10800,104300,10800,2026-08-18-05
2026-08-18-05,2026-08-18 05:00:00,10800,NE0009,2026-08-18 05:00:00,104400,10800,104300,10800,2026-08-18-05
2026-08-18-05,2026-08-18 05:00:00,10800,NE0012,2026-08-18 05:00:00,104400,10800,104300,10800,2026-08-18-05
2026-08-18-05,2026-08-18 05:00:00,10800,NE0015,2026-08-18 05:00:00,104400,10800,104300,10800,2026-08-18-05
2026-08-18-05,2026-08-18 05:00:00,10800,NE0018,2026-08-18 05:00:00,104400,10800,104300,10800,2026-08-18-05
2026-08-18-05,2026-08-18 05:00:00,10800,NE0021,2026-08-18 05:00:00,104400,10800,104300,10800,2026-08-18-05
2026-08-18-05,2026-08-18 05:00:00,10800,NE0024,2026-08-18 05:00:00,104400,10800,104300,10800,2026-08-18-05
2026-08-18-05,2026-08-18 05:00:00,10800,NE0027,2026-08-18 05:00:00,104400,10800,104300,10800,2026-08-18-05
2026-08-18-05,2026-08-18 05:00:00,10800,NE0030,2026-08-18 05:00:00,104400,10800,104300,10800,2026-08-18-05
2026-08-18-06,2026-08-18 06:00:00,10800,NE0001,2026-08-18 06:00:00,108000,10800,107900,10800,2026-08-18-06
2026-08-18-06,2026-08-18 06:00:00,10800,NE0004,2026-08-18 06:00:00,108000,10800,107900,10800,2026-08-18-06
2026-08-18-06,2026-08-18 06:00:00,10800,NE0007,2026-08-18 06:00:00,108000,10800,107900,10800,2026-08-18-06
2026-08-18-06,2026-08-18 06:00:00,10800,NE0010,2026-08-18 06:00:00,108000,10800,107900,10800,2026-08-18-06
2026-08-18-06,2026-08-18 06:00:00,10800,NE0013,2026-08-18 06:00:00,108000,10800,107900,10800,2026-08-18-06
2026-08-18-06,2026-08-18 06:00:00,10800,NE0016,2026-08-18 06:00:00,108000,10800,107900,10800,2026-08-18-06
2026-08-18-06,2026-08-18 06:00:00,10800,NE0019,2026-08-18 06:00:00,108000,10800,107900,10800,2026-08-18-06
2026-08-18-06,2026-08-18 06:00:00,10800,NE0022,2026-08-18 06:00:00,108000,10800,107900,10800,2026-08-18-06
2026-08-18-06,2026-08-18 06:00:00,10800,NE0025,2026-08-18 06:00:00,108000,10800,107900,10800,2026-08-18-06
2026-08-18-06,2026-08-18 06:00:00,10800,NE0028,2026-08-18 06:00:00,108000,10800,107900,10800,2026-08-18-06
2026-08-18-07,2026-08-18 07:00:00,10800,NE0002,2026-08-18 07:00:00,111600,10800,111500,10800,2026-08-18-07
2026-08-18-07,2026-08-18 07:00:00,10800,NE0005,2026-08-18 07:00:00,111600,10800,111500,10800,2026-08-18-07
2026-08-18-07,2026-08-18 07:00:00,10800,NE0008,2026-08-18 07:00:00,111600,10800,111500,10800,2026-08-18-07
2026-08-18-07,2026-08-18 07:00:00,10800,NE0011,2026-08-18 07:00:00,111600,10800,111500,10800,2026-08-18-07
2026-08-18-07,2026-08-18 07:00:00,10800,NE0014,2026-08-18 07:00:00,111600,10800,111500,10800,2026-08-18-07
2026-08-18-07,2026-08-18 07:00:00,10800,NE0017,2026-08-18 07:00:00,111600,10800,111500,10800,2026-08-18-07
2026-08-18-07,2026-08-18 07:00:00,10800,NE0020,2026-08-18 07:00:00,111600,10800,111500,10800,2026-08-18-07
2026-08-18-07,2026-08-18 07:00:00,10800,NE0023,2026-08-18 07:00:00,111600,10800,111500,10800,2026-08-18-07
2026-08-18-07,2026-08-18 07:00:00,10800,NE0026,2026-08-18 07:00:00,111600,10800,111500,10800,2026-08-18-07
2026-08-18-07,2026-08-18 07:00:00,10800,NE0029,2026-08-18 07:00:00,111600,10800,111500,10800,2026-08-18-07
2026-08-18-08,2026-08-18 08:00:00,10800,NE0003,2026-08-18 08:00:00,115200,10800,115100,10800,2026-08-18-08
2026-08-18-08,2026-08-18 08:00:00,10800,NE0006,2026-08-18 08:00:00,115200,10800,115100,10800,2026-08-18-08
2026-08-18-08,2026-08-18 08:00:00,10800,NE0009,2026-08-18 08:00:00,115200,10800,115100,10800,2026-08-18-08
2026-08-18-08,2026-08-18 08:00:00,10800,NE0012,2026-08-18 08:00:00,115200,10800,115100,10800,2026-08-18-08
2026-08-18-08,2026-08-18 08:00:00,10800,NE0015,2026-08-18 08:00:00,115200,10800,115100,10800,2026-08-18-08
2026-08-18-08,2026-08-18 08:00:00,10800,NE0018,2026-08-18 08:00:00,115200,10800,115100,10800,2026-08-18-08
2026-08-18-08,2026-08-18 08:00:00,10800,NE0021,2026-08-18 08:00:00,115200,10800,115100,10800,2026-08-18-08
2026-08-18-08,2026-08-18 08:00:00,10800,NE0024,2026-08-18 08:00:00,115200,10800,115100,10800,2026-08-18-08
2026-08-18-08,2026-08-18 08:00:00,10800,NE0027,2026-08-18 08:00:00,115200,10800,115100,10800,2026-08-18-08
2026-08-18-08,2026-08-18 08:00:00,10800,NE0030,2026-08-18 08:00:00,115200,10800,115100,10800,2026-08-18-08
2026-08-18-09,2026-08-18 09:00:00,10800,NE0001,2026-08-18 09:00:00,118800,10800,118700,10800,2026-08-18-09
2026-08-18-09,2026-08-18 09:00:00,10800,NE0004,2026-08-18 09:00:00,118800,10800,118700,10800,2026-08-18-09
2026-08-18-09,2026-08-18 09:00:00,10800,NE0007,2026-08-18 09:00:00,118800,10800,118700,10800,2026-08-18-09
2026-08-18-09,2026-08-18 09:00:00,10800,NE0010,2026-08-18 09:00:00,118800,10800,118700,10800,2026-08-18-09
2026-08-18-09,2026-08-18 09:00:00,10800,NE0013,2026-08-18 09:00:00,118800,10800,118700,10800,2026-08-18-09
2026-08-18-09,2026-08-18 09:00:00,10800,NE0016,2026-08-18 09:00:00,118800,10800,118700,10800,2026-08-18-09
2026-08-18-09,2026-08-18 09:00:00,10800,NE0019,2026-08-18 09:00:00,118800,10800,118700,10800,2026-08-18-09
2026-08-18-09,2026-08-18 09:00:00,10800,NE0022,2026-08-18 09:00:00,118800,10800,118700,10800,2026-08-18-09
2026-08-18-09,2026-08-18 09:00:00,10800,NE0025,2026-08-18 09:00:00,118800,10800,118700,10800,2026-08-18-09
2026-08-18-09,2026-08-18 09:00:00,10800,NE0028,2026-08-18 09:00:00,118800,10800,118700,10800,2026-08-18-09
2026-08-18-10,2026-08-18 10:00:00,10800,NE0002,2026-08-18 10:00:00,122400,10800,122300,10800,2026-08-18-10
2026-08-18-10,2026-08-18 10:00:00,10800,NE0005,2026-08-18 10:00:00,122400,10800,122300,10800,2026-08-18-10
2026-08-18-10,2026-08-18 10:00:00,10800,NE0008,2026-08-18 10:00:00,122400,10800,122300,10800,2026-08-18-10
2026-08-18-10,2026-08-18 10:00:00,10800,NE0011,2026-08-18 10:00:00,122400,10800,122300,10800,2026-08-18-10
2026-08-18-10,2026-08-18 10:00:00,10800,NE0014,2026-08-18 10:00:00,122400,10800,122300,10800,2026-08-18-10
2026-08-18-10,2026-08-18 10:00:00,10800,NE0017,2026-08-18 10:00:00,122400,10800,122300,10800,2026-08-18-10
2026-08-18-10,2026-08-18 10:00:00,10800,NE0020,2026-08-18 10:00:00,122400,10800,122300,10800,2026-08-18-10
2026-08-18-10,2026-08-18 10:00:00,10800,NE0023,2026-08-18 10:00:00,122400,10800,122300,10800,2026-08-18-10
2026-08-18-10,2026-08-18 10:00:00,10800,NE0026,2026-08-18 10:00:00,122400,10800,122300,10800,2026-08-18-10
2026-08-18-10,2026-08-18 10:00:00,10800,NE0029,2026-08-18 10:00:00,122400,10800,122300,10800,2026-08-18-10
2026-08-18-11,2026-08-18 11:00:00,10800,NE0003,2026-08-18 11:00:00,126000,10800,125900,10800,2026-08-18-11
2026-08-18-11,2026-08-18 11:00:00,10800,NE0006,2026-08-18 11:00:00,126000,10800,125900,10800,2026-08-18-11
2026-08-18-11,2026-08-18 11:00:00,10800,NE0009,2026-08-18 11:00:00,126000,10800,125900,10800,2026-08-18-11
2026-08-18-11,2026-08-18 11:00:00,10800,NE0012,2026-08-18 11:00:00,126000,10800,125900,10800,2026-08-18-11
2026-08-18-11,2026-08-18 11:00:00,10800,NE0015,2026-08-18 11:00:00,126000,10800,125900,10800,2026-08-18-11
2026-08-18-11,2026-08-18 11:00:00,10800,NE0018,2026-08-18 11:00:00,126000,10800,125900,10800,2026-08-18-11
2026-08-18-11,2026-08-18 11:00:00,10800,NE0021,2026-08-18 11:00:00,126000,10800,125900,10800,2026-08-18-11
2026-08-18-11,2026-08-18 11:00:00,10800,NE0024,2026-08-18 11:00:00,126000,10800,125900,10800,2026-08-18-11
2026-08-18-11,2026-08-18 11:00:00,10800,NE0027,2026-08-18 11:00:00,126000,10800,125900,10800,2026-08-18-11
2026-08-18-11,2026-08-18 11:00:00,10800,NE0030,2026-08-18 11:00:00,126000,10800,125900,10800,2026-08-18-11
2026-08-18-12,2026-08-18 12:00:00,10800,NE0001,2026-08-18 12:00:00,129600,10800,129500,10800,2026-08-18-12
2026-08-18-12,2026-08-18 12:00:00,10800,NE0004,2026-08-18 12:00:00,129600,10800,129500,10800,2026-08-18-12
2026-08-18-12,2026-08-18 12:00:00,10800,NE0007,2026-08-18 12:00:00,129600,10800,129500,10800,2026-08-18-12
2026-08-18-12,2026-08-18 12:00:00,10800,NE0010,2026-08-18 12:00:00,129600,10800,129500,10800,2026-08-18-12
2026-08-18-12,2026-08-18 12:00:00,10800,NE0013,2026-08-18 12:00:00,129600,10800,129500,10800,2026-08-18-12
2026-08-18-12,2026-08-18 12:00:00,10800,NE0016,2026-08-18 12:00:00,129600,10800,129500,10800,2026-08-18-12
2026-08-18-12,2026-08-18 12:00:00,10800,NE0019,2026-08-18 12:00:00,129600,10800,129500,10800,2026-08-18-12
2026-08-18-12,2026-08-18 12:00:00,10800,NE0022,2026-08-18 12:00:00,129600,10800,129500,10800,2026-08-18-12
2026-08-18-12,2026-08-18 12:00:00,10800,NE0025,2026-08-18 12:00:00,129600,10800,129500,10800,2026-08-18-12
2026-08-18-12,2026-08-18 12:00:00,10800,NE0028,2026-08-18 12:00:00,129600,10800,129500,10800,2026-08-18-12
2026-08-18-13,2026-08-18 13:00:00,10800,NE0002,2026-08-18 13:00:00,133200,10800,133100,10800,2026-08-18-13
2026-08-18-13,2026-08-18 13:00:00,10800,NE0005,2026-08-18 13:00:00,133200,10800,133100,10800,2026-08-18-13
2026-08-18-13,2026-08-18 13:00:00,10800,NE0008,2026-08-18 13:00:00,133200,10800,133100,10800,2026-08-18-13
2026-08-18-13,2026-08-18 13:00:00,10800,NE0011,2026-08-18 13:00:00,133200,10800,133100,10800,2026-08-18-13
2026-08-18-13,2026-08-18 13:00:00,10800,NE0014,2026-08-18 13:00:00,133200,10800,133100,10800,2026-08-18-13
2026-08-18-13,2026-08-18 13:00:00,10800,NE0017,2026-08-18 13:00:00,133200,10800,133100,10800,2026-08-18-13
2026-08-18-13,2026-08-18 13:00:00,10800,NE0020,2026-08-18 13:00:00,133200,10800,133100,10800,2026-08-18-13
2026-08-18-13,2026-08-18 13:00:00,10800,NE0023,2026-08-18 13:00:00,133200,10800,133100,10800,2026-08-18-13
2026-08-18-13,2026-08-18 13:00:00,10800,NE0026,2026-08-18 13:00:00,133200,10800,133100,10800,2026-08-18-13
2026-08-18-13,2026-08-18 13:00:00,10800,NE0029,2026-08-18 13:00:00,133200,10800,133100,10800,2026-08-18-13
2026-08-18-14,2026-08-18 14:00:00,10800,NE0003,2026-08-18 14:00:00,136800,10800,136700,10800,2026-08-18-14
2026-08-18-14,2026-08-18 14:00:00,10800,NE0006,2026-08-18 14:00:00,136800,10800,136700,10800,2026-08-18-14
2026-08-18-14,2026-08-18 14:00:00,10800,NE0009,2026-08-18 14:00:00,136800,10800,136700,10800,2026-08-18-14
2026-08-18-14,2026-08-18 14:00:00,10800,NE0012,2026-08-18 14:00:00,136800,10800,136700,10800,2026-08-18-14
2026-08-18-14,2026-08-18 14:00:00,10800,NE0015,2026-08-18 14:00:00,136800,10800,136700,10800,2026-08-18-14
2026-08-18-14,2026-08-18 14:00:00,10800,NE0018,2026-08-18 14:00:00,136800,10800,136700,10800,2026-08-18-14
2026-08-18-14,2026-08-18 14:00:00,10800,NE0021,2026-08-18 14:00:00,136800,10800,136700,10800,2026-08-18-14
2026-08-18-14,2026-08-18 14:00:00,10800,NE0024,2026-08-18 14:00:00,136800,10800,136700,10800,2026-08-18-14
2026-08-18-14,2026-08-18 14:00:00,10800,NE0027,2026-08-18 14:00:00,136800,10800,136700,10800,2026-08-18-14
2026-08-18-14,2026-08-18 14:00:00,10800,NE0030,2026-08-18 14:00:00,136800,10800,136700,10800,2026-08-18-14
2026-08-18-15,2026-08-18 15:00:00,10800,NE0001,2026-08-18 15:00:00,140400,10800,140300,10800,2026-08-18-15
2026-08-18-15,2026-08-18 15:00:00,10800,NE0004,2026-08-18 15:00:00,140400,10800,140300,10800,2026-08-18-15
2026-08-18-15,2026-08-18 15:00:00,10800,NE0007,2026-08-18 15:00:00,140400,10800,140300,10800,2026-08-18-15
2026-08-18-15,2026-08-18 15:00:00,10800,NE0010,2026-08-18 15:00:00,140400,10800,140300,10800,2026-08-18-15
2026-08-18-15,2026-08-18 15:00:00,10800,NE0013,2026-08-18 15:00:00,140400,10800,140300,10800,2026-08-18-15
2026-08-18-15,2026-08-18 15:00:00,10800,NE0016,2026-08-18 15:00:00,140400,10800,140300,10800,2026-08-18-15
2026-08-18-15,2026-08-18 15:00:00,10800,NE0019,2026-08-18 15:00:00,140400,10800,140300,10800,2026-08-18-15
2026-08-18-15,2026-08-18 15:00:00,10800,NE0022,2026-08-18 15:00:00,140400,10800,140300,10800,2026-08-18-15
2026-08-18-15,2026-08-18 15:00:00,10800,NE0025,2026-08-18 15:00:00,140400,10800,140300,10800,2026-08-18-15
2026-08-18-15,2026-08-18 15:00:00,10800,NE0028,2026-08-18 15:00:00,140400,10800,140300,10800,2026-08-18-15
2026-08-18-16,2026-08-18 16:00:00,10800,NE0002,2026-08-18 16:00:00,144000,10800,143900,10800,2026-08-18-16
2026-08-18-16,2026-08-18 16:00:00,10800,NE0005,2026-08-18 16:00:00,144000,10800,143900,10800,2026-08-18-16
2026-08-18-16,2026-08-18 16:00:00,10800,NE0008,2026-08-18 16:00:00,144000,10800,143900,10800,2026-08-18-16
2026-08-18-16,2026-08-18 16:00:00,10800,NE0011,2026-08-18 16:00:00,144000,10800,143900,10800,2026-08-18-16
2026-08-18-16,2026-08-18 16:00:00,10800,NE0014,2026-08-18 16:00:00,144000,10800,143900,10800,2026-08-18-16
2026-08-18-16,2026-08-18 16:00:00,10800,NE0017,2026-08-18 16:00:00,144000,10800,143900,10800,2026-08-18-16
2026-08-18-16,2026-08-18 16:00:00,10800,NE0020,2026-08-18 16:00:00,144000,10800,143900,10800,2026-08-18-16
2026-08-18-16,2026-08-18 16:00:00,10800,NE0023,2026-08-18 16:00:00,144000,10800,143900,10800,2026-08-18-16
2026-08-18-16,2026-08-18 16:00:00,10800,NE0026,2026-08-18 16:00:00,144000,10800,143900,10800,2026-08-18-16
2026-08-18-16,2026-08-18 16:00:00,10800,NE0029,2026-08-18 16:00:00,144000,10800,143900,10800,2026-08-18-16
2026-08-18-17,2026-08-18 17:00:00,10800,NE0003,2026-08-18 17:00:00,147600,10800,147500,10800,2026-08-18-17
2026-08-18-17,2026-08-18 17:00:00,10800,NE0006,2026-08-18 17:00:00,147600,10800,147500,10800,2026-08-18-17
2026-08-18-17,2026-08-18 17:00:00,10800,NE0009,2026-08-18 17:00:00,147600,10800,147500,10800,2026-08-18-17
2026-08-18-17,2026-08-18 17:00:00,10800,NE0012,2026-08-18 17:00:00,147600,10800,147500,10800,2026-08-18-17
2026-08-18-17,2026-08-18 17:00:00,10800,NE0015,2026-08-18 17:00:00,147600,10800,147500,10800,2026-08-18-17
2026-08-18-17,2026-08-18 17:00:00,10800,NE0018,2026-08-18 17:00:00,147600,10800,147500,10800,2026-08-18-17
2026-08-18-17,2026-08-18 17:00:00,10800,NE0021,2026-08-18 17:00:00,147600,10800,147500,10800,2026-08-18-17
2026-08-18-17,2026-08-18 17:00:00,10800,NE0024,2026-08-18 17:00:00,147600,10800,147500,10800,2026-08-18-17
2026-08-18-17,2026-08-18 17:00:00,10800,NE0027,2026-08-18 17:00:00,147600,10800,147500,10800,2026-08-18-17
2026-08-18-17,2026-08-18 17:00:00,10800,NE0030,2026-08-18 17:00:00,147600,10800,147500,10800,2026-08-18-17
2026-08-18-18,2026-08-18 18:00:00,10800,NE0001,2026-08-18 18:00:00,151200,10800,151100,10800,2026-08-18-18
2026-08-18-18,2026-08-18 18:00:00,10800,NE0004,2026-08-18 18:00:00,151200,10800,151100,10800,2026-08-18-18
2026-08-18-18,2026-08-18 18:00:00,10800,NE0007,2026-08-18 18:00:00,151200,10800,151100,10800,2026-08-18-18
2026-08-18-18,2026-08-18 18:00:00,10800,NE0010,2026-08-18 18:00:00,151200,10800,151100,10800,2026-08-18-18
2026-08-18-18,2026-08-18 18:00:00,10800,NE0013,2026-08-18 18:00:00,151200,10800,151100,10800,2026-08-18-18
2026-08-18-18,2026-08-18 18:00:00,10800,NE0016,2026-08-18 18:00:00,151200,10800,151100,10800,2026-08-18-18
2026-08-18-18,2026-08-18 18:00:00,10800,NE0019,2026-08-18 18:00:00,151200,10800,151100,10800,2026-08-18-18
2026-08-18-18,2026-08-18 18:00:00,10800,NE0022,2026-08-18 18:00:00,151200,10800,151100,10800,2026-08-18-18
2026-08-18-18,2026-08-18 18:00:00,10800,NE0025,2026-08-18 18:00:00,151200,10800,151100,10800,2026-08-18-18
2026-08-18-18,2026-08-18 18:00:00,10800,NE0028,2026-08-18 18:00:00,151200,10800,151100,10800,2026-08-18-18
2026-08-18-19,2026-08-18 19:00:00,10800,NE0002,2026-08-18 19:00:00,154800,10800,154700,10800,2026-08-18-19
2026-08-18-19,2026-08-18 19:00:00,10800,NE0005,2026-08-18 19:00:00,154800,10800,154700,10800,2026-08-18-19
2026-08-18-19,2026-08-18 19:00:00,10800,NE0008,2026-08-18 19:00:00,154800,10800,154700,10800,2026-08-18-19
2026-08-18-19,2026-08-18 19:00:00,10800,NE0011,2026-08-18 19:00:00,154800,10800,154700,10800,2026-08-18-19
2026-08-18-19,2026-08-18 19:00:00,10800,NE0014,2026-08-18 19:00:00,154800,10800,154700,10800,2026-08-18-19
2026-08-18-19,2026-08-18 19:00:00,10800,NE0017,2026-08-18 19:00:00,154800,10800,154700,10800,2026-08-18-19
2026-08-18-19,2026-08-18 19:00:00,10800,NE0020,2026-08-18 19:00:00,154800,10800,154700,10800,2026-08-18-19
2026-08-18-19,2026-08-18 19:00:00,10800,NE0023,2026-08-18 19:00:00,154800,10800,154700,10800,2026-08-18-19
