optical_rx_hourly_id,device_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,temperature_c,uptime_s,retry_count,signal_dbm
ACS-OPTICAL_RX_HOURLY-00-00,CPE0001,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,79.45,index,valid,synthetic_acs,36.82,86400,4,-68.04
ACS-OPTICAL_RX_HOURLY-00-01,CPE0001,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,34.41,index,valid,synthetic_acs,47.02,90000,1,-67.97
ACS-OPTICAL_RX_HOURLY-00-02,CPE0001,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,18.07,index,valid,synthetic_acs,43.07,93600,1,-73.18
ACS-OPTICAL_RX_HOURLY-00-03,CPE0001,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,78.19,index,valid,synthetic_acs,48.76,97200,1,-72.35
ACS-OPTICAL_RX_HOURLY-00-04,CPE0001,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,32.11,index,valid,synthetic_acs,42.25,100800,5,-63.0
ACS-OPTICAL_RX_HOURLY-00-05,CPE0001,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,32.69,index,valid,synthetic_acs,38.62,104400,3,-46.76
ACS-OPTICAL_RX_HOURLY-00-06,CPE0001,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,76.15,index,valid,synthetic_acs,35.9,108000,4,-60.27
ACS-OPTICAL_RX_HOURLY-00-07,CPE0001,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,62.9,index,valid,synthetic_acs,52.72,111600,2,-71.27
ACS-OPTICAL_RX_HOURLY-00-08,CPE0001,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,38.67,index,valid,synthetic_acs,53.82,115200,5,-47.0
ACS-OPTICAL_RX_HOURLY-00-09,CPE0001,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,20.73,index,valid,synthetic_acs,49.68,118800,0,-65.23
ACS-OPTICAL_RX_HOURLY-00-10,CPE0001,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,71.7,index,valid,synthetic_acs,43.79,122400,3,-54.49
ACS-OPTICAL_RX_HOURLY-00-11,CPE0001,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,63.4,index,valid,synthetic_acs,35.45,126000,3,-69.66
ACS-OPTICAL_RX_HOURLY-00-12,CPE0001,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,39.88,index,valid,synthetic_acs,48.2,129600,2,-47.74
ACS-OPTICAL_RX_HOURLY-00-13,CPE0001,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,65.88,index,valid,synthetic_acs,54.39,133200,5,-67.47
ACS-OPTICAL_RX_HOURLY-00-14,CPE0001,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,71.83,index,valid,synthetic_acs,41.21,136800,2,-68.05
ACS-OPTICAL_RX_HOURLY-00-15,CPE0001,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,52.9,index,valid,synthetic_acs,42.75,140400,5,-52.22
ACS-OPTICAL_RX_HOURLY-00-16,CPE0001,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,57.0,index,valid,synthetic_acs,38.57,144000,3,-71.8
ACS-OPTICAL_RX_HOURLY-00-17,CPE0001,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,74.18,index,valid,synthetic_acs,51.95,147600,3,-54.8
ACS-OPTICAL_RX_HOURLY-00-18,CPE0001,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,18.06,index,valid,synthetic_acs,51.54,151200,0,-64.78
