optical_tx_hourly_id,device_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,temperature_c,uptime_s,retry_count,signal_dbm
ACS-OPTICAL_TX_HOURLY-00-00,CPE0001,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,54.42,index,valid,synthetic_acs,42.37,86400,0,-53.63
ACS-OPTICAL_TX_HOURLY-00-01,CPE0001,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,67.46,index,valid,synthetic_acs,49.2,90000,0,-73.98
ACS-OPTICAL_TX_HOURLY-00-02,CPE0001,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,32.95,index,valid,synthetic_acs,36.14,93600,2,-48.97
ACS-OPTICAL_TX_HOURLY-00-03,CPE0001,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,27.41,index,valid,synthetic_acs,37.65,97200,3,-55.62
ACS-OPTICAL_TX_HOURLY-00-04,CPE0001,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,62.96,index,valid,synthetic_acs,49.16,100800,3,-72.32
ACS-OPTICAL_TX_HOURLY-00-05,CPE0001,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,61.22,index,valid,synthetic_acs,49.25,104400,0,-57.95
ACS-OPTICAL_TX_HOURLY-00-06,CPE0001,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,46.18,index,valid,synthetic_acs,37.51,108000,5,-68.36
ACS-OPTICAL_TX_HOURLY-00-07,CPE0001,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,71.2,index,valid,synthetic_acs,44.93,111600,4,-61.88
ACS-OPTICAL_TX_HOURLY-00-08,CPE0001,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,47.17,index,valid,synthetic_acs,45.69,115200,1,-57.65
ACS-OPTICAL_TX_HOURLY-00-09,CPE0001,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,49.82,index,valid,synthetic_acs,45.33,118800,2,-65.64
ACS-OPTICAL_TX_HOURLY-00-10,CPE0001,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,50.15,index,valid,synthetic_acs,53.33,122400,4,-64.84
ACS-OPTICAL_TX_HOURLY-00-11,CPE0001,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,47.51,index,valid,synthetic_acs,46.28,126000,4,-72.44
ACS-OPTICAL_TX_HOURLY-00-12,CPE0001,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,53.74,index,valid,synthetic_acs,40.3,129600,4,-58.42
ACS-OPTICAL_TX_HOURLY-00-13,CPE0001,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,18.97,index,valid,synthetic_acs,36.31,133200,3,-68.31
ACS-OPTICAL_TX_HOURLY-00-14,CPE0001,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,83.33,index,valid,synthetic_acs,46.75,136800,3,-62.85
ACS-OPTICAL_TX_HOURLY-00-15,CPE0001,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,17.1,index,valid,synthetic_acs,44.48,140400,2,-71.04
ACS-OPTICAL_TX_HOURLY-00-16,CPE0001,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,48.65,index,valid,synthetic_acs,49.95,144000,4,-59.81
ACS-OPTICAL_TX_HOURLY-00-17,CPE0001,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,53.73,index,valid,synthetic_acs,38.42,147600,1,-46.59
ACS-OPTICAL_TX_HOURLY-00-18,CPE0001,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,41.42,index,valid,synthetic_acs,43.08,151200,1,-50.14
ACS-OPTICAL_TX_HOURLY-00-19,CPE0001,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,25.19,index,valid,synthetic_acs,36.93,154800,2,-71.12
