provisioning_event_id,device_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,temperature_c,uptime_s,retry_count,signal_dbm
ACS-PROVISIONING_EVENT-00-00,CPE0001,DBN,KV1,active,2026-08-18 00:00:00,PROVISIONING_EVENT,info,success,60,synthetic_acs,50.11,86400,1,-65.64
ACS-PROVISIONING_EVENT-00-09,CPE0001,DBN,KV1,active,2026-08-18 09:00:00,PROVISIONING_EVENT,info,success,60,synthetic_acs,52.0,118800,0,-56.08
ACS-PROVISIONING_EVENT-00-18,CPE0001,DBN,KV1,active,2026-08-18 18:00:00,PROVISIONING_EVENT,info,success,60,synthetic_acs,54.9,151200,1,-58.04
ACS-PROVISIONING_EVENT-00-27,CPE0001,DBN,KV1,degraded,2026-08-19 03:00:00,PROVISIONING_EVENT,major,failed,3600,synthetic_acs,38.22,183600,0,-54.13
ACS-PROVISIONING_EVENT-00-36,CPE0001,DBN,KV1,active,2026-08-19 12:00:00,PROVISIONING_EVENT,info,success,60,synthetic_acs,35.15,216000,3,-51.89
ACS-PROVISIONING_EVENT-00-45,CPE0001,DBN,KV1,active,2026-08-19 21:00:00,PROVISIONING_EVENT,info,success,60,synthetic_acs,52.92,248400,5,-74.69
ACS-PROVISIONING_EVENT-00-54,CPE0001,DBN,KV1,active,2026-08-20 06:00:00,PROVISIONING_EVENT,info,success,60,synthetic_acs,40.44,280800,4,-59.82
ACS-PROVISIONING_EVENT-00-63,CPE0001,DBN,KV1,active,2026-08-20 15:00:00,PROVISIONING_EVENT,info,success,60,synthetic_acs,50.55,313200,1,-48.42
ACS-PROVISIONING_EVENT-01-00,CPE0007,SLA,KV1,active,2026-08-18 00:00:00,PROVISIONING_EVENT,info,success,60,synthetic_acs,40.07,86400,4,-51.14
ACS-PROVISIONING_EVENT-01-09,CPE0007,SLA,KV1,active,2026-08-18 09:00:00,PROVISIONING_EVENT,info,success,60,synthetic_acs,43.59,118800,2,-54.32
ACS-PROVISIONING_EVENT-01-18,CPE0007,SLA,KV1,active,2026-08-18 18:00:00,PROVISIONING_EVENT,info,success,60,synthetic_acs,52.75,151200,1,-60.97
ACS-PROVISIONING_EVENT-01-27,CPE0007,SLA,KV1,active,2026-08-19 03:00:00,PROVISIONING_EVENT,info,success,60,synthetic_acs,51.84,183600,5,-70.91
ACS-PROVISIONING_EVENT-01-36,CPE0007,SLA,KV1,active,2026-08-19 12:00:00,PROVISIONING_EVENT,info,success,60,synthetic_acs,49.19,216000,3,-67.13
ACS-PROVISIONING_EVENT-01-45,CPE0007,SLA,KV1,degraded,2026-08-19 21:00:00,PROVISIONING_EVENT,major,failed,3600,synthetic_acs,41.53,248400,4,-72.24
ACS-PROVISIONING_EVENT-01-54,CPE0007,SLA,KV1,active,2026-08-20 06:00:00,PROVISIONING_EVENT,info,success,60,synthetic_acs,41.42,280800,5,-72.48
ACS-PROVISIONING_EVENT-01-63,CPE0007,SLA,KV1,active,2026-08-20 15:00:00,PROVISIONING_EVENT,info,success,60,synthetic_acs,44.85,313200,0,-60.73
ACS-PROVISIONING_EVENT-02-00,CPE0013,CMU,KV3,active,2026-08-18 00:00:00,PROVISIONING_EVENT,info,success,60,synthetic_acs,37.89,86400,0,-45.96
ACS-PROVISIONING_EVENT-02-09,CPE0013,CMU,KV3,active,2026-08-18 09:00:00,PROVISIONING_EVENT,info,success,60,synthetic_acs,44.02,118800,1,-47.03
ACS-PROVISIONING_EVENT-02-18,CPE0013,CMU,KV3,active,2026-08-18 18:00:00,PROVISIONING_EVENT,info,success,60,synthetic_acs,43.67,151200,3,-71.09
ACS-PROVISIONING_EVENT-02-27,CPE0013,CMU,KV3,active,2026-08-19 03:00:00,PROVISIONING_EVENT,info,success,60,synthetic_acs,35.39,183600,3,-55.99
ACS-PROVISIONING_EVENT-02-36,CPE0013,CMU,KV3,active,2026-08-19 12:00:00,PROVISIONING_EVENT,info,success,60,synthetic_acs,49.63,216000,4,-65.08
ACS-PROVISIONING_EVENT-02-45,CPE0013,CMU,KV3,active,2026-08-19 21:00:00,PROVISIONING_EVENT,info,success,60,synthetic_acs,46.92,248400,1,-54.33
ACS-PROVISIONING_EVENT-02-54,CPE0013,CMU,KV3,active,2026-08-20 06:00:00,PROVISIONING_EVENT,info,success,60,synthetic_acs,39.59,280800,0,-63.29
ACS-PROVISIONING_EVENT-02-63,CPE0013,CMU,KV3,active,2026-08-20 15:00:00,PROVISIONING_EVENT,info,success,60,synthetic_acs,43.62,313200,3,-66.94
ACS-PROVISIONING_EVENT-03-00,CPE0019,NBH,KV1,active,2026-08-18 00:00:00,PROVISIONING_EVENT,info,success,60,synthetic_acs,48.81,86400,0,-57.52
ACS-PROVISIONING_EVENT-03-09,CPE0019,NBH,KV1,active,2026-08-18 09:00:00,PROVISIONING_EVENT,info,success,60,synthetic_acs,52.17,118800,3,-66.1
ACS-PROVISIONING_EVENT-03-18,CPE0019,NBH,KV1,active,2026-08-18 18:00:00,PROVISIONING_EVENT,info,success,60,synthetic_acs,40.83,151200,4,-47.02
ACS-PROVISIONING_EVENT-03-27,CPE0019,NBH,KV1,active,2026-08-19 03:00:00,PROVISIONING_EVENT,info,success,60,synthetic_acs,49.71,183600,2,-45.58
ACS-PROVISIONING_EVENT-03-36,CPE0019,NBH,KV1,active,2026-08-19 12:00:00,PROVISIONING_EVENT,info,success,60,synthetic_acs,54.08,216000,3,-47.81
ACS-PROVISIONING_EVENT-03-45,CPE0019,NBH,KV1,active,2026-08-19 21:00:00,PROVISIONING_EVENT,info,success,60,synthetic_acs,40.84,248400,5,-74.15
ACS-PROVISIONING_EVENT-03-54,CPE0019,NBH,KV1,active,2026-08-20 06:00:00,PROVISIONING_EVENT,info,success,60,synthetic_acs,54.46,280800,1,-54.76
ACS-PROVISIONING_EVENT-03-63,CPE0019,NBH,KV1,active,2026-08-20 15:00:00,PROVISIONING_EVENT,info,success,60,synthetic_acs,44.82,313200,2,-66.49
ACS-PROVISIONING_EVENT-04-00,CPE0025,HCM,KV3,active,2026-08-18 00:00:00,PROVISIONING_EVENT,info,success,60,synthetic_acs,37.81,86400,2,-50.12
ACS-PROVISIONING_EVENT-04-09,CPE0025,HCM,KV3,active,2026-08-18 09:00:00,PROVISIONING_EVENT,info,success,60,synthetic_acs,46.19,118800,3,-72.17
ACS-PROVISIONING_EVENT-04-18,CPE0025,HCM,KV3,active,2026-08-18 18:00:00,PROVISIONING_EVENT,info,success,60,synthetic_acs,46.05,151200,2,-61.01
ACS-PROVISIONING_EVENT-04-27,CPE0025,HCM,KV3,active,2026-08-19 03:00:00,PROVISIONING_EVENT,info,success,60,synthetic_acs,52.99,183600,5,-51.18
ACS-PROVISIONING_EVENT-04-36,CPE0025,HCM,KV3,active,2026-08-19 12:00:00,PROVISIONING_EVENT,info,success,60,synthetic_acs,44.82,216000,1,-64.82
ACS-PROVISIONING_EVENT-04-45,CPE0025,HCM,KV3,active,2026-08-19 21:00:00,PROVISIONING_EVENT,info,success,60,synthetic_acs,44.27,248400,1,-50.28
ACS-PROVISIONING_EVENT-04-54,CPE0025,HCM,KV3,active,2026-08-20 06:00:00,PROVISIONING_EVENT,info,success,60,synthetic_acs,36.24,280800,0,-62.08
ACS-PROVISIONING_EVENT-04-63,CPE0025,HCM,KV3,active,2026-08-20 15:00:00,PROVISIONING_EVENT,info,success,60,synthetic_acs,46.36,313200,3,-66.15
