reboot_event_id,device_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,temperature_c,uptime_s,retry_count,signal_dbm
ACS-REBOOT_EVENT-00-00,CPE0001,DBN,KV1,active,2026-08-18 00:00:00,REBOOT_EVENT,info,success,60,synthetic_acs,45.66,86400,1,-65.88
ACS-REBOOT_EVENT-00-09,CPE0001,DBN,KV1,active,2026-08-18 09:00:00,REBOOT_EVENT,info,success,60,synthetic_acs,48.65,118800,3,-59.99
ACS-REBOOT_EVENT-00-18,CPE0001,DBN,KV1,active,2026-08-18 18:00:00,REBOOT_EVENT,info,success,60,synthetic_acs,44.25,151200,3,-53.79
ACS-REBOOT_EVENT-00-27,CPE0001,DBN,KV1,degraded,2026-08-19 03:00:00,REBOOT_EVENT,major,failed,3600,synthetic_acs,43.88,183600,1,-60.33
ACS-REBOOT_EVENT-00-36,CPE0001,DBN,KV1,active,2026-08-19 12:00:00,REBOOT_EVENT,info,success,60,synthetic_acs,41.5,216000,5,-48.54
ACS-REBOOT_EVENT-00-45,CPE0001,DBN,KV1,active,2026-08-19 21:00:00,REBOOT_EVENT,info,success,60,synthetic_acs,40.93,248400,5,-58.16
ACS-REBOOT_EVENT-00-54,CPE0001,DBN,KV1,active,2026-08-20 06:00:00,REBOOT_EVENT,info,success,60,synthetic_acs,42.43,280800,0,-51.77
ACS-REBOOT_EVENT-00-63,CPE0001,DBN,KV1,active,2026-08-20 15:00:00,REBOOT_EVENT,info,success,60,synthetic_acs,46.28,313200,4,-62.83
ACS-REBOOT_EVENT-01-00,CPE0007,SLA,KV1,active,2026-08-18 00:00:00,REBOOT_EVENT,info,success,60,synthetic_acs,44.27,86400,0,-52.11
ACS-REBOOT_EVENT-01-09,CPE0007,SLA,KV1,active,2026-08-18 09:00:00,REBOOT_EVENT,info,success,60,synthetic_acs,38.07,118800,0,-49.38
ACS-REBOOT_EVENT-01-18,CPE0007,SLA,KV1,active,2026-08-18 18:00:00,REBOOT_EVENT,info,success,60,synthetic_acs,46.72,151200,2,-51.21
ACS-REBOOT_EVENT-01-27,CPE0007,SLA,KV1,active,2026-08-19 03:00:00,REBOOT_EVENT,info,success,60,synthetic_acs,47.69,183600,2,-51.63
ACS-REBOOT_EVENT-01-36,CPE0007,SLA,KV1,active,2026-08-19 12:00:00,REBOOT_EVENT,info,success,60,synthetic_acs,36.05,216000,5,-47.31
ACS-REBOOT_EVENT-01-45,CPE0007,SLA,KV1,degraded,2026-08-19 21:00:00,REBOOT_EVENT,major,failed,3600,synthetic_acs,39.21,248400,4,-70.36
ACS-REBOOT_EVENT-01-54,CPE0007,SLA,KV1,active,2026-08-20 06:00:00,REBOOT_EVENT,info,success,60,synthetic_acs,54.46,280800,3,-56.46
ACS-REBOOT_EVENT-01-63,CPE0007,SLA,KV1,active,2026-08-20 15:00:00,REBOOT_EVENT,info,success,60,synthetic_acs,36.83,313200,3,-65.76
ACS-REBOOT_EVENT-02-00,CPE0013,CMU,KV3,active,2026-08-18 00:00:00,REBOOT_EVENT,info,success,60,synthetic_acs,49.48,86400,4,-74.25
ACS-REBOOT_EVENT-02-09,CPE0013,CMU,KV3,active,2026-08-18 09:00:00,REBOOT_EVENT,info,success,60,synthetic_acs,53.06,118800,2,-72.12
ACS-REBOOT_EVENT-02-18,CPE0013,CMU,KV3,active,2026-08-18 18:00:00,REBOOT_EVENT,info,success,60,synthetic_acs,42.12,151200,5,-71.36
ACS-REBOOT_EVENT-02-27,CPE0013,CMU,KV3,active,2026-08-19 03:00:00,REBOOT_EVENT,info,success,60,synthetic_acs,36.07,183600,4,-57.7
ACS-REBOOT_EVENT-02-36,CPE0013,CMU,KV3,active,2026-08-19 12:00:00,REBOOT_EVENT,info,success,60,synthetic_acs,41.11,216000,5,-58.36
ACS-REBOOT_EVENT-02-45,CPE0013,CMU,KV3,active,2026-08-19 21:00:00,REBOOT_EVENT,info,success,60,synthetic_acs,46.85,248400,1,-51.56
ACS-REBOOT_EVENT-02-54,CPE0013,CMU,KV3,active,2026-08-20 06:00:00,REBOOT_EVENT,info,success,60,synthetic_acs,41.34,280800,3,-65.08
ACS-REBOOT_EVENT-02-63,CPE0013,CMU,KV3,active,2026-08-20 15:00:00,REBOOT_EVENT,info,success,60,synthetic_acs,37.3,313200,5,-65.65
ACS-REBOOT_EVENT-03-00,CPE0019,NBH,KV1,active,2026-08-18 00:00:00,REBOOT_EVENT,info,success,60,synthetic_acs,49.59,86400,2,-61.74
ACS-REBOOT_EVENT-03-09,CPE0019,NBH,KV1,active,2026-08-18 09:00:00,REBOOT_EVENT,info,success,60,synthetic_acs,43.19,118800,5,-74.64
ACS-REBOOT_EVENT-03-18,CPE0019,NBH,KV1,active,2026-08-18 18:00:00,REBOOT_EVENT,info,success,60,synthetic_acs,46.64,151200,1,-52.19
ACS-REBOOT_EVENT-03-27,CPE0019,NBH,KV1,active,2026-08-19 03:00:00,REBOOT_EVENT,info,success,60,synthetic_acs,45.48,183600,5,-66.77
ACS-REBOOT_EVENT-03-36,CPE0019,NBH,KV1,active,2026-08-19 12:00:00,REBOOT_EVENT,info,success,60,synthetic_acs,50.81,216000,5,-56.06
ACS-REBOOT_EVENT-03-45,CPE0019,NBH,KV1,active,2026-08-19 21:00:00,REBOOT_EVENT,info,success,60,synthetic_acs,38.95,248400,4,-58.6
ACS-REBOOT_EVENT-03-54,CPE0019,NBH,KV1,active,2026-08-20 06:00:00,REBOOT_EVENT,info,success,60,synthetic_acs,48.17,280800,4,-63.42
ACS-REBOOT_EVENT-03-63,CPE0019,NBH,KV1,active,2026-08-20 15:00:00,REBOOT_EVENT,info,success,60,synthetic_acs,48.68,313200,0,-68.65
ACS-REBOOT_EVENT-04-00,CPE0025,HCM,KV3,active,2026-08-18 00:00:00,REBOOT_EVENT,info,success,60,synthetic_acs,44.98,86400,0,-48.01
ACS-REBOOT_EVENT-04-09,CPE0025,HCM,KV3,active,2026-08-18 09:00:00,REBOOT_EVENT,info,success,60,synthetic_acs,43.72,118800,4,-49.08
ACS-REBOOT_EVENT-04-18,CPE0025,HCM,KV3,active,2026-08-18 18:00:00,REBOOT_EVENT,info,success,60,synthetic_acs,41.08,151200,2,-68.71
ACS-REBOOT_EVENT-04-27,CPE0025,HCM,KV3,active,2026-08-19 03:00:00,REBOOT_EVENT,info,success,60,synthetic_acs,36.65,183600,4,-72.42
ACS-REBOOT_EVENT-04-36,CPE0025,HCM,KV3,active,2026-08-19 12:00:00,REBOOT_EVENT,info,success,60,synthetic_acs,43.44,216000,4,-66.29
ACS-REBOOT_EVENT-04-45,CPE0025,HCM,KV3,active,2026-08-19 21:00:00,REBOOT_EVENT,info,success,60,synthetic_acs,52.46,248400,4,-64.15
ACS-REBOOT_EVENT-04-54,CPE0025,HCM,KV3,active,2026-08-20 06:00:00,REBOOT_EVENT,info,success,60,synthetic_acs,35.67,280800,0,-64.05
ACS-REBOOT_EVENT-04-63,CPE0025,HCM,KV3,active,2026-08-20 15:00:00,REBOOT_EVENT,info,success,60,synthetic_acs,40.7,313200,1,-51.9
ACS-REBOOT_EVENT-05-00,CPE0026,KHA,KV2,active,2026-08-18 00:00:00,REBOOT_EVENT,info,success,60,synthetic_acs,48.21,86400,0,-51.12
ACS-REBOOT_EVENT-05-09,CPE0026,KHA,KV2,active,2026-08-18 09:00:00,REBOOT_EVENT,info,success,60,synthetic_acs,42.83,118800,5,-47.43
ACS-REBOOT_EVENT-05-18,CPE0026,KHA,KV2,active,2026-08-18 18:00:00,REBOOT_EVENT,info,success,60,synthetic_acs,41.37,151200,4,-50.63
ACS-REBOOT_EVENT-05-27,CPE0026,KHA,KV2,active,2026-08-19 03:00:00,REBOOT_EVENT,info,success,60,synthetic_acs,47.58,183600,1,-63.24
ACS-REBOOT_EVENT-05-36,CPE0026,KHA,KV2,active,2026-08-19 12:00:00,REBOOT_EVENT,info,success,60,synthetic_acs,48.65,216000,3,-66.63
ACS-REBOOT_EVENT-05-45,CPE0026,KHA,KV2,active,2026-08-19 21:00:00,REBOOT_EVENT,info,success,60,synthetic_acs,51.53,248400,1,-60.68
ACS-REBOOT_EVENT-05-54,CPE0026,KHA,KV2,active,2026-08-20 06:00:00,REBOOT_EVENT,info,success,60,synthetic_acs,41.02,280800,0,-72.18
ACS-REBOOT_EVENT-05-63,CPE0026,KHA,KV2,active,2026-08-20 15:00:00,REBOOT_EVENT,info,success,60,synthetic_acs,54.69,313200,4,-60.74
