remote_command_id,device_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,temperature_c,uptime_s,retry_count,signal_dbm
ACS-REMOTE_COMMAND-00-00,CPE0001,DBN,KV1,active,2026-08-18 00:00:00,REMOTE_COMMAND,info,success,60,synthetic_acs,38.12,86400,3,-51.28
ACS-REMOTE_COMMAND-00-09,CPE0001,DBN,KV1,active,2026-08-18 09:00:00,REMOTE_COMMAND,info,success,60,synthetic_acs,39.07,118800,4,-70.13
ACS-REMOTE_COMMAND-00-18,CPE0001,DBN,KV1,active,2026-08-18 18:00:00,REMOTE_COMMAND,info,success,60,synthetic_acs,52.73,151200,4,-71.21
ACS-REMOTE_COMMAND-00-27,CPE0001,DBN,KV1,degraded,2026-08-19 03:00:00,REMOTE_COMMAND,major,failed,3600,synthetic_acs,38.6,183600,4,-65.61
ACS-REMOTE_COMMAND-00-36,CPE0001,DBN,KV1,active,2026-08-19 12:00:00,REMOTE_COMMAND,info,success,60,synthetic_acs,47.3,216000,1,-64.99
ACS-REMOTE_COMMAND-00-45,CPE0001,DBN,KV1,active,2026-08-19 21:00:00,REMOTE_COMMAND,info,success,60,synthetic_acs,39.64,248400,1,-73.94
ACS-REMOTE_COMMAND-00-54,CPE0001,DBN,KV1,active,2026-08-20 06:00:00,REMOTE_COMMAND,info,success,60,synthetic_acs,45.93,280800,5,-58.6
ACS-REMOTE_COMMAND-00-63,CPE0001,DBN,KV1,active,2026-08-20 15:00:00,REMOTE_COMMAND,info,success,60,synthetic_acs,36.68,313200,1,-52.1
ACS-REMOTE_COMMAND-01-00,CPE0007,SLA,KV1,active,2026-08-18 00:00:00,REMOTE_COMMAND,info,success,60,synthetic_acs,46.48,86400,4,-61.59
ACS-REMOTE_COMMAND-01-09,CPE0007,SLA,KV1,active,2026-08-18 09:00:00,REMOTE_COMMAND,info,success,60,synthetic_acs,41.17,118800,5,-54.28
ACS-REMOTE_COMMAND-01-18,CPE0007,SLA,KV1,active,2026-08-18 18:00:00,REMOTE_COMMAND,info,success,60,synthetic_acs,42.03,151200,2,-58.51
ACS-REMOTE_COMMAND-01-27,CPE0007,SLA,KV1,active,2026-08-19 03:00:00,REMOTE_COMMAND,info,success,60,synthetic_acs,54.56,183600,4,-50.94
ACS-REMOTE_COMMAND-01-36,CPE0007,SLA,KV1,active,2026-08-19 12:00:00,REMOTE_COMMAND,info,success,60,synthetic_acs,37.81,216000,3,-53.02
ACS-REMOTE_COMMAND-01-45,CPE0007,SLA,KV1,degraded,2026-08-19 21:00:00,REMOTE_COMMAND,major,failed,3600,synthetic_acs,40.08,248400,4,-72.93
ACS-REMOTE_COMMAND-01-54,CPE0007,SLA,KV1,active,2026-08-20 06:00:00,REMOTE_COMMAND,info,success,60,synthetic_acs,43.88,280800,4,-74.45
ACS-REMOTE_COMMAND-01-63,CPE0007,SLA,KV1,active,2026-08-20 15:00:00,REMOTE_COMMAND,info,success,60,synthetic_acs,47.88,313200,5,-67.83
ACS-REMOTE_COMMAND-02-00,CPE0013,CMU,KV3,active,2026-08-18 00:00:00,REMOTE_COMMAND,info,success,60,synthetic_acs,50.28,86400,4,-71.74
ACS-REMOTE_COMMAND-02-09,CPE0013,CMU,KV3,active,2026-08-18 09:00:00,REMOTE_COMMAND,info,success,60,synthetic_acs,36.05,118800,4,-52.63
ACS-REMOTE_COMMAND-02-18,CPE0013,CMU,KV3,active,2026-08-18 18:00:00,REMOTE_COMMAND,info,success,60,synthetic_acs,50.24,151200,2,-52.76
ACS-REMOTE_COMMAND-02-27,CPE0013,CMU,KV3,active,2026-08-19 03:00:00,REMOTE_COMMAND,info,success,60,synthetic_acs,42.61,183600,1,-51.5
ACS-REMOTE_COMMAND-02-36,CPE0013,CMU,KV3,active,2026-08-19 12:00:00,REMOTE_COMMAND,info,success,60,synthetic_acs,45.98,216000,1,-57.01
ACS-REMOTE_COMMAND-02-45,CPE0013,CMU,KV3,active,2026-08-19 21:00:00,REMOTE_COMMAND,info,success,60,synthetic_acs,50.99,248400,3,-74.46
ACS-REMOTE_COMMAND-02-54,CPE0013,CMU,KV3,active,2026-08-20 06:00:00,REMOTE_COMMAND,info,success,60,synthetic_acs,54.3,280800,1,-66.43
ACS-REMOTE_COMMAND-02-63,CPE0013,CMU,KV3,active,2026-08-20 15:00:00,REMOTE_COMMAND,info,success,60,synthetic_acs,47.66,313200,0,-59.31
ACS-REMOTE_COMMAND-03-00,CPE0019,NBH,KV1,active,2026-08-18 00:00:00,REMOTE_COMMAND,info,success,60,synthetic_acs,53.83,86400,5,-53.27
ACS-REMOTE_COMMAND-03-09,CPE0019,NBH,KV1,active,2026-08-18 09:00:00,REMOTE_COMMAND,info,success,60,synthetic_acs,40.38,118800,2,-48.54
