wan_hourly_id,device_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,temperature_c,uptime_s,retry_count,signal_dbm
ACS-WAN_HOURLY-00-00,CPE0001,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,26.02,index,valid,synthetic_acs,52.95,86400,0,-74.95
ACS-WAN_HOURLY-00-01,CPE0001,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,20.88,index,valid,synthetic_acs,39.49,90000,2,-54.8
ACS-WAN_HOURLY-00-02,CPE0001,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,49.47,index,valid,synthetic_acs,48.73,93600,1,-67.35
ACS-WAN_HOURLY-00-03,CPE0001,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,65.53,index,valid,synthetic_acs,41.76,97200,4,-65.51
ACS-WAN_HOURLY-00-04,CPE0001,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,19.11,index,valid,synthetic_acs,52.12,100800,3,-53.98
ACS-WAN_HOURLY-00-05,CPE0001,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,58.12,index,valid,synthetic_acs,53.05,104400,3,-49.69
ACS-WAN_HOURLY-00-06,CPE0001,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,21.57,index,valid,synthetic_acs,38.92,108000,5,-66.9
ACS-WAN_HOURLY-00-07,CPE0001,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,23.71,index,valid,synthetic_acs,42.4,111600,3,-71.3
ACS-WAN_HOURLY-00-08,CPE0001,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,53.29,index,valid,synthetic_acs,54.03,115200,1,-64.68
ACS-WAN_HOURLY-00-09,CPE0001,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,44.37,index,valid,synthetic_acs,47.51,118800,2,-48.82
ACS-WAN_HOURLY-00-10,CPE0001,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,77.86,index,valid,synthetic_acs,53.7,122400,2,-49.0
ACS-WAN_HOURLY-00-11,CPE0001,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,50.21,index,valid,synthetic_acs,46.48,126000,5,-48.21
ACS-WAN_HOURLY-00-12,CPE0001,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,19.25,index,valid,synthetic_acs,46.27,129600,5,-72.38
ACS-WAN_HOURLY-00-13,CPE0001,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,49.1,index,valid,synthetic_acs,42.18,133200,4,-65.69
ACS-WAN_HOURLY-00-14,CPE0001,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,43.19,index,valid,synthetic_acs,45.24,136800,4,-67.65
ACS-WAN_HOURLY-00-15,CPE0001,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,56.28,index,valid,synthetic_acs,40.58,140400,3,-48.47
ACS-WAN_HOURLY-00-16,CPE0001,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,73.75,index,valid,synthetic_acs,42.83,144000,1,-56.23
ACS-WAN_HOURLY-00-17,CPE0001,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,46.81,index,valid,synthetic_acs,36.77,147600,0,-64.15
ACS-WAN_HOURLY-00-18,CPE0001,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,67.81,index,valid,synthetic_acs,38.02,151200,4,-74.64
ACS-WAN_HOURLY-00-19,CPE0001,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,74.34,index,valid,synthetic_acs,50.57,154800,5,-67.53
ACS-WAN_HOURLY-00-20,CPE0001,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,84.29,index,valid,synthetic_acs,36.35,158400,1,-48.27
ACS-WAN_HOURLY-00-21,CPE0001,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,83.67,index,valid,synthetic_acs,49.95,162000,4,-68.82
ACS-WAN_HOURLY-00-22,CPE0001,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,37.53,index,valid,synthetic_acs,39.15,165600,5,-62.68
ACS-WAN_HOURLY-00-23,CPE0001,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,21.75,index,valid,synthetic_acs,35.24,169200,1,-61.03
ACS-WAN_HOURLY-00-24,CPE0001,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,21.8,index,valid,synthetic_acs,48.79,172800,1,-50.92
ACS-WAN_HOURLY-00-25,CPE0001,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,19.76,index,valid,synthetic_acs,41.91,176400,1,-54.11
ACS-WAN_HOURLY-00-26,CPE0001,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,16.67,index,valid,synthetic_acs,52.05,180000,4,-70.19
ACS-WAN_HOURLY-00-27,CPE0001,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,58.23,index,degraded,synthetic_acs,44.82,183600,2,-61.13
