wifi_client_hourly_id,device_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,temperature_c,uptime_s,retry_count,signal_dbm
ACS-WIFI_CLIENT_HOURLY-00-00,CPE0001,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,77.23,index,valid,synthetic_acs,47.36,86400,4,-56.56
ACS-WIFI_CLIENT_HOURLY-00-01,CPE0001,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,25.62,index,valid,synthetic_acs,48.01,90000,0,-64.15
ACS-WIFI_CLIENT_HOURLY-00-02,CPE0001,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,38.24,index,valid,synthetic_acs,41.51,93600,3,-51.78
ACS-WIFI_CLIENT_HOURLY-00-03,CPE0001,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,75.25,index,valid,synthetic_acs,40.66,97200,2,-63.99
ACS-WIFI_CLIENT_HOURLY-00-04,CPE0001,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,57.87,index,valid,synthetic_acs,38.42,100800,3,-48.19
ACS-WIFI_CLIENT_HOURLY-00-05,CPE0001,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,16.59,index,valid,synthetic_acs,48.6,104400,3,-72.08
ACS-WIFI_CLIENT_HOURLY-00-06,CPE0001,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,39.09,index,valid,synthetic_acs,47.1,108000,2,-57.51
ACS-WIFI_CLIENT_HOURLY-00-07,CPE0001,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,31.67,index,valid,synthetic_acs,42.32,111600,1,-67.5
ACS-WIFI_CLIENT_HOURLY-00-08,CPE0001,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,51.93,index,valid,synthetic_acs,35.66,115200,0,-74.96
ACS-WIFI_CLIENT_HOURLY-00-09,CPE0001,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,28.97,index,valid,synthetic_acs,54.07,118800,3,-69.39
ACS-WIFI_CLIENT_HOURLY-00-10,CPE0001,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,75.77,index,valid,synthetic_acs,51.63,122400,4,-47.61
ACS-WIFI_CLIENT_HOURLY-00-11,CPE0001,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,75.25,index,valid,synthetic_acs,48.51,126000,4,-65.09
ACS-WIFI_CLIENT_HOURLY-00-12,CPE0001,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,83.32,index,valid,synthetic_acs,47.28,129600,2,-71.55
ACS-WIFI_CLIENT_HOURLY-00-13,CPE0001,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,28.15,index,valid,synthetic_acs,54.8,133200,5,-74.04
ACS-WIFI_CLIENT_HOURLY-00-14,CPE0001,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,60.35,index,valid,synthetic_acs,52.17,136800,3,-47.95
ACS-WIFI_CLIENT_HOURLY-00-15,CPE0001,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,33.02,index,valid,synthetic_acs,43.93,140400,5,-49.7
ACS-WIFI_CLIENT_HOURLY-00-16,CPE0001,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,53.2,index,valid,synthetic_acs,43.0,144000,4,-67.37
ACS-WIFI_CLIENT_HOURLY-00-17,CPE0001,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,47.42,index,valid,synthetic_acs,53.88,147600,2,-52.83
ACS-WIFI_CLIENT_HOURLY-00-18,CPE0001,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,60.5,index,valid,synthetic_acs,53.65,151200,2,-52.2
ACS-WIFI_CLIENT_HOURLY-00-19,CPE0001,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,79.37,index,valid,synthetic_acs,47.17,154800,1,-62.73
ACS-WIFI_CLIENT_HOURLY-00-20,CPE0001,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,29.91,index,valid,synthetic_acs,49.5,158400,3,-60.66
ACS-WIFI_CLIENT_HOURLY-00-21,CPE0001,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,65.14,index,valid,synthetic_acs,44.56,162000,5,-50.83
ACS-WIFI_CLIENT_HOURLY-00-22,CPE0001,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,78.31,index,valid,synthetic_acs,39.98,165600,1,-66.47
ACS-WIFI_CLIENT_HOURLY-00-23,CPE0001,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,34.55,index,valid,synthetic_acs,35.26,169200,0,-62.72
ACS-WIFI_CLIENT_HOURLY-00-24,CPE0001,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,74.33,index,valid,synthetic_acs,54.87,172800,3,-53.86
ACS-WIFI_CLIENT_HOURLY-00-25,CPE0001,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,46.02,index,valid,synthetic_acs,39.57,176400,1,-63.61
ACS-WIFI_CLIENT_HOURLY-00-26,CPE0001,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,16.66,index,valid,synthetic_acs,44.66,180000,0,-64.58
ACS-WIFI_CLIENT_HOURLY-00-27,CPE0001,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,78.36,index,degraded,synthetic_acs,43.64,183600,5,-67.26
ACS-WIFI_CLIENT_HOURLY-00-28,CPE0001,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,49.68,index,valid,synthetic_acs,41.27,187200,3,-61.53
ACS-WIFI_CLIENT_HOURLY-00-29,CPE0001,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,47.39,index,valid,synthetic_acs,39.49,190800,2,-71.38
ACS-WIFI_CLIENT_HOURLY-00-30,CPE0001,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,21.95,index,valid,synthetic_acs,49.1,194400,3,-58.35
ACS-WIFI_CLIENT_HOURLY-00-31,CPE0001,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,48.77,index,valid,synthetic_acs,54.18,198000,0,-62.99
ACS-WIFI_CLIENT_HOURLY-00-32,CPE0001,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,37.34,index,valid,synthetic_acs,47.33,201600,0,-48.0
ACS-WIFI_CLIENT_HOURLY-00-33,CPE0001,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,46.84,index,valid,synthetic_acs,41.99,205200,5,-65.35
ACS-WIFI_CLIENT_HOURLY-00-34,CPE0001,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,42.77,index,valid,synthetic_acs,37.02,208800,0,-63.11
ACS-WIFI_CLIENT_HOURLY-00-35,CPE0001,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,51.79,index,valid,synthetic_acs,41.6,212400,3,-60.53
ACS-WIFI_CLIENT_HOURLY-00-36,CPE0001,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,58.32,index,valid,synthetic_acs,44.03,216000,2,-46.23
ACS-WIFI_CLIENT_HOURLY-00-37,CPE0001,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,51.95,index,valid,synthetic_acs,36.15,219600,4,-59.54
ACS-WIFI_CLIENT_HOURLY-00-38,CPE0001,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,70.88,index,valid,synthetic_acs,44.56,223200,0,-68.19
ACS-WIFI_CLIENT_HOURLY-00-39,CPE0001,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,69.14,index,valid,synthetic_acs,38.76,226800,2,-69.57
ACS-WIFI_CLIENT_HOURLY-00-40,CPE0001,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,40.74,index,valid,synthetic_acs,42.34,230400,1,-61.22
ACS-WIFI_CLIENT_HOURLY-00-41,CPE0001,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,37.07,index,valid,synthetic_acs,52.52,234000,3,-60.46
ACS-WIFI_CLIENT_HOURLY-00-42,CPE0001,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,57.65,index,valid,synthetic_acs,35.95,237600,3,-69.57
ACS-WIFI_CLIENT_HOURLY-00-43,CPE0001,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,40.2,index,valid,synthetic_acs,51.22,241200,3,-45.76
ACS-WIFI_CLIENT_HOURLY-00-44,CPE0001,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,50.04,index,valid,synthetic_acs,36.22,244800,4,-58.02
ACS-WIFI_CLIENT_HOURLY-00-45,CPE0001,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,24.86,index,valid,synthetic_acs,48.62,248400,1,-56.2
ACS-WIFI_CLIENT_HOURLY-00-46,CPE0001,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,67.84,index,valid,synthetic_acs,44.89,252000,4,-53.24
ACS-WIFI_CLIENT_HOURLY-00-47,CPE0001,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,54.81,index,valid,synthetic_acs,52.99,255600,3,-48.76
ACS-WIFI_CLIENT_HOURLY-00-48,CPE0001,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,15.05,index,valid,synthetic_acs,53.76,259200,4,-52.7
ACS-WIFI_CLIENT_HOURLY-00-49,CPE0001,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,15.45,index,valid,synthetic_acs,44.98,262800,5,-48.24
ACS-WIFI_CLIENT_HOURLY-00-50,CPE0001,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,82.59,index,valid,synthetic_acs,51.66,266400,4,-61.51
ACS-WIFI_CLIENT_HOURLY-00-51,CPE0001,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,55.11,index,valid,synthetic_acs,44.98,270000,5,-69.2
ACS-WIFI_CLIENT_HOURLY-00-52,CPE0001,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,56.83,index,valid,synthetic_acs,44.05,273600,0,-65.53
ACS-WIFI_CLIENT_HOURLY-00-53,CPE0001,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,64.46,index,valid,synthetic_acs,51.4,277200,3,-48.83
ACS-WIFI_CLIENT_HOURLY-00-54,CPE0001,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,22.01,index,valid,synthetic_acs,46.87,280800,0,-67.21
ACS-WIFI_CLIENT_HOURLY-00-55,CPE0001,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,35.88,index,valid,synthetic_acs,43.31,284400,5,-45.65
ACS-WIFI_CLIENT_HOURLY-00-56,CPE0001,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,16.44,index,valid,synthetic_acs,42.63,288000,5,-71.96
ACS-WIFI_CLIENT_HOURLY-00-57,CPE0001,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,41.94,index,valid,synthetic_acs,39.33,291600,3,-53.26
ACS-WIFI_CLIENT_HOURLY-00-58,CPE0001,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,29.98,index,valid,synthetic_acs,43.81,295200,3,-58.2
ACS-WIFI_CLIENT_HOURLY-00-59,CPE0001,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,55.56,index,valid,synthetic_acs,49.65,298800,4,-56.26
