budget_daily_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,amount_vnd,tax_vnd,paid_vnd,outstanding_vnd
BILLING-BUDGET_DAILY-00-00,ST0101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,25.39,index,valid,synthetic_billing,220000,22000,0,242000
BILLING-BUDGET_DAILY-00-24,ST0101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,75.37,index,valid,synthetic_billing,220000,22000,0,242000
BILLING-BUDGET_DAILY-00-48,ST0101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,72.09,index,valid,synthetic_billing,220000,22000,0,242000
BILLING-BUDGET_DAILY-01-00,ST0202,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,61.85,index,valid,synthetic_billing,300000,30000,0,330000
BILLING-BUDGET_DAILY-01-24,ST0202,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,20.23,index,valid,synthetic_billing,300000,30000,0,330000
BILLING-BUDGET_DAILY-01-48,ST0202,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,50.72,index,valid,synthetic_billing,300000,30000,0,330000
BILLING-BUDGET_DAILY-02-00,ST0301,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,74.23,index,valid,synthetic_billing,450000,45000,0,495000
BILLING-BUDGET_DAILY-02-24,ST0301,CMU,KV3,active,2026-08-19-00,2026-08-19 00:00:00,63.22,index,valid,synthetic_billing,450000,45000,0,495000
BILLING-BUDGET_DAILY-02-48,ST0301,CMU,KV3,active,2026-08-20-00,2026-08-20 00:00:00,60.84,index,valid,synthetic_billing,450000,45000,0,495000
BILLING-BUDGET_DAILY-03-00,ST0402,NBH,KV1,active,2026-08-18-00,2026-08-18 00:00:00,54.23,index,valid,synthetic_billing,220000,22000,0,242000
BILLING-BUDGET_DAILY-03-24,ST0402,NBH,KV1,active,2026-08-19-00,2026-08-19 00:00:00,47.33,index,valid,synthetic_billing,220000,22000,0,242000
BILLING-BUDGET_DAILY-03-48,ST0402,NBH,KV1,active,2026-08-20-00,2026-08-20 00:00:00,67.51,index,valid,synthetic_billing,220000,22000,0,242000
BILLING-BUDGET_DAILY-04-00,ST0501,HCM,KV3,active,2026-08-18-00,2026-08-18 00:00:00,47.4,index,valid,synthetic_billing,300000,30000,0,330000
BILLING-BUDGET_DAILY-04-24,ST0501,HCM,KV3,active,2026-08-19-00,2026-08-19 00:00:00,72.99,index,valid,synthetic_billing,300000,30000,0,330000
BILLING-BUDGET_DAILY-04-48,ST0501,HCM,KV3,active,2026-08-20-00,2026-08-20 00:00:00,71.27,index,valid,synthetic_billing,300000,30000,0,330000
BILLING-BUDGET_DAILY-05-00,ST0601,KHA,KV2,active,2026-08-18-00,2026-08-18 00:00:00,58.72,index,valid,synthetic_billing,220000,22000,0,242000
BILLING-BUDGET_DAILY-05-24,ST0601,KHA,KV2,active,2026-08-19-00,2026-08-19 00:00:00,49.93,index,valid,synthetic_billing,220000,22000,0,242000
BILLING-BUDGET_DAILY-05-48,ST0601,KHA,KV2,active,2026-08-20-00,2026-08-20 00:00:00,31.75,index,valid,synthetic_billing,220000,22000,0,242000
