collection_daily_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,amount_vnd,tax_vnd,paid_vnd,outstanding_vnd
BILLING-COLLECTION_DAILY-00-00,ST0101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,51.92,index,valid,synthetic_billing,220000,22000,0,242000
BILLING-COLLECTION_DAILY-00-24,ST0101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,47.29,index,valid,synthetic_billing,220000,22000,0,242000
BILLING-COLLECTION_DAILY-00-48,ST0101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,72.31,index,valid,synthetic_billing,220000,22000,0,242000
BILLING-COLLECTION_DAILY-01-00,ST0202,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,63.56,index,valid,synthetic_billing,300000,30000,0,330000
BILLING-COLLECTION_DAILY-01-24,ST0202,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,40.36,index,valid,synthetic_billing,300000,30000,0,330000
BILLING-COLLECTION_DAILY-01-48,ST0202,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,65.16,index,valid,synthetic_billing,300000,30000,0,330000
BILLING-COLLECTION_DAILY-02-00,ST0301,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,66.3,index,valid,synthetic_billing,450000,45000,0,495000
BILLING-COLLECTION_DAILY-02-24,ST0301,CMU,KV3,active,2026-08-19-00,2026-08-19 00:00:00,52.13,index,valid,synthetic_billing,450000,45000,0,495000
BILLING-COLLECTION_DAILY-02-48,ST0301,CMU,KV3,active,2026-08-20-00,2026-08-20 00:00:00,34.87,index,valid,synthetic_billing,450000,45000,0,495000
BILLING-COLLECTION_DAILY-03-00,ST0402,NBH,KV1,active,2026-08-18-00,2026-08-18 00:00:00,83.51,index,valid,synthetic_billing,220000,22000,0,242000
BILLING-COLLECTION_DAILY-03-24,ST0402,NBH,KV1,active,2026-08-19-00,2026-08-19 00:00:00,56.26,index,valid,synthetic_billing,220000,22000,0,242000
BILLING-COLLECTION_DAILY-03-48,ST0402,NBH,KV1,active,2026-08-20-00,2026-08-20 00:00:00,73.13,index,valid,synthetic_billing,220000,22000,0,242000
BILLING-COLLECTION_DAILY-04-00,ST0501,HCM,KV3,active,2026-08-18-00,2026-08-18 00:00:00,32.49,index,valid,synthetic_billing,300000,30000,0,330000
BILLING-COLLECTION_DAILY-04-24,ST0501,HCM,KV3,active,2026-08-19-00,2026-08-19 00:00:00,26.57,index,valid,synthetic_billing,300000,30000,0,330000
BILLING-COLLECTION_DAILY-04-48,ST0501,HCM,KV3,active,2026-08-20-00,2026-08-20 00:00:00,76.85,index,valid,synthetic_billing,300000,30000,0,330000
BILLING-COLLECTION_DAILY-05-00,ST0601,KHA,KV2,active,2026-08-18-00,2026-08-18 00:00:00,54.11,index,valid,synthetic_billing,220000,22000,0,242000
BILLING-COLLECTION_DAILY-05-24,ST0601,KHA,KV2,active,2026-08-19-00,2026-08-19 00:00:00,54.2,index,valid,synthetic_billing,220000,22000,0,242000
BILLING-COLLECTION_DAILY-05-48,ST0601,KHA,KV2,active,2026-08-20-00,2026-08-20 00:00:00,54.87,index,valid,synthetic_billing,220000,22000,0,242000
