overdue_balance_id,invoice_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,amount_vnd,tax_vnd,paid_vnd,outstanding_vnd
BILLING-OVERDUE_BALANCE-00-00,INV0001,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,37.89,index,valid,synthetic_billing,220000,22000,0,242000
BILLING-OVERDUE_BALANCE-00-09,INV0001,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,79.24,index,valid,synthetic_billing,220000,22000,0,242000
BILLING-OVERDUE_BALANCE-00-18,INV0001,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,18.93,index,valid,synthetic_billing,220000,22000,0,242000
BILLING-OVERDUE_BALANCE-00-27,INV0001,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,69.09,index,degraded,synthetic_billing,220000,22000,0,242000
BILLING-OVERDUE_BALANCE-00-36,INV0001,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,37.05,index,valid,synthetic_billing,220000,22000,0,242000
BILLING-OVERDUE_BALANCE-00-45,INV0001,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,76.89,index,valid,synthetic_billing,220000,22000,0,242000
BILLING-OVERDUE_BALANCE-00-54,INV0001,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,18.05,index,valid,synthetic_billing,220000,22000,0,242000
BILLING-OVERDUE_BALANCE-00-63,INV0001,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,80.29,index,valid,synthetic_billing,220000,22000,0,242000
BILLING-OVERDUE_BALANCE-01-00,INV0007,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,75.72,index,valid,synthetic_billing,300000,30000,330000,0
BILLING-OVERDUE_BALANCE-01-09,INV0007,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,66.38,index,valid,synthetic_billing,300000,30000,330000,0
BILLING-OVERDUE_BALANCE-01-18,INV0007,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,71.45,index,valid,synthetic_billing,300000,30000,330000,0
BILLING-OVERDUE_BALANCE-01-27,INV0007,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,26.12,index,valid,synthetic_billing,300000,30000,330000,0
BILLING-OVERDUE_BALANCE-01-36,INV0007,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,41.34,index,valid,synthetic_billing,300000,30000,330000,0
BILLING-OVERDUE_BALANCE-01-45,INV0007,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,77.49,index,degraded,synthetic_billing,300000,30000,330000,0
BILLING-OVERDUE_BALANCE-01-54,INV0007,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,16.33,index,valid,synthetic_billing,300000,30000,330000,0
BILLING-OVERDUE_BALANCE-01-63,INV0007,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,84.86,index,valid,synthetic_billing,300000,30000,330000,0
BILLING-OVERDUE_BALANCE-02-00,INV0013,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,83.4,index,valid,synthetic_billing,450000,45000,495000,0
BILLING-OVERDUE_BALANCE-02-09,INV0013,CMU,KV3,active,2026-08-18-09,2026-08-18 09:00:00,38.13,index,valid,synthetic_billing,450000,45000,495000,0
BILLING-OVERDUE_BALANCE-02-18,INV0013,CMU,KV3,active,2026-08-18-18,2026-08-18 18:00:00,63.16,index,valid,synthetic_billing,450000,45000,495000,0
BILLING-OVERDUE_BALANCE-02-27,INV0013,CMU,KV3,active,2026-08-19-03,2026-08-19 03:00:00,20.77,index,valid,synthetic_billing,450000,45000,495000,0
BILLING-OVERDUE_BALANCE-02-36,INV0013,CMU,KV3,active,2026-08-19-12,2026-08-19 12:00:00,39.92,index,valid,synthetic_billing,450000,45000,495000,0
BILLING-OVERDUE_BALANCE-02-45,INV0013,CMU,KV3,active,2026-08-19-21,2026-08-19 21:00:00,71.71,index,valid,synthetic_billing,450000,45000,495000,0
BILLING-OVERDUE_BALANCE-02-54,INV0013,CMU,KV3,active,2026-08-20-06,2026-08-20 06:00:00,26.46,index,valid,synthetic_billing,450000,45000,495000,0
BILLING-OVERDUE_BALANCE-02-63,INV0013,CMU,KV3,active,2026-08-20-15,2026-08-20 15:00:00,21.37,index,valid,synthetic_billing,450000,45000,495000,0
BILLING-OVERDUE_BALANCE-03-00,INV0019,NBH,KV1,active,2026-08-18-00,2026-08-18 00:00:00,31.91,index,valid,synthetic_billing,220000,22000,242000,0
BILLING-OVERDUE_BALANCE-03-09,INV0019,NBH,KV1,active,2026-08-18-09,2026-08-18 09:00:00,64.44,index,valid,synthetic_billing,220000,22000,242000,0
BILLING-OVERDUE_BALANCE-03-18,INV0019,NBH,KV1,active,2026-08-18-18,2026-08-18 18:00:00,33.36,index,valid,synthetic_billing,220000,22000,242000,0
BILLING-OVERDUE_BALANCE-03-27,INV0019,NBH,KV1,active,2026-08-19-03,2026-08-19 03:00:00,63.86,index,valid,synthetic_billing,220000,22000,242000,0
BILLING-OVERDUE_BALANCE-03-36,INV0019,NBH,KV1,active,2026-08-19-12,2026-08-19 12:00:00,53.78,index,valid,synthetic_billing,220000,22000,242000,0
BILLING-OVERDUE_BALANCE-03-45,INV0019,NBH,KV1,active,2026-08-19-21,2026-08-19 21:00:00,65.19,index,valid,synthetic_billing,220000,22000,242000,0
BILLING-OVERDUE_BALANCE-03-54,INV0019,NBH,KV1,active,2026-08-20-06,2026-08-20 06:00:00,17.66,index,valid,synthetic_billing,220000,22000,242000,0
BILLING-OVERDUE_BALANCE-03-63,INV0019,NBH,KV1,active,2026-08-20-15,2026-08-20 15:00:00,56.62,index,valid,synthetic_billing,220000,22000,242000,0
BILLING-OVERDUE_BALANCE-04-00,INV0025,HCM,KV3,active,2026-08-18-00,2026-08-18 00:00:00,71.24,index,valid,synthetic_billing,300000,30000,330000,0
BILLING-OVERDUE_BALANCE-04-09,INV0025,HCM,KV3,active,2026-08-18-09,2026-08-18 09:00:00,51.02,index,valid,synthetic_billing,300000,30000,330000,0
BILLING-OVERDUE_BALANCE-04-18,INV0025,HCM,KV3,active,2026-08-18-18,2026-08-18 18:00:00,73.42,index,valid,synthetic_billing,300000,30000,330000,0
BILLING-OVERDUE_BALANCE-04-27,INV0025,HCM,KV3,active,2026-08-19-03,2026-08-19 03:00:00,43.74,index,valid,synthetic_billing,300000,30000,330000,0
BILLING-OVERDUE_BALANCE-04-36,INV0025,HCM,KV3,active,2026-08-19-12,2026-08-19 12:00:00,42.86,index,valid,synthetic_billing,300000,30000,330000,0
BILLING-OVERDUE_BALANCE-04-45,INV0025,HCM,KV3,active,2026-08-19-21,2026-08-19 21:00:00,78.66,index,valid,synthetic_billing,300000,30000,330000,0
BILLING-OVERDUE_BALANCE-04-54,INV0025,HCM,KV3,active,2026-08-20-06,2026-08-20 06:00:00,67.84,index,valid,synthetic_billing,300000,30000,330000,0
BILLING-OVERDUE_BALANCE-04-63,INV0025,HCM,KV3,active,2026-08-20-15,2026-08-20 15:00:00,64.39,index,valid,synthetic_billing,300000,30000,330000,0
BILLING-OVERDUE_BALANCE-05-00,INV0026,KHA,KV2,active,2026-08-18-00,2026-08-18 00:00:00,79.34,index,valid,synthetic_billing,220000,22000,0,242000
BILLING-OVERDUE_BALANCE-05-09,INV0026,KHA,KV2,active,2026-08-18-09,2026-08-18 09:00:00,40.2,index,valid,synthetic_billing,220000,22000,0,242000
BILLING-OVERDUE_BALANCE-05-18,INV0026,KHA,KV2,active,2026-08-18-18,2026-08-18 18:00:00,61.2,index,valid,synthetic_billing,220000,22000,0,242000
BILLING-OVERDUE_BALANCE-05-27,INV0026,KHA,KV2,active,2026-08-19-03,2026-08-19 03:00:00,23.58,index,valid,synthetic_billing,220000,22000,0,242000
BILLING-OVERDUE_BALANCE-05-36,INV0026,KHA,KV2,active,2026-08-19-12,2026-08-19 12:00:00,61.15,index,valid,synthetic_billing,220000,22000,0,242000
BILLING-OVERDUE_BALANCE-05-45,INV0026,KHA,KV2,active,2026-08-19-21,2026-08-19 21:00:00,49.14,index,valid,synthetic_billing,220000,22000,0,242000
BILLING-OVERDUE_BALANCE-05-54,INV0026,KHA,KV2,active,2026-08-20-06,2026-08-20 06:00:00,38.03,index,valid,synthetic_billing,220000,22000,0,242000
BILLING-OVERDUE_BALANCE-05-63,INV0026,KHA,KV2,active,2026-08-20-15,2026-08-20 15:00:00,66.84,index,valid,synthetic_billing,220000,22000,0,242000
