payment_attempt_id,invoice_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,amount_vnd,tax_vnd,paid_vnd,outstanding_vnd
BILLING-PAYMENT_ATTEMPT-00-00,INV0001,DBN,KV1,rejected,2026-08-18 00:00:00,PAYMENT_ATTEMPT,info,failed,60,synthetic_billing,220000,22000,0,242000
BILLING-PAYMENT_ATTEMPT-00-09,INV0002,DBN,KV1,active,2026-08-18 09:00:00,PAYMENT_ATTEMPT,info,success,60,synthetic_billing,300000,30000,330000,0
BILLING-PAYMENT_ATTEMPT-00-18,INV0003,DBN,KV1,active,2026-08-18 18:00:00,PAYMENT_ATTEMPT,info,success,60,synthetic_billing,450000,45000,495000,0
BILLING-PAYMENT_ATTEMPT-00-27,INV0001,DBN,KV1,rejected,2026-08-19 03:00:00,PAYMENT_ATTEMPT,major,failed,3600,synthetic_billing,220000,22000,0,242000
BILLING-PAYMENT_ATTEMPT-00-36,INV0005,DBN,KV1,active,2026-08-19 12:00:00,PAYMENT_ATTEMPT,info,success,60,synthetic_billing,300000,30000,330000,0
BILLING-PAYMENT_ATTEMPT-01-00,INV0006,SLA,KV1,rejected,2026-08-18 00:00:00,PAYMENT_ATTEMPT,info,failed,60,synthetic_billing,220000,22000,0,242000
BILLING-PAYMENT_ATTEMPT-01-09,INV0007,SLA,KV1,active,2026-08-18 09:00:00,PAYMENT_ATTEMPT,info,success,60,synthetic_billing,300000,30000,330000,0
BILLING-PAYMENT_ATTEMPT-01-18,INV0008,SLA,KV1,active,2026-08-18 18:00:00,PAYMENT_ATTEMPT,info,success,60,synthetic_billing,450000,45000,495000,0
BILLING-PAYMENT_ATTEMPT-01-27,INV0009,SLA,KV1,active,2026-08-19 03:00:00,PAYMENT_ATTEMPT,info,success,60,synthetic_billing,220000,22000,242000,0
BILLING-PAYMENT_ATTEMPT-01-36,INV0010,SLA,KV1,active,2026-08-19 12:00:00,PAYMENT_ATTEMPT,info,success,60,synthetic_billing,300000,30000,330000,0
BILLING-PAYMENT_ATTEMPT-02-00,INV0011,CMU,KV3,rejected,2026-08-18 00:00:00,PAYMENT_ATTEMPT,info,failed,60,synthetic_billing,220000,22000,0,242000
BILLING-PAYMENT_ATTEMPT-02-09,INV0012,CMU,KV3,active,2026-08-18 09:00:00,PAYMENT_ATTEMPT,info,success,60,synthetic_billing,300000,30000,330000,0
BILLING-PAYMENT_ATTEMPT-02-18,INV0013,CMU,KV3,active,2026-08-18 18:00:00,PAYMENT_ATTEMPT,info,success,60,synthetic_billing,450000,45000,495000,0
BILLING-PAYMENT_ATTEMPT-02-27,INV0014,CMU,KV3,active,2026-08-19 03:00:00,PAYMENT_ATTEMPT,info,success,60,synthetic_billing,220000,22000,242000,0
BILLING-PAYMENT_ATTEMPT-02-36,INV0015,CMU,KV3,active,2026-08-19 12:00:00,PAYMENT_ATTEMPT,info,success,60,synthetic_billing,300000,30000,330000,0
BILLING-PAYMENT_ATTEMPT-03-00,INV0016,NBH,KV1,rejected,2026-08-18 00:00:00,PAYMENT_ATTEMPT,info,failed,60,synthetic_billing,220000,22000,0,242000
BILLING-PAYMENT_ATTEMPT-03-09,INV0017,NBH,KV1,active,2026-08-18 09:00:00,PAYMENT_ATTEMPT,info,success,60,synthetic_billing,300000,30000,330000,0
BILLING-PAYMENT_ATTEMPT-03-18,INV0018,NBH,KV1,active,2026-08-18 18:00:00,PAYMENT_ATTEMPT,info,success,60,synthetic_billing,450000,45000,495000,0
BILLING-PAYMENT_ATTEMPT-03-27,INV0019,NBH,KV1,active,2026-08-19 03:00:00,PAYMENT_ATTEMPT,info,success,60,synthetic_billing,220000,22000,242000,0
BILLING-PAYMENT_ATTEMPT-03-36,INV0020,NBH,KV1,active,2026-08-19 12:00:00,PAYMENT_ATTEMPT,info,success,60,synthetic_billing,300000,30000,330000,0
BILLING-PAYMENT_ATTEMPT-04-00,INV0021,HCM,KV3,rejected,2026-08-18 00:00:00,PAYMENT_ATTEMPT,info,failed,60,synthetic_billing,220000,22000,0,242000
BILLING-PAYMENT_ATTEMPT-04-09,INV0022,HCM,KV3,active,2026-08-18 09:00:00,PAYMENT_ATTEMPT,info,success,60,synthetic_billing,300000,30000,330000,0
