payment_reversal_id,invoice_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,amount_vnd,tax_vnd,paid_vnd,outstanding_vnd
BILLING-PAYMENT_REVERSAL-00-00,INV0001,DBN,KV1,rejected,2026-08-18 00:00:00,PAYMENT_REVERSAL,info,failed,60,synthetic_billing,220000,22000,0,242000
BILLING-PAYMENT_REVERSAL-00-09,INV0001,DBN,KV1,rejected,2026-08-18 09:00:00,PAYMENT_REVERSAL,info,failed,60,synthetic_billing,220000,22000,0,242000
BILLING-PAYMENT_REVERSAL-00-18,INV0001,DBN,KV1,rejected,2026-08-18 18:00:00,PAYMENT_REVERSAL,info,failed,60,synthetic_billing,220000,22000,0,242000
BILLING-PAYMENT_REVERSAL-00-27,INV0001,DBN,KV1,rejected,2026-08-19 03:00:00,PAYMENT_REVERSAL,major,failed,3600,synthetic_billing,220000,22000,0,242000
BILLING-PAYMENT_REVERSAL-00-36,INV0001,DBN,KV1,rejected,2026-08-19 12:00:00,PAYMENT_REVERSAL,info,failed,60,synthetic_billing,220000,22000,0,242000
BILLING-PAYMENT_REVERSAL-00-45,INV0001,DBN,KV1,rejected,2026-08-19 21:00:00,PAYMENT_REVERSAL,info,failed,60,synthetic_billing,220000,22000,0,242000
BILLING-PAYMENT_REVERSAL-00-54,INV0001,DBN,KV1,rejected,2026-08-20 06:00:00,PAYMENT_REVERSAL,info,failed,60,synthetic_billing,220000,22000,0,242000
BILLING-PAYMENT_REVERSAL-00-63,INV0001,DBN,KV1,rejected,2026-08-20 15:00:00,PAYMENT_REVERSAL,info,failed,60,synthetic_billing,220000,22000,0,242000
BILLING-PAYMENT_REVERSAL-01-00,INV0007,SLA,KV1,active,2026-08-18 00:00:00,PAYMENT_REVERSAL,info,success,60,synthetic_billing,300000,30000,330000,0
BILLING-PAYMENT_REVERSAL-01-09,INV0007,SLA,KV1,active,2026-08-18 09:00:00,PAYMENT_REVERSAL,info,success,60,synthetic_billing,300000,30000,330000,0
BILLING-PAYMENT_REVERSAL-01-18,INV0007,SLA,KV1,active,2026-08-18 18:00:00,PAYMENT_REVERSAL,info,success,60,synthetic_billing,300000,30000,330000,0
BILLING-PAYMENT_REVERSAL-01-27,INV0007,SLA,KV1,active,2026-08-19 03:00:00,PAYMENT_REVERSAL,info,success,60,synthetic_billing,300000,30000,330000,0
BILLING-PAYMENT_REVERSAL-01-36,INV0007,SLA,KV1,active,2026-08-19 12:00:00,PAYMENT_REVERSAL,info,success,60,synthetic_billing,300000,30000,330000,0
BILLING-PAYMENT_REVERSAL-01-45,INV0007,SLA,KV1,degraded,2026-08-19 21:00:00,PAYMENT_REVERSAL,major,failed,3600,synthetic_billing,300000,30000,330000,0
BILLING-PAYMENT_REVERSAL-01-54,INV0007,SLA,KV1,active,2026-08-20 06:00:00,PAYMENT_REVERSAL,info,success,60,synthetic_billing,300000,30000,330000,0
BILLING-PAYMENT_REVERSAL-01-63,INV0007,SLA,KV1,active,2026-08-20 15:00:00,PAYMENT_REVERSAL,info,success,60,synthetic_billing,300000,30000,330000,0
BILLING-PAYMENT_REVERSAL-02-00,INV0013,CMU,KV3,active,2026-08-18 00:00:00,PAYMENT_REVERSAL,info,success,60,synthetic_billing,450000,45000,495000,0
BILLING-PAYMENT_REVERSAL-02-09,INV0013,CMU,KV3,active,2026-08-18 09:00:00,PAYMENT_REVERSAL,info,success,60,synthetic_billing,450000,45000,495000,0
BILLING-PAYMENT_REVERSAL-02-18,INV0013,CMU,KV3,active,2026-08-18 18:00:00,PAYMENT_REVERSAL,info,success,60,synthetic_billing,450000,45000,495000,0
BILLING-PAYMENT_REVERSAL-02-27,INV0013,CMU,KV3,active,2026-08-19 03:00:00,PAYMENT_REVERSAL,info,success,60,synthetic_billing,450000,45000,495000,0
BILLING-PAYMENT_REVERSAL-02-36,INV0013,CMU,KV3,active,2026-08-19 12:00:00,PAYMENT_REVERSAL,info,success,60,synthetic_billing,450000,45000,495000,0
BILLING-PAYMENT_REVERSAL-02-45,INV0013,CMU,KV3,active,2026-08-19 21:00:00,PAYMENT_REVERSAL,info,success,60,synthetic_billing,450000,45000,495000,0
BILLING-PAYMENT_REVERSAL-02-54,INV0013,CMU,KV3,active,2026-08-20 06:00:00,PAYMENT_REVERSAL,info,success,60,synthetic_billing,450000,45000,495000,0
