refund_id,invoice_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,amount_vnd,tax_vnd,paid_vnd,outstanding_vnd
BILLING-REFUND-00-00,INV0001,DBN,KV1,active,2026-08-18 00:00:00,REFUND,info,success,60,synthetic_billing,220000,22000,0,242000
BILLING-REFUND-00-09,INV0001,DBN,KV1,active,2026-08-18 09:00:00,REFUND,info,success,60,synthetic_billing,220000,22000,0,242000
BILLING-REFUND-00-18,INV0001,DBN,KV1,active,2026-08-18 18:00:00,REFUND,info,success,60,synthetic_billing,220000,22000,0,242000
BILLING-REFUND-00-27,INV0001,DBN,KV1,degraded,2026-08-19 03:00:00,REFUND,major,failed,3600,synthetic_billing,220000,22000,0,242000
BILLING-REFUND-00-36,INV0001,DBN,KV1,active,2026-08-19 12:00:00,REFUND,info,success,60,synthetic_billing,220000,22000,0,242000
BILLING-REFUND-00-45,INV0001,DBN,KV1,active,2026-08-19 21:00:00,REFUND,info,success,60,synthetic_billing,220000,22000,0,242000
BILLING-REFUND-00-54,INV0001,DBN,KV1,active,2026-08-20 06:00:00,REFUND,info,success,60,synthetic_billing,220000,22000,0,242000
BILLING-REFUND-00-63,INV0001,DBN,KV1,active,2026-08-20 15:00:00,REFUND,info,success,60,synthetic_billing,220000,22000,0,242000
BILLING-REFUND-01-00,INV0007,SLA,KV1,active,2026-08-18 00:00:00,REFUND,info,success,60,synthetic_billing,300000,30000,330000,0
BILLING-REFUND-01-09,INV0007,SLA,KV1,active,2026-08-18 09:00:00,REFUND,info,success,60,synthetic_billing,300000,30000,330000,0
BILLING-REFUND-01-18,INV0007,SLA,KV1,active,2026-08-18 18:00:00,REFUND,info,success,60,synthetic_billing,300000,30000,330000,0
BILLING-REFUND-01-27,INV0007,SLA,KV1,active,2026-08-19 03:00:00,REFUND,info,success,60,synthetic_billing,300000,30000,330000,0
BILLING-REFUND-01-36,INV0007,SLA,KV1,active,2026-08-19 12:00:00,REFUND,info,success,60,synthetic_billing,300000,30000,330000,0
BILLING-REFUND-01-45,INV0007,SLA,KV1,degraded,2026-08-19 21:00:00,REFUND,major,failed,3600,synthetic_billing,300000,30000,330000,0
BILLING-REFUND-01-54,INV0007,SLA,KV1,active,2026-08-20 06:00:00,REFUND,info,success,60,synthetic_billing,300000,30000,330000,0
BILLING-REFUND-01-63,INV0007,SLA,KV1,active,2026-08-20 15:00:00,REFUND,info,success,60,synthetic_billing,300000,30000,330000,0
BILLING-REFUND-02-00,INV0013,CMU,KV3,active,2026-08-18 00:00:00,REFUND,info,success,60,synthetic_billing,450000,45000,495000,0
BILLING-REFUND-02-09,INV0013,CMU,KV3,active,2026-08-18 09:00:00,REFUND,info,success,60,synthetic_billing,450000,45000,495000,0
BILLING-REFUND-02-18,INV0013,CMU,KV3,active,2026-08-18 18:00:00,REFUND,info,success,60,synthetic_billing,450000,45000,495000,0
BILLING-REFUND-02-27,INV0013,CMU,KV3,active,2026-08-19 03:00:00,REFUND,info,success,60,synthetic_billing,450000,45000,495000,0
BILLING-REFUND-02-36,INV0013,CMU,KV3,active,2026-08-19 12:00:00,REFUND,info,success,60,synthetic_billing,450000,45000,495000,0
BILLING-REFUND-02-45,INV0013,CMU,KV3,active,2026-08-19 21:00:00,REFUND,info,success,60,synthetic_billing,450000,45000,495000,0
BILLING-REFUND-02-54,INV0013,CMU,KV3,active,2026-08-20 06:00:00,REFUND,info,success,60,synthetic_billing,450000,45000,495000,0
BILLING-REFUND-02-63,INV0013,CMU,KV3,active,2026-08-20 15:00:00,REFUND,info,success,60,synthetic_billing,450000,45000,495000,0
BILLING-REFUND-03-00,INV0019,NBH,KV1,active,2026-08-18 00:00:00,REFUND,info,success,60,synthetic_billing,220000,22000,242000,0
BILLING-REFUND-03-09,INV0019,NBH,KV1,active,2026-08-18 09:00:00,REFUND,info,success,60,synthetic_billing,220000,22000,242000,0
BILLING-REFUND-03-18,INV0019,NBH,KV1,active,2026-08-18 18:00:00,REFUND,info,success,60,synthetic_billing,220000,22000,242000,0
BILLING-REFUND-03-27,INV0019,NBH,KV1,active,2026-08-19 03:00:00,REFUND,info,success,60,synthetic_billing,220000,22000,242000,0
BILLING-REFUND-03-36,INV0019,NBH,KV1,active,2026-08-19 12:00:00,REFUND,info,success,60,synthetic_billing,220000,22000,242000,0
BILLING-REFUND-03-45,INV0019,NBH,KV1,active,2026-08-19 21:00:00,REFUND,info,success,60,synthetic_billing,220000,22000,242000,0
BILLING-REFUND-03-54,INV0019,NBH,KV1,active,2026-08-20 06:00:00,REFUND,info,success,60,synthetic_billing,220000,22000,242000,0
BILLING-REFUND-03-63,INV0019,NBH,KV1,active,2026-08-20 15:00:00,REFUND,info,success,60,synthetic_billing,220000,22000,242000,0
BILLING-REFUND-04-00,INV0025,HCM,KV3,active,2026-08-18 00:00:00,REFUND,info,success,60,synthetic_billing,300000,30000,330000,0
BILLING-REFUND-04-09,INV0025,HCM,KV3,active,2026-08-18 09:00:00,REFUND,info,success,60,synthetic_billing,300000,30000,330000,0
BILLING-REFUND-04-18,INV0025,HCM,KV3,active,2026-08-18 18:00:00,REFUND,info,success,60,synthetic_billing,300000,30000,330000,0
BILLING-REFUND-04-27,INV0025,HCM,KV3,active,2026-08-19 03:00:00,REFUND,info,success,60,synthetic_billing,300000,30000,330000,0
BILLING-REFUND-04-36,INV0025,HCM,KV3,active,2026-08-19 12:00:00,REFUND,info,success,60,synthetic_billing,300000,30000,330000,0
BILLING-REFUND-04-45,INV0025,HCM,KV3,active,2026-08-19 21:00:00,REFUND,info,success,60,synthetic_billing,300000,30000,330000,0
BILLING-REFUND-04-54,INV0025,HCM,KV3,active,2026-08-20 06:00:00,REFUND,info,success,60,synthetic_billing,300000,30000,330000,0
BILLING-REFUND-04-63,INV0025,HCM,KV3,active,2026-08-20 15:00:00,REFUND,info,success,60,synthetic_billing,300000,30000,330000,0
BILLING-REFUND-05-00,INV0026,KHA,KV2,active,2026-08-18 00:00:00,REFUND,info,success,60,synthetic_billing,220000,22000,0,242000
BILLING-REFUND-05-09,INV0026,KHA,KV2,active,2026-08-18 09:00:00,REFUND,info,success,60,synthetic_billing,220000,22000,0,242000
BILLING-REFUND-05-18,INV0026,KHA,KV2,active,2026-08-18 18:00:00,REFUND,info,success,60,synthetic_billing,220000,22000,0,242000
BILLING-REFUND-05-27,INV0026,KHA,KV2,active,2026-08-19 03:00:00,REFUND,info,success,60,synthetic_billing,220000,22000,0,242000
BILLING-REFUND-05-36,INV0026,KHA,KV2,active,2026-08-19 12:00:00,REFUND,info,success,60,synthetic_billing,220000,22000,0,242000
BILLING-REFUND-05-45,INV0026,KHA,KV2,active,2026-08-19 21:00:00,REFUND,info,success,60,synthetic_billing,220000,22000,0,242000
BILLING-REFUND-05-54,INV0026,KHA,KV2,active,2026-08-20 06:00:00,REFUND,info,success,60,synthetic_billing,220000,22000,0,242000
BILLING-REFUND-05-63,INV0026,KHA,KV2,active,2026-08-20 15:00:00,REFUND,info,success,60,synthetic_billing,220000,22000,0,242000
