writeoff_event_id,invoice_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,amount_vnd,tax_vnd,paid_vnd,outstanding_vnd
BILLING-WRITEOFF_EVENT-00-00,INV0001,DBN,KV1,active,2026-08-18 00:00:00,WRITEOFF_EVENT,info,success,60,synthetic_billing,220000,22000,0,242000
BILLING-WRITEOFF_EVENT-00-09,INV0001,DBN,KV1,active,2026-08-18 09:00:00,WRITEOFF_EVENT,info,success,60,synthetic_billing,220000,22000,0,242000
BILLING-WRITEOFF_EVENT-00-18,INV0001,DBN,KV1,active,2026-08-18 18:00:00,WRITEOFF_EVENT,info,success,60,synthetic_billing,220000,22000,0,242000
BILLING-WRITEOFF_EVENT-00-27,INV0001,DBN,KV1,degraded,2026-08-19 03:00:00,WRITEOFF_EVENT,major,failed,3600,synthetic_billing,220000,22000,0,242000
BILLING-WRITEOFF_EVENT-00-36,INV0001,DBN,KV1,active,2026-08-19 12:00:00,WRITEOFF_EVENT,info,success,60,synthetic_billing,220000,22000,0,242000
BILLING-WRITEOFF_EVENT-00-45,INV0001,DBN,KV1,active,2026-08-19 21:00:00,WRITEOFF_EVENT,info,success,60,synthetic_billing,220000,22000,0,242000
BILLING-WRITEOFF_EVENT-00-54,INV0001,DBN,KV1,active,2026-08-20 06:00:00,WRITEOFF_EVENT,info,success,60,synthetic_billing,220000,22000,0,242000
BILLING-WRITEOFF_EVENT-00-63,INV0001,DBN,KV1,active,2026-08-20 15:00:00,WRITEOFF_EVENT,info,success,60,synthetic_billing,220000,22000,0,242000
BILLING-WRITEOFF_EVENT-01-00,INV0007,SLA,KV1,active,2026-08-18 00:00:00,WRITEOFF_EVENT,info,success,60,synthetic_billing,300000,30000,330000,0
BILLING-WRITEOFF_EVENT-01-09,INV0007,SLA,KV1,active,2026-08-18 09:00:00,WRITEOFF_EVENT,info,success,60,synthetic_billing,300000,30000,330000,0
BILLING-WRITEOFF_EVENT-01-18,INV0007,SLA,KV1,active,2026-08-18 18:00:00,WRITEOFF_EVENT,info,success,60,synthetic_billing,300000,30000,330000,0
BILLING-WRITEOFF_EVENT-01-27,INV0007,SLA,KV1,active,2026-08-19 03:00:00,WRITEOFF_EVENT,info,success,60,synthetic_billing,300000,30000,330000,0
BILLING-WRITEOFF_EVENT-01-36,INV0007,SLA,KV1,active,2026-08-19 12:00:00,WRITEOFF_EVENT,info,success,60,synthetic_billing,300000,30000,330000,0
BILLING-WRITEOFF_EVENT-01-45,INV0007,SLA,KV1,degraded,2026-08-19 21:00:00,WRITEOFF_EVENT,major,failed,3600,synthetic_billing,300000,30000,330000,0
BILLING-WRITEOFF_EVENT-01-54,INV0007,SLA,KV1,active,2026-08-20 06:00:00,WRITEOFF_EVENT,info,success,60,synthetic_billing,300000,30000,330000,0
BILLING-WRITEOFF_EVENT-01-63,INV0007,SLA,KV1,active,2026-08-20 15:00:00,WRITEOFF_EVENT,info,success,60,synthetic_billing,300000,30000,330000,0
BILLING-WRITEOFF_EVENT-02-00,INV0013,CMU,KV3,active,2026-08-18 00:00:00,WRITEOFF_EVENT,info,success,60,synthetic_billing,450000,45000,495000,0
BILLING-WRITEOFF_EVENT-02-09,INV0013,CMU,KV3,active,2026-08-18 09:00:00,WRITEOFF_EVENT,info,success,60,synthetic_billing,450000,45000,495000,0
BILLING-WRITEOFF_EVENT-02-18,INV0013,CMU,KV3,active,2026-08-18 18:00:00,WRITEOFF_EVENT,info,success,60,synthetic_billing,450000,45000,495000,0
BILLING-WRITEOFF_EVENT-02-27,INV0013,CMU,KV3,active,2026-08-19 03:00:00,WRITEOFF_EVENT,info,success,60,synthetic_billing,450000,45000,495000,0
BILLING-WRITEOFF_EVENT-02-36,INV0013,CMU,KV3,active,2026-08-19 12:00:00,WRITEOFF_EVENT,info,success,60,synthetic_billing,450000,45000,495000,0
BILLING-WRITEOFF_EVENT-02-45,INV0013,CMU,KV3,active,2026-08-19 21:00:00,WRITEOFF_EVENT,info,success,60,synthetic_billing,450000,45000,495000,0
BILLING-WRITEOFF_EVENT-02-54,INV0013,CMU,KV3,active,2026-08-20 06:00:00,WRITEOFF_EVENT,info,success,60,synthetic_billing,450000,45000,495000,0
BILLING-WRITEOFF_EVENT-02-63,INV0013,CMU,KV3,active,2026-08-20 15:00:00,WRITEOFF_EVENT,info,success,60,synthetic_billing,450000,45000,495000,0
BILLING-WRITEOFF_EVENT-03-00,INV0019,NBH,KV1,active,2026-08-18 00:00:00,WRITEOFF_EVENT,info,success,60,synthetic_billing,220000,22000,242000,0
BILLING-WRITEOFF_EVENT-03-09,INV0019,NBH,KV1,active,2026-08-18 09:00:00,WRITEOFF_EVENT,info,success,60,synthetic_billing,220000,22000,242000,0
BILLING-WRITEOFF_EVENT-03-18,INV0019,NBH,KV1,active,2026-08-18 18:00:00,WRITEOFF_EVENT,info,success,60,synthetic_billing,220000,22000,242000,0
BILLING-WRITEOFF_EVENT-03-27,INV0019,NBH,KV1,active,2026-08-19 03:00:00,WRITEOFF_EVENT,info,success,60,synthetic_billing,220000,22000,242000,0
BILLING-WRITEOFF_EVENT-03-36,INV0019,NBH,KV1,active,2026-08-19 12:00:00,WRITEOFF_EVENT,info,success,60,synthetic_billing,220000,22000,242000,0
BILLING-WRITEOFF_EVENT-03-45,INV0019,NBH,KV1,active,2026-08-19 21:00:00,WRITEOFF_EVENT,info,success,60,synthetic_billing,220000,22000,242000,0
BILLING-WRITEOFF_EVENT-03-54,INV0019,NBH,KV1,active,2026-08-20 06:00:00,WRITEOFF_EVENT,info,success,60,synthetic_billing,220000,22000,242000,0
BILLING-WRITEOFF_EVENT-03-63,INV0019,NBH,KV1,active,2026-08-20 15:00:00,WRITEOFF_EVENT,info,success,60,synthetic_billing,220000,22000,242000,0
