backhaul_capacity_daily_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,demand_mbps,available_mbps,utilization_pct,forecast_error_pct
CAPACITY-BACKHAUL_CAPACITY_DAILY-00-00,ST0101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,60.52,index,valid,synthetic_capacity,786.28,1000,78.63,-6.69
CAPACITY-BACKHAUL_CAPACITY_DAILY-00-24,ST0101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,15.95,index,valid,synthetic_capacity,425.39,1000,42.54,-3.69
CAPACITY-BACKHAUL_CAPACITY_DAILY-00-48,ST0101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,15.22,index,valid,synthetic_capacity,532.18,1000,53.22,3.13
CAPACITY-BACKHAUL_CAPACITY_DAILY-01-00,ST0202,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,31.76,index,valid,synthetic_capacity,407.17,1000,40.72,7.98
CAPACITY-BACKHAUL_CAPACITY_DAILY-01-24,ST0202,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,54.8,index,valid,synthetic_capacity,755.74,1000,75.57,7.55
CAPACITY-BACKHAUL_CAPACITY_DAILY-01-48,ST0202,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,18.95,index,valid,synthetic_capacity,607.73,1000,60.77,-7.07
CAPACITY-BACKHAUL_CAPACITY_DAILY-02-00,ST0301,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,69.81,index,valid,synthetic_capacity,766.65,1000,76.67,-7.27
CAPACITY-BACKHAUL_CAPACITY_DAILY-02-24,ST0301,CMU,KV3,active,2026-08-19-00,2026-08-19 00:00:00,59.28,index,valid,synthetic_capacity,522.31,1000,52.23,4.25
CAPACITY-BACKHAUL_CAPACITY_DAILY-02-48,ST0301,CMU,KV3,active,2026-08-20-00,2026-08-20 00:00:00,26.93,index,valid,synthetic_capacity,785.98,1000,78.6,-6.19
CAPACITY-BACKHAUL_CAPACITY_DAILY-03-00,ST0402,NBH,KV1,active,2026-08-18-00,2026-08-18 00:00:00,76.22,index,valid,synthetic_capacity,444.4,1000,44.44,6.01
CAPACITY-BACKHAUL_CAPACITY_DAILY-03-24,ST0402,NBH,KV1,active,2026-08-19-00,2026-08-19 00:00:00,36.81,index,valid,synthetic_capacity,388.95,1000,38.9,-5.82
CAPACITY-BACKHAUL_CAPACITY_DAILY-03-48,ST0402,NBH,KV1,active,2026-08-20-00,2026-08-20 00:00:00,75.64,index,valid,synthetic_capacity,587.9,1000,58.79,3.56
CAPACITY-BACKHAUL_CAPACITY_DAILY-04-00,ST0501,HCM,KV3,active,2026-08-18-00,2026-08-18 00:00:00,42.37,index,valid,synthetic_capacity,578.99,1000,57.9,-4.35
CAPACITY-BACKHAUL_CAPACITY_DAILY-04-24,ST0501,HCM,KV3,active,2026-08-19-00,2026-08-19 00:00:00,52.36,index,valid,synthetic_capacity,769.32,1000,76.93,-1.05
CAPACITY-BACKHAUL_CAPACITY_DAILY-04-48,ST0501,HCM,KV3,active,2026-08-20-00,2026-08-20 00:00:00,77.14,index,valid,synthetic_capacity,347.68,1000,34.77,-3.47
CAPACITY-BACKHAUL_CAPACITY_DAILY-05-00,ST0601,KHA,KV2,active,2026-08-18-00,2026-08-18 00:00:00,48.41,index,valid,synthetic_capacity,778.9,1000,77.89,-4.05
CAPACITY-BACKHAUL_CAPACITY_DAILY-05-24,ST0601,KHA,KV2,active,2026-08-19-00,2026-08-19 00:00:00,23.16,index,valid,synthetic_capacity,603.36,1000,60.34,-0.37
CAPACITY-BACKHAUL_CAPACITY_DAILY-05-48,ST0601,KHA,KV2,active,2026-08-20-00,2026-08-20 00:00:00,19.82,index,valid,synthetic_capacity,301.16,1000,30.12,-4.38
