capacity_alert_id,station_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,demand_mbps,available_mbps,utilization_pct,forecast_error_pct
CAPACITY-CAPACITY_ALERT-00-00,ST0101,DBN,KV1,active,2026-08-18 00:00:00,CAPACITY_ALERT,info,success,60,synthetic_capacity,513.91,1000,51.39,1.26
CAPACITY-CAPACITY_ALERT-00-09,ST0101,DBN,KV1,active,2026-08-18 09:00:00,CAPACITY_ALERT,info,success,60,synthetic_capacity,357.27,1000,35.73,-7.54
CAPACITY-CAPACITY_ALERT-00-18,ST0101,DBN,KV1,active,2026-08-18 18:00:00,CAPACITY_ALERT,info,success,60,synthetic_capacity,511.59,1000,51.16,5.25
CAPACITY-CAPACITY_ALERT-00-27,ST0101,DBN,KV1,degraded,2026-08-19 03:00:00,CAPACITY_ALERT,major,failed,3600,synthetic_capacity,375.83,1000,37.58,3.02
CAPACITY-CAPACITY_ALERT-00-36,ST0101,DBN,KV1,active,2026-08-19 12:00:00,CAPACITY_ALERT,info,success,60,synthetic_capacity,797.28,1000,79.73,-7.38
CAPACITY-CAPACITY_ALERT-00-45,ST0101,DBN,KV1,active,2026-08-19 21:00:00,CAPACITY_ALERT,info,success,60,synthetic_capacity,331.83,1000,33.18,-7.45
CAPACITY-CAPACITY_ALERT-00-54,ST0101,DBN,KV1,active,2026-08-20 06:00:00,CAPACITY_ALERT,info,success,60,synthetic_capacity,486.5,1000,48.65,5.84
CAPACITY-CAPACITY_ALERT-00-63,ST0101,DBN,KV1,active,2026-08-20 15:00:00,CAPACITY_ALERT,info,success,60,synthetic_capacity,601.74,1000,60.17,0.83
CAPACITY-CAPACITY_ALERT-01-00,ST0202,SLA,KV1,active,2026-08-18 00:00:00,CAPACITY_ALERT,info,success,60,synthetic_capacity,338.2,1000,33.82,5.26
CAPACITY-CAPACITY_ALERT-01-09,ST0202,SLA,KV1,active,2026-08-18 09:00:00,CAPACITY_ALERT,info,success,60,synthetic_capacity,725.86,1000,72.59,5.68
CAPACITY-CAPACITY_ALERT-01-18,ST0202,SLA,KV1,active,2026-08-18 18:00:00,CAPACITY_ALERT,info,success,60,synthetic_capacity,437.84,1000,43.78,-4.88
CAPACITY-CAPACITY_ALERT-01-27,ST0202,SLA,KV1,active,2026-08-19 03:00:00,CAPACITY_ALERT,info,success,60,synthetic_capacity,407.3,1000,40.73,2.5
CAPACITY-CAPACITY_ALERT-01-36,ST0202,SLA,KV1,active,2026-08-19 12:00:00,CAPACITY_ALERT,info,success,60,synthetic_capacity,532.44,1000,53.24,-7.26
CAPACITY-CAPACITY_ALERT-01-45,ST0202,SLA,KV1,degraded,2026-08-19 21:00:00,CAPACITY_ALERT,major,failed,3600,synthetic_capacity,427.34,1000,42.73,-6.42
CAPACITY-CAPACITY_ALERT-01-54,ST0202,SLA,KV1,active,2026-08-20 06:00:00,CAPACITY_ALERT,info,success,60,synthetic_capacity,587.29,1000,58.73,1.74
CAPACITY-CAPACITY_ALERT-01-63,ST0202,SLA,KV1,active,2026-08-20 15:00:00,CAPACITY_ALERT,info,success,60,synthetic_capacity,797.25,1000,79.72,-0.68
CAPACITY-CAPACITY_ALERT-02-00,ST0301,CMU,KV3,active,2026-08-18 00:00:00,CAPACITY_ALERT,info,success,60,synthetic_capacity,455.5,1000,45.55,-4.77
CAPACITY-CAPACITY_ALERT-02-09,ST0301,CMU,KV3,active,2026-08-18 09:00:00,CAPACITY_ALERT,info,success,60,synthetic_capacity,526.22,1000,52.62,-4.69
CAPACITY-CAPACITY_ALERT-02-18,ST0301,CMU,KV3,active,2026-08-18 18:00:00,CAPACITY_ALERT,info,success,60,synthetic_capacity,623.54,1000,62.35,0.2
CAPACITY-CAPACITY_ALERT-02-27,ST0301,CMU,KV3,active,2026-08-19 03:00:00,CAPACITY_ALERT,info,success,60,synthetic_capacity,391.91,1000,39.19,1.47
CAPACITY-CAPACITY_ALERT-02-36,ST0301,CMU,KV3,active,2026-08-19 12:00:00,CAPACITY_ALERT,info,success,60,synthetic_capacity,471.65,1000,47.16,4.63
CAPACITY-CAPACITY_ALERT-02-45,ST0301,CMU,KV3,active,2026-08-19 21:00:00,CAPACITY_ALERT,info,success,60,synthetic_capacity,709.53,1000,70.95,-2.35
CAPACITY-CAPACITY_ALERT-02-54,ST0301,CMU,KV3,active,2026-08-20 06:00:00,CAPACITY_ALERT,info,success,60,synthetic_capacity,601.37,1000,60.14,-4.76
CAPACITY-CAPACITY_ALERT-02-63,ST0301,CMU,KV3,active,2026-08-20 15:00:00,CAPACITY_ALERT,info,success,60,synthetic_capacity,421.65,1000,42.16,-7.2
CAPACITY-CAPACITY_ALERT-03-00,ST0402,NBH,KV1,active,2026-08-18 00:00:00,CAPACITY_ALERT,info,success,60,synthetic_capacity,747.72,1000,74.77,3.5
CAPACITY-CAPACITY_ALERT-03-09,ST0402,NBH,KV1,active,2026-08-18 09:00:00,CAPACITY_ALERT,info,success,60,synthetic_capacity,319.04,1000,31.9,2.19
CAPACITY-CAPACITY_ALERT-03-18,ST0402,NBH,KV1,active,2026-08-18 18:00:00,CAPACITY_ALERT,info,success,60,synthetic_capacity,541.31,1000,54.13,-5.45
CAPACITY-CAPACITY_ALERT-03-27,ST0402,NBH,KV1,active,2026-08-19 03:00:00,CAPACITY_ALERT,info,success,60,synthetic_capacity,620.48,1000,62.05,2.53
CAPACITY-CAPACITY_ALERT-03-36,ST0402,NBH,KV1,active,2026-08-19 12:00:00,CAPACITY_ALERT,info,success,60,synthetic_capacity,644.63,1000,64.46,4.69
CAPACITY-CAPACITY_ALERT-03-45,ST0402,NBH,KV1,active,2026-08-19 21:00:00,CAPACITY_ALERT,info,success,60,synthetic_capacity,788.94,1000,78.89,4.74
CAPACITY-CAPACITY_ALERT-03-54,ST0402,NBH,KV1,active,2026-08-20 06:00:00,CAPACITY_ALERT,info,success,60,synthetic_capacity,693.59,1000,69.36,-3.01
CAPACITY-CAPACITY_ALERT-03-63,ST0402,NBH,KV1,active,2026-08-20 15:00:00,CAPACITY_ALERT,info,success,60,synthetic_capacity,510.87,1000,51.09,-5.66
CAPACITY-CAPACITY_ALERT-04-00,ST0501,HCM,KV3,active,2026-08-18 00:00:00,CAPACITY_ALERT,info,success,60,synthetic_capacity,716.65,1000,71.67,4.63
CAPACITY-CAPACITY_ALERT-04-09,ST0501,HCM,KV3,active,2026-08-18 09:00:00,CAPACITY_ALERT,info,success,60,synthetic_capacity,504.32,1000,50.43,4.27
CAPACITY-CAPACITY_ALERT-04-18,ST0501,HCM,KV3,active,2026-08-18 18:00:00,CAPACITY_ALERT,info,success,60,synthetic_capacity,730.82,1000,73.08,-0.68
CAPACITY-CAPACITY_ALERT-04-27,ST0501,HCM,KV3,active,2026-08-19 03:00:00,CAPACITY_ALERT,info,success,60,synthetic_capacity,593.27,1000,59.33,3.55
CAPACITY-CAPACITY_ALERT-04-36,ST0501,HCM,KV3,active,2026-08-19 12:00:00,CAPACITY_ALERT,info,success,60,synthetic_capacity,777.14,1000,77.71,4.7
CAPACITY-CAPACITY_ALERT-04-45,ST0501,HCM,KV3,active,2026-08-19 21:00:00,CAPACITY_ALERT,info,success,60,synthetic_capacity,377.26,1000,37.73,-4.8
CAPACITY-CAPACITY_ALERT-04-54,ST0501,HCM,KV3,active,2026-08-20 06:00:00,CAPACITY_ALERT,info,success,60,synthetic_capacity,485.19,1000,48.52,0.96
CAPACITY-CAPACITY_ALERT-04-63,ST0501,HCM,KV3,active,2026-08-20 15:00:00,CAPACITY_ALERT,info,success,60,synthetic_capacity,372.77,1000,37.28,7.53
CAPACITY-CAPACITY_ALERT-05-00,ST0601,KHA,KV2,active,2026-08-18 00:00:00,CAPACITY_ALERT,info,success,60,synthetic_capacity,669.66,1000,66.97,3.18
CAPACITY-CAPACITY_ALERT-05-09,ST0601,KHA,KV2,active,2026-08-18 09:00:00,CAPACITY_ALERT,info,success,60,synthetic_capacity,525.56,1000,52.56,-6.7
CAPACITY-CAPACITY_ALERT-05-18,ST0601,KHA,KV2,active,2026-08-18 18:00:00,CAPACITY_ALERT,info,success,60,synthetic_capacity,621.34,1000,62.13,4.08
CAPACITY-CAPACITY_ALERT-05-27,ST0601,KHA,KV2,active,2026-08-19 03:00:00,CAPACITY_ALERT,info,success,60,synthetic_capacity,358.3,1000,35.83,7.27
CAPACITY-CAPACITY_ALERT-05-36,ST0601,KHA,KV2,active,2026-08-19 12:00:00,CAPACITY_ALERT,info,success,60,synthetic_capacity,561.09,1000,56.11,-2.5
CAPACITY-CAPACITY_ALERT-05-45,ST0601,KHA,KV2,active,2026-08-19 21:00:00,CAPACITY_ALERT,info,success,60,synthetic_capacity,488.9,1000,48.89,-7.15
CAPACITY-CAPACITY_ALERT-05-54,ST0601,KHA,KV2,active,2026-08-20 06:00:00,CAPACITY_ALERT,info,success,60,synthetic_capacity,725.04,1000,72.5,0.79
CAPACITY-CAPACITY_ALERT-05-63,ST0601,KHA,KV2,active,2026-08-20 15:00:00,CAPACITY_ALERT,info,success,60,synthetic_capacity,619.68,1000,61.97,7.18
