cell_capacity_daily_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,demand_mbps,available_mbps,utilization_pct,forecast_error_pct
CAPACITY-CELL_CAPACITY_DAILY-00-00,ST0101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,54.78,index,valid,synthetic_capacity,387.38,1000,38.74,-1.15
CAPACITY-CELL_CAPACITY_DAILY-00-24,ST0101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,49.95,index,valid,synthetic_capacity,712.6,1000,71.26,-0.94
CAPACITY-CELL_CAPACITY_DAILY-00-48,ST0101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,59.92,index,valid,synthetic_capacity,513.98,1000,51.4,-6.93
CAPACITY-CELL_CAPACITY_DAILY-01-00,ST0202,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,47.19,index,valid,synthetic_capacity,539.54,1000,53.95,6.23
CAPACITY-CELL_CAPACITY_DAILY-01-24,ST0202,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,73.15,index,valid,synthetic_capacity,346.0,1000,34.6,0.98
CAPACITY-CELL_CAPACITY_DAILY-01-48,ST0202,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,60.29,index,valid,synthetic_capacity,333.98,1000,33.4,6.3
CAPACITY-CELL_CAPACITY_DAILY-02-00,ST0301,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,68.49,index,valid,synthetic_capacity,476.23,1000,47.62,4.31
CAPACITY-CELL_CAPACITY_DAILY-02-24,ST0301,CMU,KV3,active,2026-08-19-00,2026-08-19 00:00:00,47.09,index,valid,synthetic_capacity,451.42,1000,45.14,6.96
CAPACITY-CELL_CAPACITY_DAILY-02-48,ST0301,CMU,KV3,active,2026-08-20-00,2026-08-20 00:00:00,22.31,index,valid,synthetic_capacity,478.23,1000,47.82,7.57
CAPACITY-CELL_CAPACITY_DAILY-03-00,ST0402,NBH,KV1,active,2026-08-18-00,2026-08-18 00:00:00,58.92,index,valid,synthetic_capacity,748.24,1000,74.82,-4.46
CAPACITY-CELL_CAPACITY_DAILY-03-24,ST0402,NBH,KV1,active,2026-08-19-00,2026-08-19 00:00:00,73.62,index,valid,synthetic_capacity,361.37,1000,36.14,7.04
CAPACITY-CELL_CAPACITY_DAILY-03-48,ST0402,NBH,KV1,active,2026-08-20-00,2026-08-20 00:00:00,36.41,index,valid,synthetic_capacity,685.47,1000,68.55,1.25
CAPACITY-CELL_CAPACITY_DAILY-04-00,ST0501,HCM,KV3,active,2026-08-18-00,2026-08-18 00:00:00,19.53,index,valid,synthetic_capacity,451.5,1000,45.15,-2.12
CAPACITY-CELL_CAPACITY_DAILY-04-24,ST0501,HCM,KV3,active,2026-08-19-00,2026-08-19 00:00:00,78.72,index,valid,synthetic_capacity,685.99,1000,68.6,-0.61
CAPACITY-CELL_CAPACITY_DAILY-04-48,ST0501,HCM,KV3,active,2026-08-20-00,2026-08-20 00:00:00,42.57,index,valid,synthetic_capacity,359.58,1000,35.96,1.05
CAPACITY-CELL_CAPACITY_DAILY-05-00,ST0601,KHA,KV2,active,2026-08-18-00,2026-08-18 00:00:00,28.63,index,valid,synthetic_capacity,689.17,1000,68.92,-0.97
CAPACITY-CELL_CAPACITY_DAILY-05-24,ST0601,KHA,KV2,active,2026-08-19-00,2026-08-19 00:00:00,31.75,index,valid,synthetic_capacity,302.31,1000,30.23,3.2
CAPACITY-CELL_CAPACITY_DAILY-05-48,ST0601,KHA,KV2,active,2026-08-20-00,2026-08-20 00:00:00,29.48,index,valid,synthetic_capacity,531.2,1000,53.12,-4.0
