core_capacity_daily_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,demand_mbps,available_mbps,utilization_pct,forecast_error_pct
CAPACITY-CORE_CAPACITY_DAILY-00-00,ST0101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,70.51,index,valid,synthetic_capacity,659.59,1000,65.96,-5.6
CAPACITY-CORE_CAPACITY_DAILY-00-24,ST0101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,49.38,index,valid,synthetic_capacity,798.62,1000,79.86,-7.44
CAPACITY-CORE_CAPACITY_DAILY-00-48,ST0101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,29.96,index,valid,synthetic_capacity,507.72,1000,50.77,1.13
CAPACITY-CORE_CAPACITY_DAILY-01-00,ST0202,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,56.23,index,valid,synthetic_capacity,677.96,1000,67.8,-0.59
CAPACITY-CORE_CAPACITY_DAILY-01-24,ST0202,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,24.14,index,valid,synthetic_capacity,786.67,1000,78.67,-1.77
CAPACITY-CORE_CAPACITY_DAILY-01-48,ST0202,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,22.41,index,valid,synthetic_capacity,665.5,1000,66.55,-6.88
CAPACITY-CORE_CAPACITY_DAILY-02-00,ST0301,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,57.88,index,valid,synthetic_capacity,510.85,1000,51.09,-7.94
CAPACITY-CORE_CAPACITY_DAILY-02-24,ST0301,CMU,KV3,active,2026-08-19-00,2026-08-19 00:00:00,32.88,index,valid,synthetic_capacity,535.8,1000,53.58,7.04
CAPACITY-CORE_CAPACITY_DAILY-02-48,ST0301,CMU,KV3,active,2026-08-20-00,2026-08-20 00:00:00,19.57,index,valid,synthetic_capacity,764.59,1000,76.46,-5.94
CAPACITY-CORE_CAPACITY_DAILY-03-00,ST0402,NBH,KV1,active,2026-08-18-00,2026-08-18 00:00:00,18.54,index,valid,synthetic_capacity,776.69,1000,77.67,1.09
CAPACITY-CORE_CAPACITY_DAILY-03-24,ST0402,NBH,KV1,active,2026-08-19-00,2026-08-19 00:00:00,39.53,index,valid,synthetic_capacity,413.45,1000,41.34,1.33
CAPACITY-CORE_CAPACITY_DAILY-03-48,ST0402,NBH,KV1,active,2026-08-20-00,2026-08-20 00:00:00,67.17,index,valid,synthetic_capacity,325.45,1000,32.55,2.12
CAPACITY-CORE_CAPACITY_DAILY-04-00,ST0501,HCM,KV3,active,2026-08-18-00,2026-08-18 00:00:00,50.94,index,valid,synthetic_capacity,786.38,1000,78.64,3.04
CAPACITY-CORE_CAPACITY_DAILY-04-24,ST0501,HCM,KV3,active,2026-08-19-00,2026-08-19 00:00:00,64.83,index,valid,synthetic_capacity,787.6,1000,78.76,4.02
CAPACITY-CORE_CAPACITY_DAILY-04-48,ST0501,HCM,KV3,active,2026-08-20-00,2026-08-20 00:00:00,46.07,index,valid,synthetic_capacity,566.82,1000,56.68,-5.73
CAPACITY-CORE_CAPACITY_DAILY-05-00,ST0601,KHA,KV2,active,2026-08-18-00,2026-08-18 00:00:00,34.63,index,valid,synthetic_capacity,448.35,1000,44.84,6.79
CAPACITY-CORE_CAPACITY_DAILY-05-24,ST0601,KHA,KV2,active,2026-08-19-00,2026-08-19 00:00:00,26.07,index,valid,synthetic_capacity,725.76,1000,72.58,2.37
CAPACITY-CORE_CAPACITY_DAILY-05-48,ST0601,KHA,KV2,active,2026-08-20-00,2026-08-20 00:00:00,16.66,index,valid,synthetic_capacity,550.28,1000,55.03,-5.24
