demand_daily_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,demand_mbps,available_mbps,utilization_pct,forecast_error_pct
CAPACITY-DEMAND_DAILY-00-00,ST0101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,15.7,index,valid,synthetic_capacity,517.12,1000,51.71,0.85
CAPACITY-DEMAND_DAILY-00-24,ST0101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,28.03,index,valid,synthetic_capacity,420.69,1000,42.07,-4.51
CAPACITY-DEMAND_DAILY-00-48,ST0101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,63.79,index,valid,synthetic_capacity,763.88,1000,76.39,3.88
CAPACITY-DEMAND_DAILY-01-00,ST0202,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,21.04,index,valid,synthetic_capacity,315.51,1000,31.55,0.93
CAPACITY-DEMAND_DAILY-01-24,ST0202,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,68.53,index,valid,synthetic_capacity,638.13,1000,63.81,-5.58
CAPACITY-DEMAND_DAILY-01-48,ST0202,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,28.93,index,valid,synthetic_capacity,505.28,1000,50.53,-0.71
CAPACITY-DEMAND_DAILY-02-00,ST0301,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,77.65,index,valid,synthetic_capacity,461.78,1000,46.18,7.43
CAPACITY-DEMAND_DAILY-02-24,ST0301,CMU,KV3,active,2026-08-19-00,2026-08-19 00:00:00,27.66,index,valid,synthetic_capacity,576.69,1000,57.67,7.16
CAPACITY-DEMAND_DAILY-02-48,ST0301,CMU,KV3,active,2026-08-20-00,2026-08-20 00:00:00,39.11,index,valid,synthetic_capacity,599.09,1000,59.91,5.1
CAPACITY-DEMAND_DAILY-03-00,ST0402,NBH,KV1,active,2026-08-18-00,2026-08-18 00:00:00,58.41,index,valid,synthetic_capacity,324.52,1000,32.45,4.6
CAPACITY-DEMAND_DAILY-03-24,ST0402,NBH,KV1,active,2026-08-19-00,2026-08-19 00:00:00,46.79,index,valid,synthetic_capacity,503.36,1000,50.34,-0.67
CAPACITY-DEMAND_DAILY-03-48,ST0402,NBH,KV1,active,2026-08-20-00,2026-08-20 00:00:00,62.86,index,valid,synthetic_capacity,472.53,1000,47.25,3.12
CAPACITY-DEMAND_DAILY-04-00,ST0501,HCM,KV3,active,2026-08-18-00,2026-08-18 00:00:00,26.56,index,valid,synthetic_capacity,466.32,1000,46.63,-2.68
CAPACITY-DEMAND_DAILY-04-24,ST0501,HCM,KV3,active,2026-08-19-00,2026-08-19 00:00:00,37.67,index,valid,synthetic_capacity,501.43,1000,50.14,4.72
CAPACITY-DEMAND_DAILY-04-48,ST0501,HCM,KV3,active,2026-08-20-00,2026-08-20 00:00:00,75.61,index,valid,synthetic_capacity,319.39,1000,31.94,-0.59
CAPACITY-DEMAND_DAILY-05-00,ST0601,KHA,KV2,active,2026-08-18-00,2026-08-18 00:00:00,79.48,index,valid,synthetic_capacity,651.26,1000,65.13,0.36
CAPACITY-DEMAND_DAILY-05-24,ST0601,KHA,KV2,active,2026-08-19-00,2026-08-19 00:00:00,71.76,index,valid,synthetic_capacity,541.94,1000,54.19,5.19
CAPACITY-DEMAND_DAILY-05-48,ST0601,KHA,KV2,active,2026-08-20-00,2026-08-20 00:00:00,69.88,index,valid,synthetic_capacity,734.52,1000,73.45,-3.07
