forecast_hourly_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,demand_mbps,available_mbps,utilization_pct,forecast_error_pct
CAPACITY-FORECAST_HOURLY-00-00,ST0101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,38.18,index,valid,synthetic_capacity,468.79,1000,46.88,-5.08
CAPACITY-FORECAST_HOURLY-00-01,ST0101,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,81.97,index,valid,synthetic_capacity,617.46,1000,61.75,-5.2
CAPACITY-FORECAST_HOURLY-00-02,ST0101,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,37.75,index,valid,synthetic_capacity,773.33,1000,77.33,-5.43
CAPACITY-FORECAST_HOURLY-00-03,ST0101,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,32.35,index,valid,synthetic_capacity,546.34,1000,54.63,0.3
CAPACITY-FORECAST_HOURLY-00-04,ST0101,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,26.05,index,valid,synthetic_capacity,421.24,1000,42.12,0.29
CAPACITY-FORECAST_HOURLY-00-05,ST0101,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,80.09,index,valid,synthetic_capacity,638.01,1000,63.8,-2.77
CAPACITY-FORECAST_HOURLY-00-06,ST0101,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,72.28,index,valid,synthetic_capacity,466.36,1000,46.64,-6.84
CAPACITY-FORECAST_HOURLY-00-07,ST0101,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,41.71,index,valid,synthetic_capacity,772.32,1000,77.23,4.75
CAPACITY-FORECAST_HOURLY-00-08,ST0101,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,72.3,index,valid,synthetic_capacity,614.89,1000,61.49,-1.09
CAPACITY-FORECAST_HOURLY-00-09,ST0101,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,75.16,index,valid,synthetic_capacity,414.29,1000,41.43,6.02
CAPACITY-FORECAST_HOURLY-00-10,ST0101,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,25.46,index,valid,synthetic_capacity,414.35,1000,41.44,5.26
CAPACITY-FORECAST_HOURLY-00-11,ST0101,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,18.29,index,valid,synthetic_capacity,523.18,1000,52.32,5.02
CAPACITY-FORECAST_HOURLY-00-12,ST0101,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,67.57,index,valid,synthetic_capacity,761.53,1000,76.15,1.12
CAPACITY-FORECAST_HOURLY-00-13,ST0101,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,39.87,index,valid,synthetic_capacity,442.81,1000,44.28,1.17
CAPACITY-FORECAST_HOURLY-00-14,ST0101,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,54.36,index,valid,synthetic_capacity,694.37,1000,69.44,-4.63
CAPACITY-FORECAST_HOURLY-00-15,ST0101,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,58.8,index,valid,synthetic_capacity,792.48,1000,79.25,7.41
CAPACITY-FORECAST_HOURLY-00-16,ST0101,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,43.12,index,valid,synthetic_capacity,344.86,1000,34.49,3.42
CAPACITY-FORECAST_HOURLY-00-17,ST0101,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,21.44,index,valid,synthetic_capacity,798.03,1000,79.8,-6.12
CAPACITY-FORECAST_HOURLY-00-18,ST0101,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,18.93,index,valid,synthetic_capacity,511.88,1000,51.19,4.77
CAPACITY-FORECAST_HOURLY-00-19,ST0101,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,22.02,index,valid,synthetic_capacity,757.44,1000,75.74,2.36
CAPACITY-FORECAST_HOURLY-00-20,ST0101,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,37.34,index,valid,synthetic_capacity,423.95,1000,42.4,-3.43
CAPACITY-FORECAST_HOURLY-00-21,ST0101,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,65.43,index,valid,synthetic_capacity,405.29,1000,40.53,-0.14
CAPACITY-FORECAST_HOURLY-00-22,ST0101,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,44.5,index,valid,synthetic_capacity,562.55,1000,56.25,-1.26
CAPACITY-FORECAST_HOURLY-00-23,ST0101,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,82.29,index,valid,synthetic_capacity,798.42,1000,79.84,0.23
CAPACITY-FORECAST_HOURLY-00-24,ST0101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,48.31,index,valid,synthetic_capacity,417.9,1000,41.79,-4.07
CAPACITY-FORECAST_HOURLY-00-25,ST0101,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,18.71,index,valid,synthetic_capacity,621.59,1000,62.16,0.34
CAPACITY-FORECAST_HOURLY-00-26,ST0101,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,44.03,index,valid,synthetic_capacity,393.05,1000,39.3,-1.94
