port_capacity_daily_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,demand_mbps,available_mbps,utilization_pct,forecast_error_pct
CAPACITY-PORT_CAPACITY_DAILY-00-00,ST0101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,69.37,index,valid,synthetic_capacity,576.12,1000,57.61,-7.31
CAPACITY-PORT_CAPACITY_DAILY-00-24,ST0101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,62.37,index,valid,synthetic_capacity,549.97,1000,55.0,-5.95
CAPACITY-PORT_CAPACITY_DAILY-00-48,ST0101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,31.8,index,valid,synthetic_capacity,368.16,1000,36.82,-3.82
CAPACITY-PORT_CAPACITY_DAILY-01-00,ST0202,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,80.33,index,valid,synthetic_capacity,552.56,1000,55.26,-5.08
CAPACITY-PORT_CAPACITY_DAILY-01-24,ST0202,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,40.99,index,valid,synthetic_capacity,540.9,1000,54.09,6.57
CAPACITY-PORT_CAPACITY_DAILY-01-48,ST0202,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,63.7,index,valid,synthetic_capacity,406.91,1000,40.69,-2.89
CAPACITY-PORT_CAPACITY_DAILY-02-00,ST0301,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,63.93,index,valid,synthetic_capacity,559.19,1000,55.92,6.87
CAPACITY-PORT_CAPACITY_DAILY-02-24,ST0301,CMU,KV3,active,2026-08-19-00,2026-08-19 00:00:00,36.22,index,valid,synthetic_capacity,551.91,1000,55.19,-1.6
CAPACITY-PORT_CAPACITY_DAILY-02-48,ST0301,CMU,KV3,active,2026-08-20-00,2026-08-20 00:00:00,72.98,index,valid,synthetic_capacity,399.47,1000,39.95,2.72
CAPACITY-PORT_CAPACITY_DAILY-03-00,ST0402,NBH,KV1,active,2026-08-18-00,2026-08-18 00:00:00,36.23,index,valid,synthetic_capacity,525.36,1000,52.54,-3.32
CAPACITY-PORT_CAPACITY_DAILY-03-24,ST0402,NBH,KV1,active,2026-08-19-00,2026-08-19 00:00:00,78.08,index,valid,synthetic_capacity,712.13,1000,71.21,-1.97
CAPACITY-PORT_CAPACITY_DAILY-03-48,ST0402,NBH,KV1,active,2026-08-20-00,2026-08-20 00:00:00,20.66,index,valid,synthetic_capacity,615.51,1000,61.55,5.23
CAPACITY-PORT_CAPACITY_DAILY-04-00,ST0501,HCM,KV3,active,2026-08-18-00,2026-08-18 00:00:00,75.08,index,valid,synthetic_capacity,607.78,1000,60.78,1.99
CAPACITY-PORT_CAPACITY_DAILY-04-24,ST0501,HCM,KV3,active,2026-08-19-00,2026-08-19 00:00:00,23.86,index,valid,synthetic_capacity,490.86,1000,49.09,-6.82
CAPACITY-PORT_CAPACITY_DAILY-04-48,ST0501,HCM,KV3,active,2026-08-20-00,2026-08-20 00:00:00,84.33,index,valid,synthetic_capacity,459.11,1000,45.91,4.83
CAPACITY-PORT_CAPACITY_DAILY-05-00,ST0601,KHA,KV2,active,2026-08-18-00,2026-08-18 00:00:00,19.63,index,valid,synthetic_capacity,514.52,1000,51.45,-0.09
CAPACITY-PORT_CAPACITY_DAILY-05-24,ST0601,KHA,KV2,active,2026-08-19-00,2026-08-19 00:00:00,33.88,index,valid,synthetic_capacity,435.68,1000,43.57,-4.16
CAPACITY-PORT_CAPACITY_DAILY-05-48,ST0601,KHA,KV2,active,2026-08-20-00,2026-08-20 00:00:00,25.6,index,valid,synthetic_capacity,770.25,1000,77.03,-5.2
