saturation_event_id,station_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,demand_mbps,available_mbps,utilization_pct,forecast_error_pct
CAPACITY-SATURATION_EVENT-00-00,ST0101,DBN,KV1,active,2026-08-18 00:00:00,SATURATION_EVENT,info,success,60,synthetic_capacity,630.35,1000,63.03,1.08
CAPACITY-SATURATION_EVENT-00-09,ST0101,DBN,KV1,active,2026-08-18 09:00:00,SATURATION_EVENT,info,success,60,synthetic_capacity,758.55,1000,75.86,0.1
CAPACITY-SATURATION_EVENT-00-18,ST0101,DBN,KV1,active,2026-08-18 18:00:00,SATURATION_EVENT,info,success,60,synthetic_capacity,604.83,1000,60.48,-1.0
CAPACITY-SATURATION_EVENT-00-27,ST0101,DBN,KV1,degraded,2026-08-19 03:00:00,SATURATION_EVENT,major,failed,3600,synthetic_capacity,302.24,1000,30.22,2.24
CAPACITY-SATURATION_EVENT-00-36,ST0101,DBN,KV1,active,2026-08-19 12:00:00,SATURATION_EVENT,info,success,60,synthetic_capacity,526.39,1000,52.64,0.98
CAPACITY-SATURATION_EVENT-00-45,ST0101,DBN,KV1,active,2026-08-19 21:00:00,SATURATION_EVENT,info,success,60,synthetic_capacity,405.61,1000,40.56,1.16
CAPACITY-SATURATION_EVENT-00-54,ST0101,DBN,KV1,active,2026-08-20 06:00:00,SATURATION_EVENT,info,success,60,synthetic_capacity,337.13,1000,33.71,-0.81
CAPACITY-SATURATION_EVENT-00-63,ST0101,DBN,KV1,active,2026-08-20 15:00:00,SATURATION_EVENT,info,success,60,synthetic_capacity,681.66,1000,68.17,-5.81
CAPACITY-SATURATION_EVENT-01-00,ST0202,SLA,KV1,active,2026-08-18 00:00:00,SATURATION_EVENT,info,success,60,synthetic_capacity,557.25,1000,55.73,0.36
CAPACITY-SATURATION_EVENT-01-09,ST0202,SLA,KV1,active,2026-08-18 09:00:00,SATURATION_EVENT,info,success,60,synthetic_capacity,346.98,1000,34.7,5.72
CAPACITY-SATURATION_EVENT-01-18,ST0202,SLA,KV1,active,2026-08-18 18:00:00,SATURATION_EVENT,info,success,60,synthetic_capacity,386.11,1000,38.61,1.24
CAPACITY-SATURATION_EVENT-01-27,ST0202,SLA,KV1,active,2026-08-19 03:00:00,SATURATION_EVENT,info,success,60,synthetic_capacity,599.89,1000,59.99,-6.22
CAPACITY-SATURATION_EVENT-01-36,ST0202,SLA,KV1,active,2026-08-19 12:00:00,SATURATION_EVENT,info,success,60,synthetic_capacity,601.71,1000,60.17,3.42
CAPACITY-SATURATION_EVENT-01-45,ST0202,SLA,KV1,degraded,2026-08-19 21:00:00,SATURATION_EVENT,major,failed,3600,synthetic_capacity,430.25,1000,43.02,5.91
CAPACITY-SATURATION_EVENT-01-54,ST0202,SLA,KV1,active,2026-08-20 06:00:00,SATURATION_EVENT,info,success,60,synthetic_capacity,620.31,1000,62.03,4.07
CAPACITY-SATURATION_EVENT-01-63,ST0202,SLA,KV1,active,2026-08-20 15:00:00,SATURATION_EVENT,info,success,60,synthetic_capacity,383.47,1000,38.35,-6.12
CAPACITY-SATURATION_EVENT-02-00,ST0301,CMU,KV3,active,2026-08-18 00:00:00,SATURATION_EVENT,info,success,60,synthetic_capacity,361.52,1000,36.15,6.16
CAPACITY-SATURATION_EVENT-02-09,ST0301,CMU,KV3,active,2026-08-18 09:00:00,SATURATION_EVENT,info,success,60,synthetic_capacity,771.05,1000,77.11,-0.58
