spectrum_capacity_daily_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,demand_mbps,available_mbps,utilization_pct,forecast_error_pct
CAPACITY-SPECTRUM_CAPACITY_DAILY-00-00,ST0101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,69.07,index,valid,synthetic_capacity,353.88,1000,35.39,-2.66
CAPACITY-SPECTRUM_CAPACITY_DAILY-00-24,ST0101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,80.73,index,valid,synthetic_capacity,398.8,1000,39.88,7.45
CAPACITY-SPECTRUM_CAPACITY_DAILY-00-48,ST0101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,39.44,index,valid,synthetic_capacity,306.99,1000,30.7,0.06
CAPACITY-SPECTRUM_CAPACITY_DAILY-01-00,ST0202,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,32.29,index,valid,synthetic_capacity,727.65,1000,72.77,6.97
CAPACITY-SPECTRUM_CAPACITY_DAILY-01-24,ST0202,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,38.57,index,valid,synthetic_capacity,545.3,1000,54.53,5.94
CAPACITY-SPECTRUM_CAPACITY_DAILY-01-48,ST0202,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,62.63,index,valid,synthetic_capacity,323.32,1000,32.33,-7.15
CAPACITY-SPECTRUM_CAPACITY_DAILY-02-00,ST0301,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,76.44,index,valid,synthetic_capacity,301.39,1000,30.14,-2.49
CAPACITY-SPECTRUM_CAPACITY_DAILY-02-24,ST0301,CMU,KV3,active,2026-08-19-00,2026-08-19 00:00:00,83.76,index,valid,synthetic_capacity,784.43,1000,78.44,4.89
CAPACITY-SPECTRUM_CAPACITY_DAILY-02-48,ST0301,CMU,KV3,active,2026-08-20-00,2026-08-20 00:00:00,15.1,index,valid,synthetic_capacity,448.81,1000,44.88,3.19
CAPACITY-SPECTRUM_CAPACITY_DAILY-03-00,ST0402,NBH,KV1,active,2026-08-18-00,2026-08-18 00:00:00,61.26,index,valid,synthetic_capacity,718.86,1000,71.89,-4.67
CAPACITY-SPECTRUM_CAPACITY_DAILY-03-24,ST0402,NBH,KV1,active,2026-08-19-00,2026-08-19 00:00:00,23.28,index,valid,synthetic_capacity,699.12,1000,69.91,3.38
CAPACITY-SPECTRUM_CAPACITY_DAILY-03-48,ST0402,NBH,KV1,active,2026-08-20-00,2026-08-20 00:00:00,61.18,index,valid,synthetic_capacity,377.1,1000,37.71,3.68
CAPACITY-SPECTRUM_CAPACITY_DAILY-04-00,ST0501,HCM,KV3,active,2026-08-18-00,2026-08-18 00:00:00,21.94,index,valid,synthetic_capacity,566.37,1000,56.64,-2.8
CAPACITY-SPECTRUM_CAPACITY_DAILY-04-24,ST0501,HCM,KV3,active,2026-08-19-00,2026-08-19 00:00:00,76.29,index,valid,synthetic_capacity,759.28,1000,75.93,6.95
CAPACITY-SPECTRUM_CAPACITY_DAILY-04-48,ST0501,HCM,KV3,active,2026-08-20-00,2026-08-20 00:00:00,66.68,index,valid,synthetic_capacity,505.75,1000,50.58,7.7
CAPACITY-SPECTRUM_CAPACITY_DAILY-05-00,ST0601,KHA,KV2,active,2026-08-18-00,2026-08-18 00:00:00,50.93,index,valid,synthetic_capacity,680.34,1000,68.03,-5.57
CAPACITY-SPECTRUM_CAPACITY_DAILY-05-24,ST0601,KHA,KV2,active,2026-08-19-00,2026-08-19 00:00:00,45.0,index,valid,synthetic_capacity,775.74,1000,77.57,-7.14
CAPACITY-SPECTRUM_CAPACITY_DAILY-05-48,ST0601,KHA,KV2,active,2026-08-20-00,2026-08-20 00:00:00,76.9,index,valid,synthetic_capacity,662.66,1000,66.27,-1.5
