station_capacity_daily_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,demand_mbps,available_mbps,utilization_pct,forecast_error_pct
CAPACITY-STATION_CAPACITY_DAILY-00-00,ST0101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,78.05,index,valid,synthetic_capacity,377.61,1000,37.76,4.44
CAPACITY-STATION_CAPACITY_DAILY-00-24,ST0101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,23.72,index,valid,synthetic_capacity,465.35,1000,46.53,5.58
CAPACITY-STATION_CAPACITY_DAILY-00-48,ST0101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,36.01,index,valid,synthetic_capacity,458.51,1000,45.85,4.33
CAPACITY-STATION_CAPACITY_DAILY-01-00,ST0202,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,73.98,index,valid,synthetic_capacity,370.38,1000,37.04,0.06
CAPACITY-STATION_CAPACITY_DAILY-01-24,ST0202,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,51.0,index,valid,synthetic_capacity,525.63,1000,52.56,-4.67
CAPACITY-STATION_CAPACITY_DAILY-01-48,ST0202,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,35.43,index,valid,synthetic_capacity,594.47,1000,59.45,-3.59
CAPACITY-STATION_CAPACITY_DAILY-02-00,ST0301,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,65.08,index,valid,synthetic_capacity,570.62,1000,57.06,-5.82
CAPACITY-STATION_CAPACITY_DAILY-02-24,ST0301,CMU,KV3,active,2026-08-19-00,2026-08-19 00:00:00,36.71,index,valid,synthetic_capacity,674.46,1000,67.45,4.43
CAPACITY-STATION_CAPACITY_DAILY-02-48,ST0301,CMU,KV3,active,2026-08-20-00,2026-08-20 00:00:00,56.58,index,valid,synthetic_capacity,775.23,1000,77.52,4.91
CAPACITY-STATION_CAPACITY_DAILY-03-00,ST0402,NBH,KV1,active,2026-08-18-00,2026-08-18 00:00:00,67.6,index,valid,synthetic_capacity,561.99,1000,56.2,3.68
CAPACITY-STATION_CAPACITY_DAILY-03-24,ST0402,NBH,KV1,active,2026-08-19-00,2026-08-19 00:00:00,45.48,index,valid,synthetic_capacity,535.47,1000,53.55,-0.46
CAPACITY-STATION_CAPACITY_DAILY-03-48,ST0402,NBH,KV1,active,2026-08-20-00,2026-08-20 00:00:00,54.66,index,valid,synthetic_capacity,583.07,1000,58.31,-1.65
CAPACITY-STATION_CAPACITY_DAILY-04-00,ST0501,HCM,KV3,active,2026-08-18-00,2026-08-18 00:00:00,17.21,index,valid,synthetic_capacity,734.19,1000,73.42,-7.17
CAPACITY-STATION_CAPACITY_DAILY-04-24,ST0501,HCM,KV3,active,2026-08-19-00,2026-08-19 00:00:00,46.48,index,valid,synthetic_capacity,724.1,1000,72.41,5.8
CAPACITY-STATION_CAPACITY_DAILY-04-48,ST0501,HCM,KV3,active,2026-08-20-00,2026-08-20 00:00:00,18.87,index,valid,synthetic_capacity,713.12,1000,71.31,6.93
CAPACITY-STATION_CAPACITY_DAILY-05-00,ST0601,KHA,KV2,active,2026-08-18-00,2026-08-18 00:00:00,44.19,index,valid,synthetic_capacity,457.97,1000,45.8,1.16
CAPACITY-STATION_CAPACITY_DAILY-05-24,ST0601,KHA,KV2,active,2026-08-19-00,2026-08-19 00:00:00,54.01,index,valid,synthetic_capacity,310.48,1000,31.05,5.98
CAPACITY-STATION_CAPACITY_DAILY-05-48,ST0601,KHA,KV2,active,2026-08-20-00,2026-08-20 00:00:00,23.88,index,valid,synthetic_capacity,359.94,1000,35.99,1.02
