storage_capacity_daily_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,demand_mbps,available_mbps,utilization_pct,forecast_error_pct
CAPACITY-STORAGE_CAPACITY_DAILY-00-00,ST0101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,29.6,index,valid,synthetic_capacity,551.44,1000,55.14,-0.6
CAPACITY-STORAGE_CAPACITY_DAILY-00-24,ST0101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,29.13,index,valid,synthetic_capacity,477.48,1000,47.75,0.83
CAPACITY-STORAGE_CAPACITY_DAILY-00-48,ST0101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,78.98,index,valid,synthetic_capacity,317.6,1000,31.76,7.0
CAPACITY-STORAGE_CAPACITY_DAILY-01-00,ST0202,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,57.12,index,valid,synthetic_capacity,398.77,1000,39.88,-1.92
CAPACITY-STORAGE_CAPACITY_DAILY-01-24,ST0202,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,49.66,index,valid,synthetic_capacity,421.17,1000,42.12,-6.32
CAPACITY-STORAGE_CAPACITY_DAILY-01-48,ST0202,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,35.28,index,valid,synthetic_capacity,675.41,1000,67.54,2.58
CAPACITY-STORAGE_CAPACITY_DAILY-02-00,ST0301,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,38.65,index,valid,synthetic_capacity,548.74,1000,54.87,6.7
CAPACITY-STORAGE_CAPACITY_DAILY-02-24,ST0301,CMU,KV3,active,2026-08-19-00,2026-08-19 00:00:00,35.01,index,valid,synthetic_capacity,463.75,1000,46.38,2.59
CAPACITY-STORAGE_CAPACITY_DAILY-02-48,ST0301,CMU,KV3,active,2026-08-20-00,2026-08-20 00:00:00,81.28,index,valid,synthetic_capacity,580.29,1000,58.03,5.6
CAPACITY-STORAGE_CAPACITY_DAILY-03-00,ST0402,NBH,KV1,active,2026-08-18-00,2026-08-18 00:00:00,63.09,index,valid,synthetic_capacity,705.71,1000,70.57,-7.04
CAPACITY-STORAGE_CAPACITY_DAILY-03-24,ST0402,NBH,KV1,active,2026-08-19-00,2026-08-19 00:00:00,83.26,index,valid,synthetic_capacity,540.46,1000,54.05,-6.66
CAPACITY-STORAGE_CAPACITY_DAILY-03-48,ST0402,NBH,KV1,active,2026-08-20-00,2026-08-20 00:00:00,59.0,index,valid,synthetic_capacity,620.66,1000,62.07,1.93
CAPACITY-STORAGE_CAPACITY_DAILY-04-00,ST0501,HCM,KV3,active,2026-08-18-00,2026-08-18 00:00:00,18.56,index,valid,synthetic_capacity,313.85,1000,31.39,2.24
CAPACITY-STORAGE_CAPACITY_DAILY-04-24,ST0501,HCM,KV3,active,2026-08-19-00,2026-08-19 00:00:00,40.62,index,valid,synthetic_capacity,766.34,1000,76.63,-7.11
CAPACITY-STORAGE_CAPACITY_DAILY-04-48,ST0501,HCM,KV3,active,2026-08-20-00,2026-08-20 00:00:00,49.11,index,valid,synthetic_capacity,743.13,1000,74.31,1.36
CAPACITY-STORAGE_CAPACITY_DAILY-05-00,ST0601,KHA,KV2,active,2026-08-18-00,2026-08-18 00:00:00,20.88,index,valid,synthetic_capacity,438.0,1000,43.8,4.92
CAPACITY-STORAGE_CAPACITY_DAILY-05-24,ST0601,KHA,KV2,active,2026-08-19-00,2026-08-19 00:00:00,66.4,index,valid,synthetic_capacity,562.72,1000,56.27,-0.53
CAPACITY-STORAGE_CAPACITY_DAILY-05-48,ST0601,KHA,KV2,active,2026-08-20-00,2026-08-20 00:00:00,76.24,index,valid,synthetic_capacity,465.74,1000,46.57,1.4
