upgrade_candidate_id,station_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,demand_mbps,available_mbps,utilization_pct,forecast_error_pct
CAPACITY-UPGRADE_CANDIDATE-00-00,ST0101,DBN,KV1,active,2026-08-18 00:00:00,UPGRADE_CANDIDATE,info,success,60,synthetic_capacity,338.3,1000,33.83,7.57
CAPACITY-UPGRADE_CANDIDATE-00-09,ST0101,DBN,KV1,active,2026-08-18 09:00:00,UPGRADE_CANDIDATE,info,success,60,synthetic_capacity,606.35,1000,60.63,-5.95
CAPACITY-UPGRADE_CANDIDATE-00-18,ST0101,DBN,KV1,active,2026-08-18 18:00:00,UPGRADE_CANDIDATE,info,success,60,synthetic_capacity,769.88,1000,76.99,3.04
CAPACITY-UPGRADE_CANDIDATE-00-27,ST0101,DBN,KV1,degraded,2026-08-19 03:00:00,UPGRADE_CANDIDATE,major,failed,3600,synthetic_capacity,421.49,1000,42.15,-6.38
CAPACITY-UPGRADE_CANDIDATE-00-36,ST0101,DBN,KV1,active,2026-08-19 12:00:00,UPGRADE_CANDIDATE,info,success,60,synthetic_capacity,349.43,1000,34.94,1.52
CAPACITY-UPGRADE_CANDIDATE-00-45,ST0101,DBN,KV1,active,2026-08-19 21:00:00,UPGRADE_CANDIDATE,info,success,60,synthetic_capacity,652.07,1000,65.21,7.9
CAPACITY-UPGRADE_CANDIDATE-00-54,ST0101,DBN,KV1,active,2026-08-20 06:00:00,UPGRADE_CANDIDATE,info,success,60,synthetic_capacity,532.56,1000,53.26,-3.65
CAPACITY-UPGRADE_CANDIDATE-00-63,ST0101,DBN,KV1,active,2026-08-20 15:00:00,UPGRADE_CANDIDATE,info,success,60,synthetic_capacity,336.26,1000,33.63,-1.73
CAPACITY-UPGRADE_CANDIDATE-01-00,ST0202,SLA,KV1,active,2026-08-18 00:00:00,UPGRADE_CANDIDATE,info,success,60,synthetic_capacity,691.27,1000,69.13,-7.45
CAPACITY-UPGRADE_CANDIDATE-01-09,ST0202,SLA,KV1,active,2026-08-18 09:00:00,UPGRADE_CANDIDATE,info,success,60,synthetic_capacity,483.96,1000,48.4,-5.87
CAPACITY-UPGRADE_CANDIDATE-01-18,ST0202,SLA,KV1,active,2026-08-18 18:00:00,UPGRADE_CANDIDATE,info,success,60,synthetic_capacity,573.69,1000,57.37,-1.13
CAPACITY-UPGRADE_CANDIDATE-01-27,ST0202,SLA,KV1,active,2026-08-19 03:00:00,UPGRADE_CANDIDATE,info,success,60,synthetic_capacity,581.47,1000,58.15,5.28
