utilization_daily_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,demand_mbps,available_mbps,utilization_pct,forecast_error_pct
CAPACITY-UTILIZATION_DAILY-00-00,ST0101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,40.92,index,valid,synthetic_capacity,607.0,1000,60.7,-2.83
CAPACITY-UTILIZATION_DAILY-00-24,ST0101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,46.21,index,valid,synthetic_capacity,538.66,1000,53.87,-4.66
CAPACITY-UTILIZATION_DAILY-00-48,ST0101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,69.63,index,valid,synthetic_capacity,451.78,1000,45.18,3.39
CAPACITY-UTILIZATION_DAILY-01-00,ST0202,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,24.62,index,valid,synthetic_capacity,362.73,1000,36.27,7.76
CAPACITY-UTILIZATION_DAILY-01-24,ST0202,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,32.78,index,valid,synthetic_capacity,797.7,1000,79.77,3.58
CAPACITY-UTILIZATION_DAILY-01-48,ST0202,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,82.79,index,valid,synthetic_capacity,721.71,1000,72.17,-2.42
CAPACITY-UTILIZATION_DAILY-02-00,ST0301,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,46.42,index,valid,synthetic_capacity,383.33,1000,38.33,1.95
CAPACITY-UTILIZATION_DAILY-02-24,ST0301,CMU,KV3,active,2026-08-19-00,2026-08-19 00:00:00,80.0,index,valid,synthetic_capacity,348.0,1000,34.8,2.0
CAPACITY-UTILIZATION_DAILY-02-48,ST0301,CMU,KV3,active,2026-08-20-00,2026-08-20 00:00:00,65.75,index,valid,synthetic_capacity,654.41,1000,65.44,-5.12
CAPACITY-UTILIZATION_DAILY-03-00,ST0402,NBH,KV1,active,2026-08-18-00,2026-08-18 00:00:00,23.47,index,valid,synthetic_capacity,744.78,1000,74.48,7.72
CAPACITY-UTILIZATION_DAILY-03-24,ST0402,NBH,KV1,active,2026-08-19-00,2026-08-19 00:00:00,37.26,index,valid,synthetic_capacity,553.89,1000,55.39,-0.71
CAPACITY-UTILIZATION_DAILY-03-48,ST0402,NBH,KV1,active,2026-08-20-00,2026-08-20 00:00:00,80.51,index,valid,synthetic_capacity,471.45,1000,47.15,5.65
CAPACITY-UTILIZATION_DAILY-04-00,ST0501,HCM,KV3,active,2026-08-18-00,2026-08-18 00:00:00,52.87,index,valid,synthetic_capacity,496.23,1000,49.62,3.12
CAPACITY-UTILIZATION_DAILY-04-24,ST0501,HCM,KV3,active,2026-08-19-00,2026-08-19 00:00:00,82.85,index,valid,synthetic_capacity,605.51,1000,60.55,-3.36
CAPACITY-UTILIZATION_DAILY-04-48,ST0501,HCM,KV3,active,2026-08-20-00,2026-08-20 00:00:00,39.82,index,valid,synthetic_capacity,651.4,1000,65.14,-6.12
CAPACITY-UTILIZATION_DAILY-05-00,ST0601,KHA,KV2,active,2026-08-18-00,2026-08-18 00:00:00,29.9,index,valid,synthetic_capacity,353.56,1000,35.36,0.43
CAPACITY-UTILIZATION_DAILY-05-24,ST0601,KHA,KV2,active,2026-08-19-00,2026-08-19 00:00:00,61.56,index,valid,synthetic_capacity,589.43,1000,58.94,7.56
CAPACITY-UTILIZATION_DAILY-05-48,ST0601,KHA,KV2,active,2026-08-20-00,2026-08-20 00:00:00,34.05,index,valid,synthetic_capacity,511.26,1000,51.13,-3.3
